chem,var_importance,tot_instances,uniq_instances
Csrnp_1_69505,751392.7729811033,17992,88
Plscr_4_55764,22819.876581844474,5685,27
Cyp_1_b_1_72511,12873.803273368085,3588,53
Alg_11_64834,4955.705491857273,2087,45
Mt_2_76492,4820.3787101610205,2444,41
Gm_13889_55024,3927.4423829722755,12,7
Srm_62972,2675.395190486553,62,5
Cyp_1_a_1_79654,1858.3068221852354,17916,116
Cxcl_10_29431,1622.1052101341209,6412,36
Tspan_4_30708,1529.5359546292466,8857,92
Myc_30907,1513.0907005046638,10267,88
Acyp_1_74193,970.651246541138,25,8
Slc_26_a_4_56472,955.1475737567691,8679,45
Txnrd_1_72590,823.4505105847958,65,8
AI_661384_31503,772.0476763272443,7,6
Spib_29254,750.9325958406686,7,4
Ccl_6_74906,635.3251532484356,119,5
Sfn_31323,628.8322418337655,200,1
Zfp_820_56096,563.1994468805016,92,3
Kbtbd_7_76521,445.80665487364877,1469,12
B_3_gnt_2_60493,424.34866872947725,56,8
Mcur_1_30741,364.74918606284416,3770,23
Cyp_1_a_1_29719,364.01861292104365,674,22
Gja_1_75237,363.4110496338169,24,13
Fpr_1_30738,325.23339255253103,8,8
C_2_73108,317.1637595972848,56,8
Stx_11_69405,288.9539064950047,762,2
Cebpd_68861,204.37726713661735,242,6
Dcp_1_b_29958,187.73314896016717,1,1
Hsph_1_69147,121.75628016342004,1828,3
Bdkrb_2_54168,110.95663343912834,2,1
Stab_1_67351,94.48222870062823,12,2
Hist_1_h_2_bc_29206,43.60173281343246,2015,1
Gsta_1_31374,25.334433885924,2,2
Tnip_1_29881,16.10001592940619,806,1
Gdnf_29292,16.10001592940619,1213,1
Csf_2_61958,11.8003094985175,10,1
Aldh_1_a_2_60261,10.9660768,40,2
Arf_1_31811,8.999999999999998,5053,9
Inip_82129,6.000000000000001,58,6
Igkv_16104_74538,6.0,2571,6
March_3_58049,2.0,536,2
Ube_3_a_65027,2.0,6,2
Tgm_1_60333,1.0000000000000002,78,1
Cdkn_2_a_67661,1.0,19,1
Rpl_3_l_76369,1.0,1,1
Btbd_9_60652,1.0,1,1
Il_6_60343,1.0,25,1
Ptpn_1_29137,1.0,7,1
Zfp_672_67722,1.0,1,1
Art_5_55361,1.0,628,1
Zfp_975_78027,1.0,5,1
Nppa_58684,1.0,63,1
Notum_69460,1.0,10,1
Slc_25_a_25_72214,1.0,1,1
Ift_43_67275,1.0,1,1
Klra_4_78746,-1.0,2015,1
Cdkn_1_a_66319,-1.0,11,1
Creb_1_71798,-1.0,1,1
Myl_4_70627,-1.0,1,1
Fam_76_b_71997,-1.0,4,1
Cldn_15_60727,-1.0,1,1
Gm_15448_82247,-1.0,1,1
Marco_61146,-1.8146814,200,1
Gm_5737_59680,-2.0,168,2
Tfdp_2_69536,-2.0,104,2
Cnot_10_70213,-2.0,7,2
Ubxn_2_b_58845,-2.0,2,2
Kdm_6_a_65647,-2.0,57,2
mtNd_4_l_82096,-2.9999999999999996,28,3
Ms_4_a_6_b_55953,-3.0,2494,3
Nrap_65543,-4.12252337347077,2,1
Dusp_11_79084,-4.603378,17,3
Il_4_i_1_71608,-15.021655783046608,41,1
Gadd_45_g_64460,-15.021655783046612,1,1
Sh_3_gl_2_31946,-16.9261903004805,173,5
Arntl_59197,-26.292744648003325,2,2
Adamts_5_56833,-32.4512482,9,8
Tnfrsf_9_66723,-46.05569662166141,46,2
Actn_2_32214,-53.69425736033024,1828,3
Eef_1_a_2_67152,-108.26654244031101,499,6
Tnip_3_58404,-125.40578841228447,182,7
Rgs_22_79648,-254.26792683260044,22,10
Mettl_14_68520,-424.79839394373874,4984,26
Il_4_i_1_31821,-450.84351744411936,937,30
Gm_21190_82342,-698.7543152338295,391,19
Asb_14_29409,-1740.4798858432896,1956,38
Tacr_1_72530,-2139.26892645286,8919,84
