chem,var_importance,tot_instances,uniq_instances
Csrnp_1_69505,714454.1406722184,7294,83
Plscr_4_55764,13101.5150007525,2685,18
Cyp_1_b_1_72511,12787.593770775553,1777,47
Alg_11_64834,4943.070671857275,1761,44
Mt_2_76492,4820.378710161021,944,41
Gm_13889_55024,3927.442382972274,12,7
Srm_62972,2675.395190486553,62,5
Cyp_1_a_1_79654,1777.8067425382046,7218,111
Cxcl_10_29431,1589.9051782753081,2238,34
Tspan_4_30708,1278.7989119089711,5531,82
Myc_30907,1187.2192549411961,5456,73
Acyp_1_74193,970.651246541138,25,8
Slc_26_a_4_56472,906.8475259685508,3655,42
Txnrd_1_72590,823.4505105847958,65,8
AI_661384_31503,772.0476763272443,7,6
Spib_29254,750.9325958406688,7,4
Ccl_6_74906,635.3251532484355,119,5
Sfn_31323,628.8322418337655,200,1
Zfp_820_56096,563.1994468805016,92,3
Kbtbd_7_76521,429.7066389442426,295,11
B_3_gnt_2_60493,424.34866872947725,56,8
Cyp_1_a_1_29719,364.01861292104365,674,22
Gja_1_75237,363.4110496338169,24,13
Mcur_1_30741,348.64917013343796,1746,22
Fpr_1_30738,325.23339255253103,8,8
C_2_73108,317.1637595972848,56,8
Stx_11_69405,288.9539064950046,762,2
Cebpd_68861,204.37726713661735,242,6
Dcp_1_b_29958,187.73314896016726,1,1
Bdkrb_2_54168,110.95663343912834,2,1
Stab_1_67351,94.48222870062823,12,2
Hist_1_h_2_bc_29206,43.60173281343246,515,1
Hsph_1_69147,40.58542672114002,328,1
Gsta_1_31374,25.334433885924,2,2
Tnip_1_29881,16.10001592940619,519,1
Csf_2_61958,11.8003094985175,10,1
Aldh_1_a_2_60261,10.9660768,40,2
Arf_1_31811,7.999999999999998,2157,8
Inip_82129,6.000000000000001,58,6
Ube_3_a_65027,2.0,6,2
March_3_58049,2.0,536,2
Igkv_16104_74538,2.0,1071,2
Tgm_1_60333,1.0000000000000002,78,1
Cdkn_2_a_67661,1.0,19,1
Notum_69460,1.0,10,1
Slc_25_a_25_72214,1.0,1,1
Zfp_975_78027,1.0,5,1
Ptpn_1_29137,1.0,7,1
Zfp_672_67722,1.0,1,1
Rpl_3_l_76369,1.0,1,1
Btbd_9_60652,1.0,1,1
Il_6_60343,1.0,25,1
Nppa_58684,1.0,63,1
Ift_43_67275,1.0,1,1
Cldn_15_60727,-1.0,1,1
Creb_1_71798,-1.0,1,1
Fam_76_b_71997,-1.0,4,1
Klra_4_78746,-1.0,515,1
Gm_15448_82247,-1.0,1,1
Cdkn_1_a_66319,-1.0,11,1
Myl_4_70627,-1.0,1,1
Marco_61146,-1.8146814,200,1
Ubxn_2_b_58845,-2.0,2,2
Gm_5737_59680,-2.0,168,2
Cnot_10_70213,-2.0,7,2
Eef_1_a_2_67152,-2.0,188,2
Kdm_6_a_65647,-2.0,57,2
mtNd_4_l_82096,-2.9999999999999996,28,3
Ms_4_a_6_b_55953,-3.0,1098,3
Nrap_65543,-4.12252337347077,2,1
Dusp_11_79084,-4.603378,17,3
Il_4_i_1_71608,-15.021655783046608,41,1
Gadd_45_g_64460,-15.021655783046612,1,1
Sh_3_gl_2_31946,-16.9261903004805,173,5
Actn_2_32214,-17.898085786776747,328,1
Arntl_59197,-26.292744648003325,2,2
Adamts_5_56833,-32.4512482,9,8
Tnfrsf_9_66723,-46.05569662166141,46,2
Tnip_3_58404,-125.40578841228447,182,7
Rgs_22_79648,-254.26792683260044,22,10
Mettl_14_68520,-407.6983780143325,1786,24
Il_4_i_1_31821,-450.84351744411936,937,30
Gm_21190_82342,-458.51043210255295,80,15
Asb_14_29409,-1727.8450658432896,1630,37
Tacr_1_72530,-1928.2231950631958,4419,73
