complexity,loss,score,equation,sympy_format,lambda_format
1,84.81361,0.0,1.8486868,1.84868680000000,PySRFunction(X=>1.84868680000000)
2,76.74777,0.09993169453228799,mtNd_4_l_82096,mtNd_4_l_82096,PySRFunction(X=>mtNd_4_l_82096)
3,22.623602,1.2215306330489408,29.061584 + 54.527565,29.061584 + 54.527565,PySRFunction(X=>29.061584 + 54.527565)
4,21.791992,0.037451134761817925,K - -80.27574,K - 1*(-80.27574),PySRFunction(X=>K - 1*(-80.27574))
6,17.924345,0.0976913590927266,(-7.414233 + Eugenol) * -13.0409155,(Eugenol - 7.414233)*(-13.0409155),PySRFunction(X=>(Eugenol - 7.414233)*(-13.0409155))
9,16.60723,0.025440567321390894,((Hist_1_h_2_bc_29206 - Ethylguaiacol) / 0.091109894) + -1.4615375,(-Ethylguaiacol + Hist_1_h_2_bc_29206)/0.091109894 - 1.4615375,PySRFunction(X=>(-Ethylguaiacol + Hist_1_h_2_bc_29206)/0.091109894 - 1.4615375)
10,15.824305,0.04829109349589131,(Plscr_4_55764 * (K + Csf_2_61958)) + 26.712255,Plscr_4_55764*(Csf_2_61958 + K) + 26.712255,PySRFunction(X=>Plscr_4_55764*(Csf_2_61958 + K) + 26.712255)
11,15.40723,0.02671016944675627,((Kbtbd_7_76521 + 5.613662) / 0.088776216) - (Isoeugenol / 0.15271738),-Isoeugenol/0.15271738 + (Kbtbd_7_76521 + 5.613662)/0.088776216,PySRFunction(X=>-Isoeugenol/0.15271738 + (Kbtbd_7_76521 + 5.613662)/0.088776216)
12,14.08295,0.08987203393784587,0.05902511 + (((11.104649 + Kbtbd_7_76521) - Isoeugenol) * Plscr_4_55764),Plscr_4_55764*(-Isoeugenol + Kbtbd_7_76521 + 11.104649) + 0.05902511,PySRFunction(X=>Plscr_4_55764*(-Isoeugenol + Kbtbd_7_76521 + 11.104649) + 0.05902511)
13,13.980754,0.007283176286749698,(((Hist_1_h_2_bc_29206 - Isoeugenol) - -4.5757847) * Plscr_4_55764) + Arf_1_31811,Arf_1_31811 + Plscr_4_55764*(Hist_1_h_2_bc_29206 - Isoeugenol - 1*(-4.5757847)),PySRFunction(X=>Arf_1_31811 + Plscr_4_55764*(Hist_1_h_2_bc_29206 - Isoeugenol - 1*(-4.5757847)))
14,13.671239,0.022387386484206274,Hist_1_h_2_bc_29206 + (Plscr_4_55764 * ((Hist_1_h_2_bc_29206 + Egr_1_58083) - Isoeugenol)),Hist_1_h_2_bc_29206 + Plscr_4_55764*(Egr_1_58083 + Hist_1_h_2_bc_29206 - Isoeugenol),PySRFunction(X=>Hist_1_h_2_bc_29206 + Plscr_4_55764*(Egr_1_58083 + Hist_1_h_2_bc_29206 - Isoeugenol))
15,13.19657,0.03533733571775455,(((11.228922 * Hist_1_h_2_bc_29206) - (Isoeugenol * mtNd_3_82089)) + Arf_1_31811) - 1.1176298,Arf_1_31811 + 11.228922*Hist_1_h_2_bc_29206 - Isoeugenol*mtNd_3_82089 - 1*1.1176298,PySRFunction(X=>Arf_1_31811 + 11.228922*Hist_1_h_2_bc_29206 - Isoeugenol*mtNd_3_82089 - 1*1.1176298)
16,12.652534,0.042099436022558924,(((Hist_1_h_2_bc_29206 * Plscr_4_55764) - (Dusp_11_79084 * Isoeugenol)) + Arf_1_31811) * 1.4956169,(Arf_1_31811 - Dusp_11_79084*Isoeugenol + Hist_1_h_2_bc_29206*Plscr_4_55764)*1.4956169,PySRFunction(X=>(Arf_1_31811 - Dusp_11_79084*Isoeugenol + Hist_1_h_2_bc_29206*Plscr_4_55764)*1.4956169)
17,12.335981,0.025337234706185707,((Hist_1_h_2_bc_29206 * (Kbtbd_7_76521 - -5.8982244)) - ((2.5309346 + Dusp_11_79084) * Isoeugenol)) - -16.228975,Hist_1_h_2_bc_29206*(Kbtbd_7_76521 - 1*(-5.8982244)) - Isoeugenol*(Dusp_11_79084 + 2.5309346) - 1*(-16.228975),PySRFunction(X=>Hist_1_h_2_bc_29206*(Kbtbd_7_76521 - 1*(-5.8982244)) - Isoeugenol*(Dusp_11_79084 + 2.5309346) - 1*(-16.228975))
18,11.563323,0.06468199792840348,Arf_1_31811 + ((Hist_1_h_2_bc_29206 * (Kbtbd_7_76521 - -6.999834)) - ((Dusp_11_79084 * Isoeugenol) / 0.66132444)),Arf_1_31811 - Dusp_11_79084*Isoeugenol/0.66132444 + Hist_1_h_2_bc_29206*(Kbtbd_7_76521 - 1*(-6.999834)),PySRFunction(X=>Arf_1_31811 - Dusp_11_79084*Isoeugenol/0.66132444 + Hist_1_h_2_bc_29206*(Kbtbd_7_76521 - 1*(-6.999834)))
20,11.562886,1.889630938003421e-05,Arf_1_31811 + ((Hist_1_h_2_bc_29206 * (Kbtbd_7_76521 - -6.999834)) - (((Dusp_11_79084 * Isoeugenol) + 0.0692301) / 0.66132444)),Arf_1_31811 + Hist_1_h_2_bc_29206*(Kbtbd_7_76521 - 1*(-6.999834)) - (Dusp_11_79084*Isoeugenol + 0.0692301)/0.66132444,PySRFunction(X=>Arf_1_31811 + Hist_1_h_2_bc_29206*(Kbtbd_7_76521 - 1*(-6.999834)) - (Dusp_11_79084*Isoeugenol + 0.0692301)/0.66132444)
