complexity,loss,score,equation,sympy_format,lambda_format
1,86.86259,0.0,-0.2754152,-0.275415200000000,PySRFunction(X=>-0.275415200000000)
3,22.623604,0.6726668293676542,43.03317 - -40.552414,43.03317 - 1*(-40.552414),PySRFunction(X=>43.03317 - 1*(-40.552414))
4,19.36362,0.1555977381846307,PC_2 + 83.57124,PC_2 + 83.57124,PySRFunction(X=>PC_2 + 83.57124)
6,18.505499,0.022664058340386616,(PC_2 / 0.5200898) - -83.42453,PC_2/0.5200898 - 1*(-83.42453),PySRFunction(X=>PC_2/0.5200898 - 1*(-83.42453))
8,18.481365,0.0006525020186920266,((1.7958075 * PC_2) + 43.03317) - -40.552414,1.7958075*PC_2 - 1*(-40.552414) + 43.03317,PySRFunction(X=>1.7958075*PC_2 - 1*(-40.552414) + 43.03317)
10,18.409943,0.0019360140126623594,PC_2 + ((83.57124 + PC_2) + PC_4),PC_2 + PC_2 + PC_4 + 83.57124,PySRFunction(X=>PC_2 + PC_2 + PC_4 + 83.57124)
11,18.349375,0.00329538512177106,(((1.7958075 * PC_2) + 43.03317) - -40.552414) + PC_4,1.7958075*PC_2 + PC_4 - 1*(-40.552414) + 43.03317,PySRFunction(X=>1.7958075*PC_2 + PC_4 - 1*(-40.552414) + 43.03317)
12,17.993498,0.019585043557541718,((PC_2 + 83.57124) + PC_2) + (0.7251838 / PC_4),PC_2 + PC_2 + 83.57124 + 0.7251838/PC_4,PySRFunction(X=>PC_2 + PC_2 + 83.57124 + 0.7251838/PC_4)
14,17.979166,0.00039841366094881035,(((PC_2 + PC_2) - -83.42453) - (-0.88858885 / PC_4)) + 1.4903761,PC_2 + PC_2 + 1.4903761 - 1*(-83.42453) - (-1)*0.88858885/PC_4,PySRFunction(X=>PC_2 + PC_2 + 1.4903761 - 1*(-83.42453) - (-1)*0.88858885/PC_4)
15,17.262547,0.040674401699142784,((((PC_2 * (PC_2 + -38.820858)) / 10.50513) * -0.5879343) - -82.15038) - -1.7100103,PC_2*(PC_2 - 38.820858)*(-0.5879343)/10.50513 - 1*(-1.7100103) - 1*(-82.15038),PySRFunction(X=>PC_2*(PC_2 - 38.820858)*(-0.5879343)/10.50513 - 1*(-1.7100103) - 1*(-82.15038))
17,17.023449,0.0069737474162135825,((-0.5879343 * (((PC_2 - -1.6028271) * (-38.820858 + PC_2)) / 10.50513)) - -82.15038) - -1.0204333,-0.5879343*(PC_2 - 38.820858)*(PC_2 - 1*(-1.6028271))/10.50513 - 1*(-1.0204333) - 1*(-82.15038),PySRFunction(X=>-0.5879343*(PC_2 - 38.820858)*(PC_2 - 1*(-1.6028271))/10.50513 - 1*(-1.0204333) - 1*(-82.15038))
18,16.70931,0.01862569744841312,(((-0.64114434 / PC_2) * PC_1) + (((PC_2 * 1.7946972) + 42.933804) - -35.94284)) + 3.8633714,-0.64114434*PC_1/PC_2 + PC_2*1.7946972 + 3.8633714 - 1*(-35.94284) + 42.933804,PySRFunction(X=>-0.64114434*PC_1/PC_2 + PC_2*1.7946972 + 3.8633714 - 1*(-35.94284) + 42.933804)
20,16.48196,0.00684979983364655,((0.6956505 * (((-1.9769034 - PC_2) * ((PC_2 + -39.678406) + PC_2)) / 11.376557)) - -82.87129) - -1.9769034,0.6956505*(-PC_2 - 1.9769034)*(PC_2 + PC_2 - 39.678406)/11.376557 - 1*(-1.9769034) - 1*(-82.87129),PySRFunction(X=>0.6956505*(-PC_2 - 1.9769034)*(PC_2 + PC_2 - 39.678406)/11.376557 - 1*(-1.9769034) - 1*(-82.87129))
