chem,var_importance,tot_instances,uniq_instances
Tgm_1_60333,24622.766978968644,432,13
Plscr_4_55764,9748.917903537427,5583,41
Hist_1_h_2_bc_29206,2708.171311201044,11282,157
K,1089.126187711879,2655,34
Myc_30907,1069.8406864128128,665,2
Kbtbd_7_76521,906.2010146688111,5862,53
Arf_1_31811,873.2004838024133,6081,72
Cyp_1_a_1_79654,547.8181535856885,2072,29
Slc_26_a_4_56472,251.36642969693938,195,11
Atp_6_v_0_d_2_76694,147.81165644297062,25,10
Sgcg_29583,102.53098259299637,5,4
Cyp_1_a_1_29719,98.18352238497492,332,3
Mt_1_76728,76.89823694474727,16,3
Csf_2_61958,46.66359807342919,410,3
Cxcl_10_29431,46.66359807342919,307,3
Egr_1_58083,31.109065382286126,102,2
Fpr_1_72651,15.554532691143065,19,1
March_3_58049,14.907681085488118,9,1
Alg_11_64834,1.0,1,1
Pstk_65222,-1.0,81,1
Tcap_31038,-1.0,5,1
Lipo_5_56386,-1.0,74,1
Gm_21190_82342,-1.0,103,1
Syt_14_59917,-1.0000000000000002,1,1
Tacr_1_72530,-7.000000000000001,423,7
Coniferylaldehyde,-9.000000000000002,23,8
Asb_14_29409,-13.308665,664,1
Adamts_5_56833,-13.758896786170684,62,3
Kdm_6_a_65647,-13.845246623337339,19,1
Sh_3_gl_2_31946,-18.367305268108012,20,1
mtNd_4_l_82096,-102.53098259299635,36,4
Ethylguaiacol,-202.80955942877574,1522,7
Eugenol,-226.32839483755444,2055,8
Guaiacol,-226.8636700124473,807,3
EAR_12_31077,-287.48821630524594,1114,13
Mettl_14_68520,-614.2773262514387,815,23
mtNd_3_82089,-1304.183312914551,1926,50
Dusp_11_79084,-1709.0942814943455,5935,61
Isoeugenol,-5532.968866187086,11248,150
