Equation
-17.1589*(0.0615232*chem13 - 0.0206739)*log(0.518314*chem10 - 0.115495) - 17.1589*(-0.136275*chem2 - 0.00303415)*(1.27989*chem6 + 0.0140273) + 0.0887125
-17.9309*(0.0125205 - 0.313133*chem6)*(0.539197*chem2 - 0.00921614) - 7.48463*(0.149525 - 0.608886*chem13)*exp(-1.66992*chem10 + 0.00481877*chem14) + 0.54475
4.74781*chem10 - 15.6096*(0.0044563 - 0.216361*chem6)*(0.894179*chem2 - 0.00938734) - 26.3344*(-0.180631*chem13 - 0.367304)*exp(-1.72283*chem10) - 6.24714
-12.1333*(0.00478768 - 0.20219*chem2)*(1.23646*chem6 - 0.0642473) - 6.46419*(0.191834 - 0.708478*chem13)*exp(-1.68146*chem10 + 0.00492632*chem14) + 0.641425
-59.8838*(0.0740616*chem6 - 0.00196351)*(-0.679876*chem2 + 1.66988*(0.0577372 - 0.2762*chem13)*(0.989977 - 0.0862753*chem6)*exp(-1.82933*chem10) + 0.0032453) + 0.402186
49.3104*(0.00186456 - 0.309204*chem2)*(0.00441778 - 0.197915*chem6) + 49.3104*(0.304359*chem13 - 0.0995265)*exp((1.65892 - 0.00544532*chem14)*(-1.02755*chem10 - 0.717683)) + 0.382885
6.87574*chem10 - 9.87869*(0.00876745 - 0.469924*chem6)*(0.650085*chem2 - 0.00751797) - 22.9841*(-0.194847*chem13 - 0.618824)*exp(-1.62305*chem10) - 9.43106
-41.0229*(0.011841 - 0.172487*chem6)*(0.0409859 - 0.75224*chem2)*(0.000517272*chem1 - 0.576722) - 38.676*(0.021371 - 0.134672*chem13)*exp(-1.81871*chem10) + 0.883813
25.5759*(-6.3951e-5*chem14 - 0.316096)*((0.0292889 - 1.07691*chem6)*(0.346567*chem2 - 0.00149953) + 1.27562*(0.204046 - 0.520082*chem13)*exp(-1.85024*chem10)) + 0.446268
1.97858*chem10 - 13.9765*(0.0247977 - 0.554588*chem6)*(0.391111*chem2 - 0.00882542) - 31.8132*(-0.157722*chem13 - 0.117421)*exp(-1.80064*chem10) - 2.15301
