Equation
22.6089*(0.00651375 - 0.149956*chem2)*(0.0314075*chem3 - 0.868251*chem6 + (0.1865*chem13 + 0.705562)*log(0.6003 - 0.275529*chem11) + 0.035332) - 0.709713
-41.6693*(-0.00860321*chem13 - 1.42059 + 1.50002*exp(-0.060285*chem6))*(-0.0325741*chem3 + (0.311509*chem11 + 1.86308)*(0.618755*chem2 - 0.362782) + 0.464186) + 4.46468
16.285*(0.67008*chem2 + 0.0447014)*(-0.00795361*chem3 + 0.26439*chem6 + exp((0.0888965*chem11 + 0.085215)*(0.278874*chem13 + 0.893169)) - 0.97785) - 1.61192
-22.9972*(0.280336*chem2 - 0.00529761*chem3 + 0.0426025)*(-0.453246*chem6 + 0.265081*(-0.198468*chem13 - 0.639627)*exp(0.761909*chem11) + 0.129171) - 0.817883
-23.8147*(0.0413974 - 0.291246*chem2)*(-0.0165394*chem3 + 0.438567*chem6 + (0.550327*chem11 + 0.603027)*(0.0827697*chem13 + 0.405634) - 0.187733) + 1.30792
11.3234*(2.01718*chem2 - 0.0389052*chem3 + 0.144479)*(0.131108*chem6 + (-0.025611*chem13 - 0.104738)*log(0.541824 - 0.243756*chem11) - 0.0750898) + 0.592841
-9.61896*(0.30679*chem2 - 0.0252098)*(0.036563*chem3 - 1.01264*chem6 + (2.47318*chem11 + 2.35874)*(-0.0473974*chem13 - 0.184326) + 0.181763) + 0.244524
-15.7777*(-1.39137*chem2 + 0.0284166*chem3 - 0.000529534)*(0.139438*chem6 + (0.0866828*chem11 + 0.112608)*(0.151461*chem13 + 0.813309) - 0.123509) + 1.73608
15.7239*(3.29015 - 0.0166909*chem3)*(0.137966*chem2 - 0.00335127)*(0.430197*chem6 + (-0.0480448*chem13 - 0.124678)*log(0.371097 - 0.285385*chem11) - 0.0833708) - 0.647382
15.1504*(-1.37425*chem2 + 0.0262316*chem3 - 0.0249109)*(-0.146048*chem6 + 0.520364*(-0.0340834*chem13 - 0.151154)*exp(0.648289*chem11) + 0.101932) + 1.39126
