Equation
2.1823*chem13 + 0.0760956*chem14 + 14.1604*chem2 + 10.139*chem6 - 0.504088*chem8 - 45.8402
2.19993*chem13 + 0.076023*chem14 + 14.1985*chem2 + 10.1125*chem6 - 0.523297*chem8 - 45.705
2.19796*chem13 + 0.0760618*chem14 + 14.1956*chem2 + 10.1156*chem6 - 0.521646*chem8 - 45.7069
2.19601*chem13 + 0.0759775*chem14 + 14.1915*chem2 + 10.1166*chem6 - 0.520637*chem8 - 45.7057
2.20189*chem13 + 0.0761033*chem14 + 14.2019*chem2 + 10.1145*chem6 - 0.523532*chem8 - 45.7249
2.20083*chem13 + 0.0760131*chem14 + 14.1989*chem2 + 10.1158*chem6 - 0.522231*chem8 - 45.7153
2.19626*chem13 + 0.076036*chem14 + 14.193*chem2 + 10.1149*chem6 - 0.521067*chem8 - 45.7052
2.19667*chem13 + 0.0760091*chem14 + 14.1968*chem2 + 10.12*chem6 - 0.520545*chem8 - 45.745
2.19877*chem13 + 0.0760478*chem14 + 14.1976*chem2 + 10.119*chem6 - 0.521603*chem8 - 45.7381
2.19283*chem13 + 0.075979*chem14 + 14.1888*chem2 + 10.1201*chem6 - 0.518738*chem8 - 45.7333
