Equation
6.67069*(0.619677*chem10 - 0.840132)*(3.14342*chem10 - 0.573351*chem13 - 0.444563) + 6.67069*(2.04692*chem2 - 0.0231886)*(0.220235*chem6 + 0.00148885) + 4.44738
18.007*(1.27325*chem10 - 1.71939)*(0.569448*chem10 - 0.104007*chem13 - 0.079917) + 18.007*(0.230431*chem2 - 0.00473638)*(0.730221*chem6 - 0.011443) + 4.55861
73.1493*(0.0303737 - 0.0665263*chem13)*(2.8718 - 2.21568*chem10)*(-0.012008*chem6 - 0.186031) + 73.1493*(0.249648*chem2 - 0.0120454)*(0.166247*chem6 - 0.00425952) + 0.89512
-21.506*(0.00496303 - 0.109686*chem6)*(1.29116*chem2 - 0.060379) - 21.506*(1.2721*chem10 - 1.54303)*(0.0972474*chem13 - 0.045543)*(0.0120813*chem14 + 1.07837) + 1.00351
-16.9184*(0.0161887 - 0.296805*chem2)*(0.606377*chem6 - 0.0302729) - 16.9184*(0.0453633*chem13 - 0.0220691)*(4.47522*chem10 + 0.118095*chem7 - 6.10261) + 1.14941
-20.72*(0.00815416 - 0.16341*chem2)*(0.899972*chem6 - 0.0400083) - 20.72*(2.25933 - 1.85804*chem10)*(0.309845*chem13 - 0.144709)*(-0.00269469*chem14 - 0.239496) + 1.01634
22.4306*(1.47551*chem10 - 1.9052)*(0.29133*chem13 - 0.135988)*(-0.013524*chem6 - 0.209854) + 22.4306*(0.425172*chem2 - 0.0187499)*(0.317776*chem6 - 0.00649432) + 0.859948
-21.5118*(0.00580983 - 0.121141*chem6)*(1.16978*chem2 - 0.0533251) - 21.5118*(0.0688713 - 0.1451*chem13)*(3.82523 - 3.12862*chem10)*(0.00328215*chem14 + 0.289051) + 0.980291
-17.1006*(0.0547682 - 1.20166*chem2)*(0.148328*chem6 - 0.00684885) - 17.1006*(4.09653 - 3.34981*chem10)*(0.0955078*chem13 - 0.0452143)*(-0.00583781*chem14 - 0.515839) + 0.979868
-26.5778*(0.00797383 - 0.159295*chem2)*(0.720215*chem6 - 0.033198) - 26.5778*(0.0318948 - 0.0664063*chem13)*(1.70737 - 1.39652*chem10)*(0.0130391*chem14 + 1.14615) + 1.00654
