complexity,loss,score,equation,sympy_format,lambda_format
1,56.8013,0.0,chem6,chem6,PySRFunction(X=>chem6)
2,26.601398,0.7585954419915465,sqrt(3118.9326),55.8474045950212,PySRFunction(X=>55.8474045950212)
3,14.849478,0.582999057681864,chem6 * 11.485794,chem6*11.485794,PySRFunction(X=>chem6*11.485794)
5,3.3847773,0.7393382995834356,(chem6 * 3.1416786) * chem2,chem6*3.1416786*chem2,PySRFunction(X=>chem6*3.1416786*chem2)
7,2.0840871,0.24247859815269393,(chem6 * (chem2 / 0.32727528)) + chem13,chem13 + chem2*chem6/0.32727528,PySRFunction(X=>chem13 + chem2*chem6/0.32727528)
9,3.6113922e-06,6.632874063318823,(chem13 / chem10) - ((-3.0 * chem6) * chem2),-(-1)*3.0*chem2*chem6 + chem13/chem10,PySRFunction(X=>-(-1)*3.0*chem2*chem6 + chem13/chem10)
11,3.3500992e-06,0.037551695815624044,(chem13 / chem10) - ((chem2 * -0.63965064) * (chem6 * 4.69006)),-(-0.63965064)*4.69006*chem2*chem6 + chem13/chem10,PySRFunction(X=>-(-0.63965064)*4.69006*chem2*chem6 + chem13/chem10)
13,3.1340935e-06,0.033324989886095537,(chem13 / chem10) - ((chem2 * (-0.5381424 + -0.39747387)) * (chem6 * 3.2064428)),-3.2064428*chem2*chem6*(-0.5381424 - 0.39747387) + chem13/chem10,PySRFunction(X=>-3.2064428*chem2*chem6*(-0.5381424 - 0.39747387) + chem13/chem10)
17,2.8161664e-06,0.026740862526892433,(((chem13 / chem10) - chem10) - ((chem2 * (-0.5381424 + -0.39747387)) * (chem6 * 3.2064428))) + chem10,-chem10 + chem10 - 3.2064428*chem2*chem6*(-0.5381424 - 0.39747387) + chem13/chem10,PySRFunction(X=>-chem10 + chem10 - 3.2064428*chem2*chem6*(-0.5381424 - 0.39747387) + chem13/chem10)
19,2.431402e-06,0.07345424087425576,((chem6 / (((58.26983 * 71.360756) / chem2) - 0.41857937)) + (chem13 / chem10)) - (chem6 * (-2.9997594 * chem2)),-(-2.9997594)*chem2*chem6 + chem6/(-1*0.41857937 + 58.26983*71.360756/chem2) + chem13/chem10,PySRFunction(X=>-(-2.9997594)*chem2*chem6 + chem6/(-1*0.41857937 + 58.26983*71.360756/chem2) + chem13/chem10)
