complexity,loss,score,equation,sympy_format,lambda_format
1,54.23122,0.0,chem3,chem3,PySRFunction(X=>chem3)
2,26.283712,0.7243073256336755,sqrt(3095.8948),55.6407656309652,PySRFunction(X=>55.6407656309652)
3,14.983928,0.5619712717344735,chem6 * 11.4149475,chem6*11.4149475,PySRFunction(X=>chem6*11.4149475)
5,3.648602,0.7063170397387435,(3.1242635 * chem6) * chem2,3.1242635*chem2*chem6,PySRFunction(X=>3.1242635*chem2*chem6)
7,2.3528376,0.21936099571923853,2.871841 * (chem13 + (chem6 * chem2)),2.871841*(chem13 + chem2*chem6),PySRFunction(X=>2.871841*(chem13 + chem2*chem6))
9,1.4945393,0.22690204513624668,((chem6 * chem2) / 0.33529034) + (chem13 / chem10),chem2*chem6/0.33529034 + chem13/chem10,PySRFunction(X=>chem2*chem6/0.33529034 + chem13/chem10)
11,1.4573233,0.01260830095739345,((chem13 / chem10) + ((chem6 * chem2) / 0.33944353)) + chem10,chem10 + chem2*chem6/0.33944353 + chem13/chem10,PySRFunction(X=>chem10 + chem2*chem6/0.33944353 + chem13/chem10)
12,1.3976096,0.041838048169266895,((chem13 / chem10) + ((chem2 * chem6) / 0.34105033)) + log(chem5),2.93211855270745*chem2*chem6 + log(chem5) + chem13/chem10,PySRFunction(X=>2.93211855270745*chem2*chem6 + log(chem5) + chem13/chem10)
13,1.3885827,0.006479762064224277,(((chem2 * chem6) / 0.33820364) + (chem13 / chem10)) - (-0.13542245 / chem11),chem2*chem6/0.33820364 - (-1)*0.13542245/chem11 + chem13/chem10,PySRFunction(X=>chem2*chem6/0.33820364 - (-1)*0.13542245/chem11 + chem13/chem10)
14,1.3558878,0.023827143936088847,((chem13 / chem10) + ((chem6 * (chem2 + -0.150469)) / 0.33114588)) + sqrt(chem5),sqrt(chem5) + 3.01981712712234*chem6*(chem2 - 0.150469) + chem13/chem10,PySRFunction(X=>sqrt(chem5) + 3.01981712712234*chem6*(chem2 - 0.150469) + chem13/chem10)
16,1.3381586,0.006580976461796061,(((chem13 / chem10) + (((chem2 + -0.12761937) * chem6) / 0.33195785)) + sqrt(chem5)) - chem9,sqrt(chem5) + 3.01243064443272*chem6*(chem2 - 0.12761937) - chem9 + chem13/chem10,PySRFunction(X=>sqrt(chem5) + 3.01243064443272*chem6*(chem2 - 0.12761937) - chem9 + chem13/chem10)
17,1.3189855,0.014431609310255897,(((chem13 / chem10) + ((chem6 * (chem2 + -0.47919765)) / 0.29825228)) - (chem2 / 0.5796842)) + 7.5306516,-chem2/0.5796842 + chem6*(chem2 - 0.47919765)/0.29825228 + 7.5306516 + chem13/chem10,PySRFunction(X=>-chem2/0.5796842 + chem6*(chem2 - 0.47919765)/0.29825228 + 7.5306516 + chem13/chem10)
18,1.2858261,0.02546148933191173,(((chem13 / chem10) + ((chem6 * (chem2 + -0.3076807)) / 0.31309173)) - (chem2 - sqrt(chem5))) + 2.9365928,-chem2 + sqrt(chem5) + 3.19395213664698*chem6*(chem2 - 0.3076807) + 2.9365928 + chem13/chem10,PySRFunction(X=>-chem2 + sqrt(chem5) + 3.19395213664698*chem6*(chem2 - 0.3076807) + 2.9365928 + chem13/chem10)
19,1.2583098,0.02163199929495245,sqrt(chem5) + (((chem13 / chem10) + ((chem6 * (chem2 + -0.3076807)) / 0.31309173)) - (chem2 - sqrt(chem7))),-chem2 + sqrt(chem5) + 3.19395213664698*chem6*(chem2 - 0.3076807) + sqrt(chem7) + chem13/chem10,PySRFunction(X=>-chem2 + sqrt(chem5) + 3.19395213664698*chem6*(chem2 - 0.3076807) + sqrt(chem7) + chem13/chem10)
