complexity,loss,score,equation,sympy_format,lambda_format
1,54.776268,0.0,chem3,chem3,PySRFunction(X=>chem3)
2,39.7776,0.3199530946797591,sqrt(700.0336),26.4581480833410,PySRFunction(X=>26.4581480833410)
3,14.983577,0.9763492051495599,11.525943 * chem6,11.525943*chem6,PySRFunction(X=>11.525943*chem6)
4,14.983576,6.673974007441753e-08,sqrt(132.82977) * chem6,11.5251798250613*chem6,PySRFunction(X=>11.5251798250613*chem6)
5,3.9812787,1.3253516187878887,chem2 * (chem6 * 3.1517696),chem2*chem6*3.1517696,PySRFunction(X=>chem2*chem6*3.1517696)
7,3.007275,0.14028434800153788,(chem2 * (chem6 * 3.0656447)) + chem13,chem13 + chem2*chem6*3.0656447,PySRFunction(X=>chem13 + chem2*chem6*3.0656447)
9,2.2367938,0.14799542593192744,(chem2 * (3.0100856 * chem6)) + (chem13 / chem10),chem2*3.0100856*chem6 + chem13/chem10,PySRFunction(X=>chem2*3.0100856*chem6 + chem13/chem10)
11,2.1800191,0.0128549315030626,(chem2 * ((2.927279 * chem6) + 0.4743583)) + (chem13 / chem10),chem2*(2.927279*chem6 + 0.4743583) + chem13/chem10,PySRFunction(X=>chem2*(2.927279*chem6 + 0.4743583) + chem13/chem10)
13,2.1135824,0.01547465525211662,((chem13 / chem10) + (chem2 * (chem6 * 2.9759955))) + (0.18002942 / chem11),chem2*chem6*2.9759955 + 0.18002942/chem11 + chem13/chem10,PySRFunction(X=>chem2*chem6*2.9759955 + 0.18002942/chem11 + chem13/chem10)
15,2.0855892,0.006666461234231813,((chem2 * (2.9588246 * chem6)) + (chem13 / chem10)) + ((1.8135562 / chem8) / chem11),chem2*2.9588246*chem6 + 1.8135562/(chem11*chem8) + chem13/chem10,PySRFunction(X=>chem2*2.9588246*chem6 + 1.8135562/(chem11*chem8) + chem13/chem10)
16,2.0493314,0.01753781164624094,((chem2 * (2.958525 * chem6)) + (chem13 / chem10)) + ((sqrt(chem4) / chem8) / chem11),2.958525*chem2*chem6 + sqrt(chem4)/(chem11*chem8) + chem13/chem10,PySRFunction(X=>2.958525*chem2*chem6 + sqrt(chem4)/(chem11*chem8) + chem13/chem10)
17,2.0208611,0.013989885904286584,(chem2 * (2.927279 * chem6)) + (((chem13 + chem11) / chem10) + ((2.0982645 / chem11) / chem8)),chem2*2.927279*chem6 + 2.0982645/(chem11*chem8) + (chem11 + chem13)/chem10,PySRFunction(X=>chem2*2.927279*chem6 + 2.0982645/(chem11*chem8) + (chem11 + chem13)/chem10)
18,1.9787455,0.021060649659764376,(chem2 * (chem6 * 2.9280047)) + (((chem13 + chem11) / chem10) + ((sqrt(chem4) / chem11) / chem8)),2.9280047*chem2*chem6 + sqrt(chem4)/(chem11*chem8) + (chem11 + chem13)/chem10,PySRFunction(X=>2.9280047*chem2*chem6 + sqrt(chem4)/(chem11*chem8) + (chem11 + chem13)/chem10)
20,1.9708741,0.0019929540610389034,(chem2 * (chem6 * 2.9280047)) + (((chem13 + chem11) / chem10) + ((sqrt(chem4) / chem11) / (chem8 + chem12))),2.9280047*chem2*chem6 + sqrt(chem4)/(chem11*(chem12 + chem8)) + (chem11 + chem13)/chem10,PySRFunction(X=>2.9280047*chem2*chem6 + sqrt(chem4)/(chem11*(chem12 + chem8)) + (chem11 + chem13)/chem10)
