complexity,loss,score,equation,sympy_format,lambda_format
1,54.450283,0.0,chem3,chem3,PySRFunction(X=>chem3)
2,26.46413,0.721497815631345,myfunction(55.780365),55.7803650000000,PySRFunction(X=>55.7803650000000)
3,14.870938,0.5763813926534493,11.460806 * chem6,11.460806*chem6,PySRFunction(X=>11.460806*chem6)
5,3.5632195,0.7143721741973099,(chem6 * 3.1350815) * chem2,chem6*3.1350815*chem2,PySRFunction(X=>chem6*3.1350815*chem2)
7,2.3838742,0.2009687553802294,(chem2 * (3.0489898 * chem6)) + chem13,chem13 + chem2*3.0489898*chem6,PySRFunction(X=>chem13 + chem2*3.0489898*chem6)
9,1.4614232,0.24465811195863843,(2.9934366 * (chem2 * chem6)) + (chem13 / chem10),2.9934366*chem2*chem6 + chem13/chem10,PySRFunction(X=>2.9934366*chem2*chem6 + chem13/chem10)
11,1.4441975,0.0059284757329402605,((2.9824626 * (chem6 * chem2)) + (chem13 / chem10)) + chem9,2.9824626*chem2*chem6 + chem9 + chem13/chem10,PySRFunction(X=>2.9824626*chem2*chem6 + chem9 + chem13/chem10)
12,1.4441968,4.846983667807535e-07,myfunction(((chem13 / chem10) + chem9) + ((chem6 * chem2) * 2.9824626)),chem6*chem2*2.9824626 + chem9 + chem13/chem10,PySRFunction(X=>chem6*chem2*2.9824626 + chem9 + chem13/chem10)
13,1.417019,0.018997950044511713,((chem13 / chem10) + ((chem2 * chem6) / 0.33717883)) + (1.7591888 / chem14),chem2*chem6/0.33717883 + 1.7591888/chem14 + chem13/chem10,PySRFunction(X=>chem2*chem6/0.33717883 + 1.7591888/chem14 + chem13/chem10)
15,1.3616675,0.019922658794807216,((chem9 * chem7) / chem14) + ((chem13 / chem10) + ((chem2 * chem6) / 0.33644935)),chem2*chem6/0.33644935 + chem7*chem9/chem14 + chem13/chem10,PySRFunction(X=>chem2*chem6/0.33644935 + chem7*chem9/chem14 + chem13/chem10)
16,1.3616674,7.343937028386187e-08,((chem13 / chem10) + ((chem2 * chem6) / myfunction(0.33645362))) + ((chem9 * chem7) / chem14),chem2*chem6/0.33645362 + chem7*chem9/chem14 + chem13/chem10,PySRFunction(X=>chem2*chem6/0.33645362 + chem7*chem9/chem14 + chem13/chem10)
17,1.3503246,0.008364970206753183,((0.43858427 * chem8) / chem14) + (((chem13 / chem10) + 0.43858427) + ((chem2 * chem6) / 0.34115952)),chem2*chem6/0.34115952 + 0.43858427 + 0.43858427*chem8/chem14 + chem13/chem10,PySRFunction(X=>chem2*chem6/0.34115952 + 0.43858427 + 0.43858427*chem8/chem14 + chem13/chem10)
19,1.3488014,0.000564330884033388,((((chem9 * chem8) - chem12) + 1.0213218) / chem14) + ((chem13 / chem10) + ((chem2 * chem6) / 0.33772555)),chem2*chem6/0.33772555 + (-chem12 + chem8*chem9 + 1.0213218)/chem14 + chem13/chem10,PySRFunction(X=>chem2*chem6/0.33772555 + (-chem12 + chem8*chem9 + 1.0213218)/chem14 + chem13/chem10)
20,1.3329976,0.01178610547974492,myfunction(((chem9 * chem8) / chem14) + ((chem13 / (chem10 + (chem12 * chem11))) + ((chem2 * chem6) / 0.33644935))),chem13/(chem10 + chem11*chem12) + chem2*chem6/0.33644935 + chem8*chem9/chem14,PySRFunction(X=>chem13/(chem10 + chem11*chem12) + chem2*chem6/0.33644935 + chem8*chem9/chem14)
