complexity,loss,score,equation,sympy_format,lambda_format
1,54.51525,0.0,chem3,chem3,PySRFunction(X=>chem3)
2,26.548647,0.7195016931041781,myfunction(55.82043),55.8204300000000,PySRFunction(X=>55.8204300000000)
3,14.857574,0.5804690170416635,chem6 * 11.474992,chem6*11.474992,PySRFunction(X=>chem6*11.474992)
5,3.697837,0.6953808573911195,chem2 * (3.1381636 * chem6),chem2*3.1381636*chem6,PySRFunction(X=>chem2*3.1381636*chem6)
7,2.4158576,0.21284685808768783,((chem6 * chem2) + chem13) * 2.8846233,(chem13 + chem2*chem6)*2.8846233,PySRFunction(X=>(chem13 + chem2*chem6)*2.8846233)
9,0.9545634,0.4642777768748873,(2.9965098 * (chem2 * chem6)) + (chem13 / chem10),2.9965098*chem2*chem6 + chem13/chem10,PySRFunction(X=>2.9965098*chem2*chem6 + chem13/chem10)
10,0.9545633,1.0475994065843942e-07,myfunction(((2.9964993 * chem2) * chem6) + (chem13 / chem10)),2.9964993*chem2*chem6 + chem13/chem10,PySRFunction(X=>2.9964993*chem2*chem6 + chem13/chem10)
11,0.91104865,0.04665765972250234,((chem2 * chem6) * 2.9876807) + (chem13 / (chem10 + -0.02991412)),chem13/(chem10 - 0.02991412) + chem2*chem6*2.9876807,PySRFunction(X=>chem13/(chem10 - 0.02991412) + chem2*chem6*2.9876807)
13,0.8868128,0.01348119356519182,(2.9951565 * (chem6 * chem2)) - (-0.858203 / ((-0.07509768 + chem10) / chem13)),2.9951565*chem2*chem6 - (-1)*0.858203/((chem10 - 0.07509768)/chem13),PySRFunction(X=>2.9951565*chem2*chem6 - (-1)*0.858203/((chem10 - 0.07509768)/chem13))
14,0.8868119,1.0148708460876085e-06,myfunction((2.9951768 * (chem6 * chem2)) - (-0.85771286 / ((chem10 - 0.07519016) / chem13))),2.9951768*chem2*chem6 - (-1)*0.85771286/((chem10 - 1*0.07519016)/chem13),PySRFunction(X=>2.9951768*chem2*chem6 - (-1)*0.85771286/((chem10 - 1*0.07519016)/chem13))
15,0.8822858,0.005116856887300447,((2.9851623 * (chem2 * chem6)) - (-0.859013 / ((chem10 - 0.075013995) / chem13))) + 0.21429308,2.9851623*chem2*chem6 + 0.21429308 - (-1)*0.859013/((chem10 - 1*0.075013995)/chem13),PySRFunction(X=>2.9851623*chem2*chem6 + 0.21429308 - (-1)*0.859013/((chem10 - 1*0.075013995)/chem13))
16,0.882281,5.440428778424301e-06,myfunction((2.9852972 * ((chem2 * chem6) - -0.07064149)) - (-0.85869795 / ((chem10 - 0.07520515) / chem13))),2.9852972*(chem2*chem6 - 1*(-0.07064149)) - (-1)*0.85869795/((chem10 - 1*0.07520515)/chem13),PySRFunction(X=>2.9852972*(chem2*chem6 - 1*(-0.07064149)) - (-1)*0.85869795/((chem10 - 1*0.07520515)/chem13))
17,0.8675874,0.016794343345089426,(2.9847126 * (chem6 * chem2)) - ((-0.7869137 / ((-0.12201567 + chem10) / (chem13 - 0.5257034))) - 0.84706193),2.9847126*chem2*chem6 - (-1*0.84706193 - 0.7869137*(chem13 - 1*0.5257034)/(chem10 - 0.12201567)),PySRFunction(X=>2.9847126*chem2*chem6 - (-1*0.84706193 - 0.7869137*(chem13 - 1*0.5257034)/(chem10 - 0.12201567)))
18,0.8674933,0.00010846757743574374,myfunction((2.9842806 * (chem6 * chem2)) - ((-0.7851882 / ((-0.123212814 + chem10) / (chem13 - 0.53624713))) - 0.8575454)),2.9842806*chem2*chem6 - (-1*0.8575454 - 0.7851882*(chem13 - 1*0.53624713)/(chem10 - 0.123212814)),PySRFunction(X=>2.9842806*chem2*chem6 - (-1*0.8575454 - 0.7851882*(chem13 - 1*0.53624713)/(chem10 - 0.123212814)))
19,0.86749303,3.112416453754134e-07,((2.9842806 * (chem6 * chem2)) - ((-0.7851882 / ((-0.123212814 + chem10) / (chem13 - 0.53624713))) + 0.8575454)) - -1.7146513,2.9842806*chem2*chem6 - (0.8575454 - 0.7851882*(chem13 - 1*0.53624713)/(chem10 - 0.123212814)) - 1*(-1.7146513),PySRFunction(X=>2.9842806*chem2*chem6 - (0.8575454 - 0.7851882*(chem13 - 1*0.53624713)/(chem10 - 0.123212814)) - 1*(-1.7146513))
