complexity,loss,score,equation,sympy_format,lambda_format
1,18.918612,0.0,0.36911076,0.369110760000000,PySRFunction(X=>0.369110760000000)
2,18.259182,0.035478122618358615,Cr,Cr,PySRFunction(X=>Cr)
3,4.667609,1.3640211276583392,9.231314 - -9.471559,9.231314 - 1*(-9.471559),PySRFunction(X=>9.231314 - 1*(-9.471559))
6,4.288199,0.028260039286667395,5.447589 + (Ca + 7.576845),Ca + 5.447589 + 7.576845,PySRFunction(X=>Ca + 5.447589 + 7.576845)
7,4.1463513,0.03363808857766422,Ca + (Ca + 7.576845),Ca + Ca + 7.576845,PySRFunction(X=>Ca + Ca + 7.576845)
9,4.02823,0.01445083458600537,((9.423369 - Ethylguaiacol) + Zn) - -6.502432,-Ethylguaiacol + Zn - 1*(-6.502432) + 9.423369,PySRFunction(X=>-Ethylguaiacol + Zn - 1*(-6.502432) + 9.423369)
11,4.009707,0.002304451103405499,((9.423369 - (Ethylguaiacol / 0.8016472)) + Zn) - -6.502432,-Ethylguaiacol/0.8016472 + Zn - 1*(-6.502432) + 9.423369,PySRFunction(X=>-Ethylguaiacol/0.8016472 + Zn - 1*(-6.502432) + 9.423369)
12,3.9874022,0.005578230152847542,(((9.674253 - Propylguaiacol) + Zn) - -6.7533145) - Propylguaiacol,-Propylguaiacol - Propylguaiacol + Zn - 1*(-6.7533145) + 9.674253,PySRFunction(X=>-Propylguaiacol - Propylguaiacol + Zn - 1*(-6.7533145) + 9.674253)
14,3.9583418,0.003657370483367866,(((9.674253 - (Ethylguaiacol + Propylguaiacol)) + Zn) - -6.7533145) - 0.19358811,Zn - (Ethylguaiacol + Propylguaiacol) - 1*0.19358811 - 1*(-6.7533145) + 9.674253,PySRFunction(X=>Zn - (Ethylguaiacol + Propylguaiacol) - 1*0.19358811 - 1*(-6.7533145) + 9.674253)
15,3.8826904,0.01929688479277507,PO_4 + ((((P / 0.2590225) - Propylguaiacol) / 0.20242693) / P),PO_4 + (P/0.2590225 - Propylguaiacol)/(0.20242693*P),PySRFunction(X=>PO_4 + (P/0.2590225 - Propylguaiacol)/(0.20242693*P))
16,3.865109,0.004538431952053884,(6.314446 + ((6.314446 - -4.5902166) - (((Propylguaiacol + -1.1916798) / 0.33455464) / 0.7271535))) + -0.15433219,-(Propylguaiacol - 1.1916798)/(0.33455464*0.7271535) - 0.15433219 - 1*(-4.5902166) + 6.314446 + 6.314446,PySRFunction(X=>-(Propylguaiacol - 1.1916798)/(0.33455464*0.7271535) - 0.15433219 - 1*(-4.5902166) + 6.314446 + 6.314446)
18,3.830778,0.004460983864885137,(4.463683 + (((7.38037 + (0.293284 / 1.1059729)) - -6.234679) - ((Propylguaiacol + -0.7151147) / 0.21445996))) + 0.22150646,-(Propylguaiacol - 0.7151147)/0.21445996 + 0.22150646 + 0.293284/1.1059729 + 4.463683 - 1*(-6.234679) + 7.38037,PySRFunction(X=>-(Propylguaiacol - 0.7151147)/0.21445996 + 0.22150646 + 0.293284/1.1059729 + 4.463683 - 1*(-6.234679) + 7.38037)
20,3.8305864,2.5008600301025362e-05,((5.4271092 + (((5.1247535 + -0.13323052) - -4.8673034) - (((Propylguaiacol + -0.5555554) / 0.24122028) / 1.1268035))) * 1.2630036) + 0.036971718,(-(Propylguaiacol - 0.5555554)/(0.24122028*1.1268035) - 0.13323052 - 1*(-4.8673034) + 5.1247535 + 5.4271092)*1.2630036 + 0.036971718,PySRFunction(X=>(-(Propylguaiacol - 0.5555554)/(0.24122028*1.1268035) - 0.13323052 - 1*(-4.8673034) + 5.1247535 + 5.4271092)*1.2630036 + 0.036971718)
