complexity,loss,score,equation,sympy_format,lambda_format
1,18.411455,0.0,0.8929147,0.892914700000000,PySRFunction(X=>0.892914700000000)
2,15.753006,0.1559418210526073,Mg,Mg,PySRFunction(X=>Mg)
3,4.667609,1.2163842550698443,9.231314 - -9.471559,9.231314 - 1*(-9.471559),PySRFunction(X=>9.231314 - 1*(-9.471559))
4,4.402059,0.058574563120660006,P + 15.959157,P + 15.959157,PySRFunction(X=>P + 15.959157)
6,3.8602777,0.06566663105947032,(Eugenol * -2.6799092) + 21.590721,21.590721 + Eugenol*(-2.6799092),PySRFunction(X=>21.590721 + Eugenol*(-2.6799092))
8,3.8307261,0.003842378212302256,(22.116842 - (Propylguaiacol / 0.214678)) - 0.214678,-Propylguaiacol/0.214678 - 1*0.214678 + 22.116842,PySRFunction(X=>-Propylguaiacol/0.214678 - 1*0.214678 + 22.116842)
9,3.8082097,0.005895183779314676,(22.386532 - (Propylguaiacol / 0.21929292)) - Octacosane,-Octacosane - Propylguaiacol/0.21929292 + 22.386532,PySRFunction(X=>-Octacosane - Propylguaiacol/0.21929292 + 22.386532)
11,3.7889743,0.002531917234530423,((21.026031 + (Propylguaiacol * -2.2117498)) - Vanillin) + 1.2494944,Propylguaiacol*(-2.2117498) - Vanillin + 1.2494944 + 21.026031,PySRFunction(X=>Propylguaiacol*(-2.2117498) - Vanillin + 1.2494944 + 21.026031)
13,3.7423441,0.006191584711904725,(0.60989416 / Acetosyringone) + (-0.04013734 - (-20.624935 + (Propylguaiacol / 0.20697027))),-(Propylguaiacol/0.20697027 - 20.624935) - 0.04013734 + 0.60989416/Acetosyringone,PySRFunction(X=>-(Propylguaiacol/0.20697027 - 20.624935) - 0.04013734 + 0.60989416/Acetosyringone)
15,3.741249,0.00014633345148291443,((0.6102021 / Acetosyringone) - ((Propylguaiacol / 0.20679653) + -20.518175)) + (-0.20035198 * -0.79564774),-(Propylguaiacol/0.20679653 - 20.518175) - 0.20035198*(-0.79564774) + 0.6102021/Acetosyringone,PySRFunction(X=>-(Propylguaiacol/0.20679653 - 20.518175) - 0.20035198*(-0.79564774) + 0.6102021/Acetosyringone)
16,3.741159,2.4056426755709104e-05,((0.1728449 / Na) - (-20.624935 + (Propylguaiacol / 0.20697027))) + (0.60989416 / Acetosyringone),-(Propylguaiacol/0.20697027 - 20.624935) + 0.1728449/Na + 0.60989416/Acetosyringone,PySRFunction(X=>-(Propylguaiacol/0.20697027 - 20.624935) + 0.1728449/Na + 0.60989416/Acetosyringone)
18,3.7399213,0.00016544402167332982,((Dibenzofuran * (-0.40934968 * 0.75411)) - (-20.648527 + (Propylguaiacol / 0.20748585))) + (0.6154466 / Acetosyringone),Dibenzofuran*(-0.40934968)*0.75411 - (Propylguaiacol/0.20748585 - 20.648527) + 0.6154466/Acetosyringone,PySRFunction(X=>Dibenzofuran*(-0.40934968)*0.75411 - (Propylguaiacol/0.20748585 - 20.648527) + 0.6154466/Acetosyringone)
19,3.734774,0.0013772603717066814,(((0.60669345 / 1.0831298) / Acetosyringone) - (-21.299496 + ((Propylguaiacol / 0.2071675) + var35_Dimethoxyphenol))) - Naphthalene,-Naphthalene - (Propylguaiacol/0.2071675 + var35_Dimethoxyphenol - 21.299496) + 0.60669345/(1.0831298*Acetosyringone),PySRFunction(X=>-Naphthalene - (Propylguaiacol/0.2071675 + var35_Dimethoxyphenol - 21.299496) + 0.60669345/(1.0831298*Acetosyringone))
