complexity,loss,score,equation,sympy_format,lambda_format
1,85.98262,0.0,0.6363561,0.636356100000000,PySRFunction(X=>0.636356100000000)
2,84.32108,0.019513289746533095,Isoeugenol,Isoeugenol,PySRFunction(X=>Isoeugenol)
3,22.623602,1.3156381954385148,3.4562032 * 24.185295,3.4562032*24.185295,PySRFunction(X=>3.4562032*24.185295)
8,18.3581,0.04178456072462431,(50.63978 - (4.8181667 * Isoeugenol)) - -49.523346,-4.8181667*Isoeugenol - 1*(-49.523346) + 50.63978,PySRFunction(X=>-4.8181667*Isoeugenol - 1*(-49.523346) + 50.63978)
10,17.927137,0.011877647825473072,(((-16.192131 - 0.7448728) + Isoeugenol) * -5.8622746) - -0.6512688,(Isoeugenol - 16.192131 - 1*0.7448728)*(-5.8622746) - 1*(-0.6512688),PySRFunction(X=>(Isoeugenol - 16.192131 - 1*0.7448728)*(-5.8622746) - 1*(-0.6512688))
12,17.927097,1.1156283522652665e-06,((((-16.228247 - 0.7811381) + Isoeugenol) * -5.857754) - -0.32981998) - 0.0023531457,(Isoeugenol - 16.228247 - 1*0.7811381)*(-5.857754) - 1*0.0023531457 - 1*(-0.32981998),PySRFunction(X=>(Isoeugenol - 16.228247 - 1*0.7811381)*(-5.857754) - 1*0.0023531457 - 1*(-0.32981998))
14,17.926432,1.8547686061162528e-05,(((Isoeugenol / 1.1633142) - (Isoeugenol * Isoeugenol)) - -94.10836) + 0.3385264,-Isoeugenol*Isoeugenol + Isoeugenol/1.1633142 + 0.3385264 - 1*(-94.10836),PySRFunction(X=>-Isoeugenol*Isoeugenol + Isoeugenol/1.1633142 + 0.3385264 - 1*(-94.10836))
15,17.656002,0.015200489488393499,(((52.2507 - (6.970198 * Isoeugenol)) - -57.732887) - (5.0149546 / Isoeugenol)) - 1.2471946,-6.970198*Isoeugenol - 1*1.2471946 + 52.2507 - 1*(-57.732887) - 5.0149546/Isoeugenol,PySRFunction(X=>-6.970198*Isoeugenol - 1*1.2471946 + 52.2507 - 1*(-57.732887) - 5.0149546/Isoeugenol)
16,17.577728,0.004443136095451747,((51.896587 - (Isoeugenol * 6.4927106)) - (-57.378983 + (4.851859 / Isoeugenol))) - Isoeugenol,-6.4927106*Isoeugenol - Isoeugenol - (-57.378983 + 4.851859/Isoeugenol) + 51.896587,PySRFunction(X=>-6.4927106*Isoeugenol - Isoeugenol - (-57.378983 + 4.851859/Isoeugenol) + 51.896587)
17,17.56605,0.000664584236209339,(((52.2507 - (Isoeugenol * (6.970198 - -0.58518493))) - -57.732887) - (5.0149546 / Isoeugenol)) - -0.37718275,-Isoeugenol*(6.970198 - 1*(-0.58518493)) - 1*(-0.37718275) + 52.2507 - 1*(-57.732887) - 5.0149546/Isoeugenol,PySRFunction(X=>-Isoeugenol*(6.970198 - 1*(-0.58518493)) - 1*(-0.37718275) + 52.2507 - 1*(-57.732887) - 5.0149546/Isoeugenol)
18,17.559822,0.0003546104173735267,((((50.67037 ^ 1.0489249) - (6.790229 * Isoeugenol)) - -49.55608) - Isoeugenol) - (5.0806007 / Isoeugenol),-6.790229*Isoeugenol - Isoeugenol - 1*(-49.55608) + 50.67037**1.0489249 - 5.0806007/Isoeugenol,PySRFunction(X=>-6.790229*Isoeugenol - Isoeugenol - 1*(-49.55608) + 50.67037**1.0489249 - 5.0806007/Isoeugenol)
20,17.559742,2.277932607605945e-06,((8.577511 * (12.105823 - (0.7889548 * ((Isoeugenol + -1.2255188) + (0.747719 / Isoeugenol))))) - Isoeugenol) + -1.227498,-Isoeugenol + 8.577511*(12.105823 - 0.7889548*(Isoeugenol - 1.2255188 + 0.747719/Isoeugenol)) - 1.227498,PySRFunction(X=>-Isoeugenol + 8.577511*(12.105823 - 0.7889548*(Isoeugenol - 1.2255188 + 0.747719/Isoeugenol)) - 1.227498)
