complexity,loss,score,equation,sympy_format,lambda_format
1,22.6236,0.0,83.58715,83.5871500000000,PySRFunction(X=>83.5871500000000)
3,17.819721,0.11934392193197961,64.7897 + P,P + 64.7897,PySRFunction(X=>P + 64.7897)
5,17.298508,0.014842755172198227,(P + 66.26525) - Propylguaiacol,P - Propylguaiacol + 66.26525,PySRFunction(X=>P - Propylguaiacol + 66.26525)
7,16.660683,0.018784311356559197,(P + 69.73745) - (Propylguaiacol / Fluoranthene),P + 69.73745 - Propylguaiacol/Fluoranthene,PySRFunction(X=>P + 69.73745 - Propylguaiacol/Fluoranthene)
9,16.175335,0.014782040575353352,(P + 68.784775) - (Propylguaiacol / (Tetracosane - Benzobfluoranthene)),P - Propylguaiacol/(-Benzobfluoranthene + Tetracosane) + 68.784775,PySRFunction(X=>P - Propylguaiacol/(-Benzobfluoranthene + Tetracosane) + 68.784775)
11,15.999276,0.005472039965125417,(P + 69.84718) - ((Propylguaiacol + Octadecane) / (Tetracosane - Benzokfluoranthene)),P + 69.84718 - (Octadecane + Propylguaiacol)/(-Benzokfluoranthene + Tetracosane),PySRFunction(X=>P + 69.84718 - (Octadecane + Propylguaiacol)/(-Benzokfluoranthene + Tetracosane))
13,15.950646,0.0015220706189418615,(70.38497 + P) - (((Propylguaiacol + Octadecane) ^ 1.1060872) / (Tetracosane - Benzokfluoranthene)),P + 70.38497 - (Octadecane + Propylguaiacol)**1.1060872/(-Benzokfluoranthene + Tetracosane),PySRFunction(X=>P + 70.38497 - (Octadecane + Propylguaiacol)**1.1060872/(-Benzokfluoranthene + Tetracosane))
15,15.930565,0.0006298695070151686,(P + 70.351654) - ((((Propylguaiacol + Octadecane) * 1.2488635) - Hentriacontane) / (Tetracosane - Benzokfluoranthene)),P + 70.351654 - (-Hentriacontane + (Octadecane + Propylguaiacol)*1.2488635)/(-Benzokfluoranthene + Tetracosane),PySRFunction(X=>P + 70.351654 - (-Hentriacontane + (Octadecane + Propylguaiacol)*1.2488635)/(-Benzokfluoranthene + Tetracosane))
17,15.927885,8.412210908946987e-05,((P + 70.49313) - (((1.2526407 * (Propylguaiacol + Octadecane)) - Hentriacontane) / (Tetracosane - Benzokfluoranthene))) - Cd,-Cd + P + 70.49313 - (-Hentriacontane + 1.2526407*(Octadecane + Propylguaiacol))/(-Benzokfluoranthene + Tetracosane),PySRFunction(X=>-Cd + P + 70.49313 - (-Hentriacontane + 1.2526407*(Octadecane + Propylguaiacol))/(-Benzokfluoranthene + Tetracosane))
19,15.925355,7.942677119564826e-05,((70.81841 + P) - ((((Propylguaiacol + Octadecane) * 1.2612792) - Hentriacontane) / (Tetracosane - Benzokfluoranthene))) - (Anthracene + Cd),P - (Anthracene + Cd) + 70.81841 - (-Hentriacontane + (Octadecane + Propylguaiacol)*1.2612792)/(-Benzokfluoranthene + Tetracosane),PySRFunction(X=>P - (Anthracene + Cd) + 70.81841 - (-Hentriacontane + (Octadecane + Propylguaiacol)*1.2612792)/(-Benzokfluoranthene + Tetracosane))
