complexity,loss,score,equation,sympy_format,lambda_format
1,22.6236,0.0,83.58715,83.5871500000000,PySRFunction(X=>83.5871500000000)
3,21.122808,0.034320102336278864,83.587654 - PC_1,83.587654 - PC_1,PySRFunction(X=>83.587654 - PC_1)
5,19.488434,0.04026612157569462,84.932915 - (29.754578 / PC_1),84.932915 - 29.754578/PC_1,PySRFunction(X=>84.932915 - 29.754578/PC_1)
7,17.811232,0.04499594593216891,83.58899 - (PC_3 * (PC_2 - 2.8052382)),83.58899 - PC_3*(PC_2 - 1*2.8052382),PySRFunction(X=>83.58899 - PC_3*(PC_2 - 1*2.8052382))
9,16.920448,0.025653219080595722,(1.8427775 * (PC_2 + (PC_3 - PC_1))) + 83.588936,1.8427775*(-PC_1 + PC_2 + PC_3) + 83.588936,PySRFunction(X=>1.8427775*(-PC_1 + PC_2 + PC_3) + 83.588936)
11,16.846004,0.0022046770153449574,(1.8427775 * (PC_2 + (PC_3 - (PC_1 * 0.8361342)))) + 83.588936,1.8427775*(-0.8361342*PC_1 + PC_2 + PC_3) + 83.588936,PySRFunction(X=>1.8427775*(-0.8361342*PC_1 + PC_2 + PC_3) + 83.588936)
13,16.778341,0.0020123244432750506,((PC_2 * 2.05896) - ((PC_3 * -2.1384292) + (PC_1 * 1.5576364))) + 83.59152,PC_2*2.05896 - (PC_1*1.5576364 + PC_3*(-2.1384292)) + 83.59152,PySRFunction(X=>PC_2*2.05896 - (PC_1*1.5576364 + PC_3*(-2.1384292)) + 83.59152)
15,16.61177,0.004988674095990285,PC_3 - ((1.560294 * PC_1) + ((-81.0696 + (PC_2 * -2.0370104)) + (PC_3 / PC_4))),PC_3 - (1.560294*PC_1 + PC_2*(-2.0370104) + PC_3/PC_4 - 81.0696),PySRFunction(X=>PC_3 - (1.560294*PC_1 + PC_2*(-2.0370104) + PC_3/PC_4 - 81.0696))
17,16.60894,8.518782430731953e-05,PC_3 - ((PC_1 * 1.5598161) + ((-81.21867 + (PC_2 * -2.03783)) + ((PC_3 / PC_4) * 0.9424382))),PC_3 - (PC_1*1.5598161 + PC_2*(-2.03783) + PC_3*0.9424382/PC_4 - 81.21867),PySRFunction(X=>PC_3 - (PC_1*1.5598161 + PC_2*(-2.03783) + PC_3*0.9424382/PC_4 - 81.21867))
19,16.300398,0.009375789959276465,((2.288847 * PC_2) - ((-2.2874377 / (1.6313903 + PC_3)) + ((PC_3 * -2.2874377) + (PC_1 * 1.7116364)))) + 83.370316,2.288847*PC_2 - (PC_1*1.7116364 + PC_3*(-2.2874377) - 2.2874377/(PC_3 + 1.6313903)) + 83.370316,PySRFunction(X=>2.288847*PC_2 - (PC_1*1.7116364 + PC_3*(-2.2874377) - 2.2874377/(PC_3 + 1.6313903)) + 83.370316)
