Iteration,RMSE,Complexity,Equation
1,4.396149434334078,3,PySRFunction(X=>2.834644 + 2.834644)
1,4.363929852833154,4,PySRFunction(X=>Silicon + 2.2989666)
1,4.145067040241025,5,PySRFunction(X=>(-1.1034611 + 0.46987766)/(-0.02569173))
1,3.441084170861179,6,PySRFunction(X=>Levoglucosan/0.032313265**0.8198876)
1,3.139652988815226,7,PySRFunction(X=>(-1.1034611 - 1*0.7578149 - 0.16689748)/(-0.02569173))
1,3.086366240390857,8,PySRFunction(X=>Silicon + 17.73806/230.10574 + 77.673935)
1,3.0405106644147746,13,PySRFunction(X=>(Dodecylcyclohexane - (Chrysene/0.85374296 + 0.7578149) - 1.2358856)/(-0.02569173))
1,3.0231352082045975,14,PySRFunction(X=>Silicon/0.20764571 + Silicon/(1.1193826*var9_Methylanthracene) - 1*0.631767)
1,2.9239536687960874,15,PySRFunction(X=>2.834644*(Ba - Ethylguaiacol + 2.834644/0.23097277)/0.46103224 + 2.834644)
1,2.8801222500672377,17,PySRFunction(X=>3.6385992*(-Ethylguaiacol + Fluorene + 0.12651417 + 2.20605/0.30508304)/0.28778365 + 2.8255038)
2,4.465834369766553,1,PySRFunction(X=>-0.411077470000000)
2,3.1193731631166735,3,PySRFunction(X=>1.2132095 - 1*(-81.75275))
2,3.086372432408057,4,PySRFunction(X=>Silicon + 77.673935)
2,3.005063020527861,6,PySRFunction(X=>Silicon/0.07854578 + 2.579105)
2,2.9411088286239404,9,PySRFunction(X=>Levoglucosan + Silicon/0.07854578 + 2.579105)
2,2.9273026001043956,10,PySRFunction(X=>Levoglucosan + Levoglucosan + Silicon/0.07854578)
2,2.9272525295888236,12,PySRFunction(X=>Levoglucosan + Levoglucosan + Silicon/0.07854578 - 1*0.17328854)
2,2.922688756512628,13,PySRFunction(X=>Levoglucosan + Levoglucosan + Silicon/0.07854578 + Triacontane)
2,2.9162854728344407,14,PySRFunction(X=>(-Ethylguaiacol + 2.20605/0.30508304)*3.6385992/0.28778365 - 1*(-0.9378652) + 3.6385992)
2,2.8979496363748503,15,PySRFunction(X=>(-Ethylguaiacol + Fluorene + 2.20605/0.30508304)*3.6385992/0.28778365 - 1*(-1.3442675))
2,2.8791994312485776,16,PySRFunction(X=>(P*(-1*(-0.40079927) + 0.9920566 + 3.216407) + 12.662016)*12.662016/3.7178946 - 1*3.216407)
2,2.8673547053876396,17,PySRFunction(X=>-Eugenol + (P*(-1*(-0.40079927) + 0.77886915 + 3.216407) + 12.662016)*12.662016/3.7178946)
2,2.858533481939945,19,PySRFunction(X=>-Eugenol + (P*(-1*(-0.9814831) + 1.3597142 + 3.7956526) + 12.283119)*12.515244/4.259833 - 1*0.8921069)
3,4.454145203498725,1,PySRFunction(X=>0.636356100000000)
3,4.441231839753771,2,PySRFunction(X=>Vanillin)
3,3.1193731631166735,3,PySRFunction(X=>1.2132095 - 1*(-81.75275))
3,3.086372432408057,4,PySRFunction(X=>Silicon + 77.673935)
3,3.005063020527861,6,PySRFunction(X=>Silicon/0.07854578 + 2.579105)
3,2.923982522746037,9,PySRFunction(X=>Methylfluorene + Silicon*9.750153 + 26.516994)
3,2.8844102784443146,11,PySRFunction(X=>(P*Silicon + 39.47984)/0.66639864 - 1.0834565)
3,2.882181280690983,12,PySRFunction(X=>Acenaphthylene + (P*Silicon + 39.47984)/0.66639864)
3,2.8593683832135386,13,PySRFunction(X=>-Vanillin + (P*12.9616375 + 38.22194)/0.8356104 - 2.336603)
3,2.856644079909012,16,PySRFunction(X=>-Vanillin + (P*(Silicon + 4.950832) + 38.799026)/0.7964292 - 1.4045035)
3,2.848010494218275,18,PySRFunction(X=>Methylfluorene + Silicon*9.295142 - (-Acenaphthylene - 1*1.4344722 + 0.15739325)/0.051701933 - 0.19694553)
3,2.8398745384830892,20,PySRFunction(X=>Silicon*9.455461 + 0.87445396*Squalane - (-Acenaphthylene - 1*1.7995743 - 0.208313 + 1.1049402)/0.040513664)
4,4.451262659514984,1,PySRFunction(X=>0.892914700000000)
4,4.441231839753771,2,PySRFunction(X=>Vanillin)
4,3.1193731631166735,3,PySRFunction(X=>1.2132095 - 1*(-81.75275))
4,3.086372432408057,4,PySRFunction(X=>Silicon + 77.673935)
4,3.005063020527861,6,PySRFunction(X=>Silicon/0.07854578 + 2.579105)
4,2.923982522746037,9,PySRFunction(X=>Methylfluorene + Silicon*9.750153 + 26.516994)
4,2.8885112147839855,10,PySRFunction(X=>(P*12.9616375 + 38.22194)/0.8356104 - 2.336603)
4,2.8844102784443146,11,PySRFunction(X=>(P*Silicon + 39.47984)/0.66639864 - 1.0834565)
4,2.882181280690983,12,PySRFunction(X=>Acenaphthylene + (P*Silicon + 39.47984)/0.66639864)
4,2.849854436972812,13,PySRFunction(X=>(4.04531*P - Vanillin + 20.03262)/0.3435512 - 0.80410403)
4,2.8466076746991233,14,PySRFunction(X=>-Vanillin - Vanillin + (12.9616375*P + 38.22194)/0.8356104)
4,2.844249232226604,16,PySRFunction(X=>-Vanillin + (P*12.9616375 - Vanillin + 38.22194)/0.8356104 - 0.15469758)
