chem,var_importance
P,13.43157834960332
Squalane,7.653418112635397
PO_4,7.0
Cd,3.0000000000000004
K,2.0
Tetradecane,1.4135755465174074
Silicon,1.0
Cr,1.0
var2_Methylnaphthalene,0.9999999999999998
NH_4,0.9999999999999998
var1_Methylnaphthalene,0.9999999999999998
NO_3,0.9999999999999996
var26_Dimethylnaphthalene,0.9854406630786037
Na,-0.006775489657151473
Dibenzofuran,-0.3086946871847999
Zn,-0.6234282748861528
Sb,-0.9854406630786037
Perylene,-0.9999999999999993
Benzoepyrene,-0.9999999999999999
Pyrene,-1.0
Naphthalene,-1.0
Triacontane,-1.0
Ethylguaiacol,-1.0
Hentriacontane,-1.0
Syringealdehyde,-1.6616465628388528
Octacosane,-1.9999999999999996
Anthracene,-2.0
Hexacosane,-2.0
Heneicosane,-2.1498640740933594
Hexadecane,-2.1498640740933594
Nonadecane,-3.0
Ni,-3.9479551184897996
Vanillin,-4.0
Phytane,-4.586281300000001
Mn,-5.675485326623808
var35_Dimethoxyphenol,-7.866681750000001
Eicosane,-14.23091456964555
Acetosyringone,-21.692494720863113
Eugenol,-34.85241370403381
Propylguaiacol,-415.4243123425731
