"SampleID_BioSpyderCountFile","PlateBatch","MouseID","NumericID","Treatment","ID","Timepoint","Tissue","Group"
"Plate1-m1-RNA","Plate1","M1","1","RedOakSmolder","M1_RedOakSmolder","4h","Lung","RedOakSmolder_4h_Lung"
"Plate1-m2-RNA","Plate1","M2","2","RedOakSmolder","M2_RedOakSmolder","4h","Lung","RedOakSmolder_4h_Lung"
"Plate1-m3-RNA","Plate1","M3","3","RedOakSmolder","M3_RedOakSmolder","4h","Lung","RedOakSmolder_4h_Lung"
"Plate1-m4-RNA","Plate1","M4","4","RedOakSmolder","M4_RedOakSmolder","4h","Lung","RedOakSmolder_4h_Lung"
"Plate1-m5-RNA","Plate1","M5","5","RedOakSmolder","M5_RedOakSmolder","4h","Lung","RedOakSmolder_4h_Lung"
"Plate1-m6-RNA","Plate1","M6","6","RedOakSmolder","M6_RedOakSmolder","4h","Lung","RedOakSmolder_4h_Lung"
"Plate1-m7-RNA","Plate1","M7","7","PeatSmolder","M7_PeatSmolder","4h","Lung","PeatSmolder_4h_Lung"
"Plate1-m8-RNA","Plate1","M8","8","PeatSmolder","M8_PeatSmolder","4h","Lung","PeatSmolder_4h_Lung"
"Plate1-m9-RNA","Plate1","M9","9","PeatSmolder","M9_PeatSmolder","4h","Lung","PeatSmolder_4h_Lung"
"Plate1-m10-RNA","Plate1","M10","10","PeatSmolder","M10_PeatSmolder","4h","Lung","PeatSmolder_4h_Lung"
"Plate1-m11-RNA","Plate1","M11","11","PeatSmolder","M11_PeatSmolder","4h","Lung","PeatSmolder_4h_Lung"
"Plate1-m12-RNA","Plate1","M12","12","PeatSmolder","M12_PeatSmolder","4h","Lung","PeatSmolder_4h_Lung"
"Plate1-m13-RNA","Plate1","M13","13","PineNeedlesSmolder","M13_PineNeedlesSmolder","4h","Lung","PineNeedlesSmolder_4h_Lung"
"Plate2-m14-RNA","Plate2","M14","14","PineNeedlesSmolder","M14_PineNeedlesSmolder","4h","Lung","PineNeedlesSmolder_4h_Lung"
"Plate2-m15-RNA","Plate2","M15","15","PineNeedlesSmolder","M15_PineNeedlesSmolder","4h","Lung","PineNeedlesSmolder_4h_Lung"
"Plate2-m16-RNA","Plate2","M16","16","PineNeedlesSmolder","M16_PineNeedlesSmolder","4h","Lung","PineNeedlesSmolder_4h_Lung"
"Plate2-m17-RNA","Plate2","M17","17","PineNeedlesSmolder","M17_PineNeedlesSmolder","4h","Lung","PineNeedlesSmolder_4h_Lung"
"Plate2-m18-RNA","Plate2","M18","18","PineNeedlesSmolder","M18_PineNeedlesSmolder","4h","Lung","PineNeedlesSmolder_4h_Lung"
"Plate1-m19-RNA","Plate1","M19","19","PineSmolder","M19_PineSmolder","4h","Lung","PineSmolder_4h_Lung"
"Plate1-m20-RNA","Plate1","M20","20","PineSmolder","M20_PineSmolder","4h","Lung","PineSmolder_4h_Lung"
"Plate1-m21-RNA","Plate1","M21","21","PineSmolder","M21_PineSmolder","4h","Lung","PineSmolder_4h_Lung"
"Plate1-m22-RNA","Plate1","M22","22","PineSmolder","M22_PineSmolder","4h","Lung","PineSmolder_4h_Lung"
"Plate1-m23-RNA","Plate1","M23","23","PineSmolder","M23_PineSmolder","4h","Lung","PineSmolder_4h_Lung"
"Plate1-m24-RNA","Plate1","M24","24","PineSmolder","M24_PineSmolder","4h","Lung","PineSmolder_4h_Lung"
"Plate1-m25-RNA","Plate1","M25","25","EucalyptusSmolder","M25_EucalyptusSmolder","4h","Lung","EucalyptusSmolder_4h_Lung"
"Plate1-m26-RNA","Plate1","M26","26","EucalyptusSmolder","M26_EucalyptusSmolder","4h","Lung","EucalyptusSmolder_4h_Lung"
"Plate1-m27-RNA","Plate1","M27","27","EucalyptusSmolder","M27_EucalyptusSmolder","4h","Lung","EucalyptusSmolder_4h_Lung"
"Plate1-m28-RNA","Plate1","M28","28","EucalyptusSmolder","M28_EucalyptusSmolder","4h","Lung","EucalyptusSmolder_4h_Lung"
"Plate1-m29-RNA","Plate1","M29","29","EucalyptusSmolder","M29_EucalyptusSmolder","4h","Lung","EucalyptusSmolder_4h_Lung"
"Plate1-m30-RNA","Plate1","M30","30","EucalyptusSmolder","M30_EucalyptusSmolder","4h","Lung","EucalyptusSmolder_4h_Lung"
"Plate1-m31-RNA","Plate1","M31","31","Saline","M31_Saline","4h","Lung","Saline_4h_Lung"
