Category	 p-value	Molecules	
Cellular Movement	2.32E-13-1.18E-03	ADAMTS5,ARF1,BDKRB2,C2,Ccl6,CDKN1A,Cdkn2a,CEBPD,CREB1,CSF2,Cxcl10,CYP1A1,CYP1B1,EEF1A2,FPR1,GJA1,IL6,KDM6A,Klra4 (includes others),MARCO,METTL14,MT2A,MYC,NPPA,PTPN1,SFN,SPP1,STAB1,TACR1,TNFRSF9,TNIP1,TXNRD1	
Hematological System Development and Function	2.32E-13-1.12E-03	B3GNT2,BDKRB2,C2,Ccl6,CDKN1A,Cdkn2a,CEBPD,CREB1,CSF2,Cxcl10,CYP1A1,CYP1B1,EEF1A2,FPR1,GADD45G,GJA1,HSPH1,Il4i1/Il4i1b,IL6,KDM6A,Klra4 (includes others),MARCO,METTL14,MT2A,MYC,NPPA,PTPN1,SFN,SPIB,SPP1,STAB1,STX11,TACR1,TNFRSF9,TNIP1	
Immune Cell Trafficking	2.32E-13-1.11E-03	C2,Ccl6,CDKN1A,CSF2,Cxcl10,CYP1A1,CYP1B1,EEF1A2,FPR1,GJA1,HSPH1,Il4i1/Il4i1b,IL6,KDM6A,Klra4 (includes others),MARCO,METTL14,MYC,NPPA,PTPN1,SPP1,STAB1,STX11,TACR1,TNFRSF9,TNIP1	
Inflammatory Response	2.32E-13-1.17E-03	ADAMTS5,ALDH1A2,ARF1,BDKRB2,C2,Ccl6,CDKN1A,Cdkn2a,CEBPD,CREB1,CSF2,CSRNP1,Cxcl10,CYP1A1,CYP1B1,EEF1A2,FPR1,GADD45G,GJA1,HSPH1,Il4i1/Il4i1b,IL6,KDM6A,Klra4 (includes others),MARCO,METTL14,MT2A,MYC,NPPA,PTPN1,RGS22,SFN,SLC26A4,SPIB,SPP1,SRM,STAB1,STX11,TACR1,TNFRSF9,TNIP1,TNIP3,TXNRD1	
Organismal Injury and Abnormalities	1.07E-08-1.18E-03	ACTN2,ACYP1,ADAMTS5,ALDH1A2,ALG11,ARF1,ASB14,B3GNT2,BDKRB2,BTBD9,C11orf96,C2,Ccl6,CDKN1A,Cdkn2a,CEBPD,CLDN15,CNOT10,CREB1,CSF2,CSRNP1,Cxcl10,CYP1A1,CYP1B1,DCP1B,DUSP11,EEF1A2,FAM76B,FPR1,GADD45G,GJA1,Gsta1 (includes others),HSPH1,IFT43,IL6,INIP,KBTBD7,KDM6A,Klra4 (includes others),MARCO,MCUR1,METTL14,MT2A,MYC,MYL4,NOTUM,NPPA,NRAP,PLSCR4,PTPN1,RGS22,RPL3L,SFN,SH3GL2,SLC25A25,SLC26A4,SPIB,SPP1,SRM,STAB1,STX11,TACR1,TGM1,TNFRSF9,TNIP1,TNIP3,TSPAN4,TXNRD1,UBE3A,UBXN2B,ZNF672	
Organismal Survival	1.39E-08-4.88E-08	ALDH1A2,ARF1,BDKRB2,Ccl6,CDKN1A,Cdkn2a,CEBPD,CREB1,CSF2,CSRNP1,Cxcl10,CYP1A1,EEF1A2,GADD45G,GJA1,IL6,KDM6A,Klra4 (includes others),MARCO,MT2A,MYC,NPPA,PTPN1,SFN,SH3GL2,SLC25A25,SPIB,SPP1,STAB1,TACR1,TGM1,TNFRSF9,TNIP1,TNIP3,TXNRD1,UBE3A	
Cell Death and Survival	1.95E-08-1.14E-03	ALDH1A2,ARF1,BDKRB2,Ccl6,CDKN1A,Cdkn2a,CEBPD,CREB1,CSF2,Cxcl10,CYP1A1,CYP1B1,EEF1A2,GADD45G,GJA1,HSPH1,IL6,INIP,KDM6A,Klra4 (includes others),MARCO,MCUR1,METTL14,MT2A,MYC,NPPA,PTPN1,SFN,SH3GL2,SPIB,SPP1,STX11,TACR1,TGM1,TNFRSF9,TNIP1,TXNRD1,UBE3A	
Cellular Function and Maintenance	2.56E-08-1.11E-03	ACTN2,ADAMTS5,ARF1,B3GNT2,BDKRB2,BTBD9,CDKN1A,Cdkn2a,CREB1,CSF2,Cxcl10,CYP1A1,CYP1B1,EEF1A2,FPR1,GADD45G,GJA1,IFT43,Il4i1/Il4i1b,IL6,Klra4 (includes others),MARCO,METTL14,MT2A,MYC,NPPA,NRAP,PTPN1,SH3GL2,SLC25A25,SLC26A4,SPIB,SPP1,STAB1,STX11,TACR1,TGM1,TNFRSF9,TNIP1,TSPAN4,TXNRD1,UBE3A	
Cell Cycle	3.71E-08-1.11E-03	ARF1,CDKN1A,Cdkn2a,CEBPD,CREB1,CSF2,CYP1A1,CYP1B1,GADD45G,GJA1,IL6,METTL14,MT2A,MYC,NPPA,PTPN1,SFN,SPP1,TGM1,TNFRSF9,TXNRD1,UBE3A	
Cellular Growth and Proliferation	7.19E-08-1.17E-03	ADAMTS5,ALDH1A2,ARF1,B3GNT2,BDKRB2,BTBD9,Ccl6,CDKN1A,Cdkn2a,CEBPD,CLDN15,CREB1,CSF2,Cxcl10,CYP1A1,CYP1B1,EEF1A2,FPR1,GADD45G,GJA1,Il4i1/Il4i1b,IL6,KDM6A,Klra4 (includes others),METTL14,MT2A,MYC,NPPA,PTPN1,SFN,SH3GL2,SPIB,SPP1,SRM,TACR1,TGM1,TNFRSF9,TXNRD1,UBE3A	
