Ingenuity Canonical Pathways	 -log(p-value)	Ratio	z-score	Molecules	
Aryl Hydrocarbon Receptor Signaling	6.14E00	3.83E-02	NaN	ALDH1A2,CDKN1A,CYP1A1,CYP1B1,Gsta1 (includes others),IL6,MYC	
Xenobiotic Metabolism AHR Signaling Pathway	4.9E00	4.59E-02	NaN	ALDH1A2,CYP1A1,CYP1B1,Gsta1 (includes others),IL6	
Macrophage Alternative Activation Signaling Pathway	3.73E00	2.6E-02	NaN	CREB1,FPR1,IL6,MARCO,MYC	
Interleukin-4 and Interleukin-13 signaling	3.6E00	3.6E-02	NaN	CDKN1A,CEBPD,IL6,MYC	
Interleukin-10 signaling	3.59E00	6.67E-02	NaN	CSF2,FPR1,IL6	
Role of IL-17F in Allergic Inflammatory Airway Diseases	3.56E00	6.52E-02	NaN	CREB1,CSF2,IL6	
Xenobiotic Metabolism Signaling	3.53E00	1.82E-02	NaN	ALDH1A2,CYP1A1,CYP1B1,Gsta1 (includes others),Il4i1/Il4i1b,IL6	
Role of Macrophages, Fibroblasts and Endothelial Cells in Rheumatoid Arthritis	3.48E00	1.78E-02	NaN	CEBPD,CREB1,CSF2,IL6,MYC,NOTUM	
TP53 Regulates Transcription of Cell Cycle Genes	3.48E00	6.12E-02	NaN	CDKN1A,CNOT10,SFN	
Transcriptional regulation of granulopoiesis	3.42E00	5.88E-02	NaN	CDKN1A,CREB1,MYC	
CGAS-STING Signaling Pathway	3.24E00	2.9E-02	NaN	CDKN1A,CSF2,GJA1,IL6	
GADD45 Signaling	3.22E00	5E-02	NaN	CDKN1A,GADD45G,MYC	
Pathogen Induced Cytokine Storm Signaling Pathway	3.18E00	1.56E-02	NaN	Ccl6,CSF2,Cxcl10,IL6,MYC,STX11	
Factors Promoting Cardiogenesis in Vertebrates	3.1E00	2.65E-02	NaN	CREB1,MYC,NOTUM,NPPA	
Protein Kinase A Signaling	3.05E00	1.47E-02	NaN	CREB1,DUSP11,MYL4,NOTUM,PTPN1,SFN	
Differential Regulation of Cytokine Production in Macrophages and T Helper Cells by IL-17A and IL-17F	2.96E00	1.11E-01	NaN	CSF2,IL6	
Senescence-Associated Secretory Phenotype (SASP)	2.95E00	4.05E-02	NaN	CDKN1A,Cdkn2a,IL6	
ERK5 Signaling	2.95E00	4.05E-02	NaN	CREB1,MYC,SFN	
Oxytocin Signaling Pathway	2.95E00	1.75E-02	NaN	CREB1,GJA1,IL6,MYL4,NPPA	
RAR Activation	2.91E00	1.38E-02	NaN	ALDH1A2,CDKN1A,CREB1,CSF2,IL6,TNIP1	
VDR/RXR Activation	2.89E00	3.85E-02	NaN	CDKN1A,CSF2,SPP1	
Glucocorticoid Receptor Signaling	2.88E00	1.16E-02	NaN	CDKN1A,CREB1,CSF2,GJA1,IL6,MYC,NPPA	
Ribonucleotide Reductase Signaling Pathway	2.87E00	2.3E-02	NaN	CDKN1A,CREB1,IL6,MYC	
IL-17A Signaling in Fibroblasts	2.85E00	3.75E-02	NaN	CEBPD,CSF2,IL6	
Tumor Microenvironment Pathway	2.81E00	2.22E-02	NaN	CSF2,IL6,MYC,SPP1	
Role of JAK family kinases in IL-6-type Cytokine Signaling	2.81E00	3.61E-02	NaN	CEBPD,IL6,MYC	
JAK/STAT Signaling	2.81E00	3.61E-02	NaN	CDKN1A,IL6,PTPN1	
NFE2L2 regulating anti-oxidant/detoxification enzymes	2.74E00	8.7E-02	NaN	Gsta1 (includes others),TXNRD1	
Serotonin Receptor Signaling	2.72E00	1.27E-02	NaN	CREB1,Il4i1/Il4i1b,IL6,MYC,NOTUM,TGM1	
Superpathway of Melatonin Degradation	2.72E00	3.37E-02	NaN	CYP1A1,CYP1B1,Il4i1/Il4i1b	
Adrenergic Receptor Signaling Pathway (Enhanced)	2.67E00	2.03E-02	NaN	CSF2,Il4i1/Il4i1b,IL6,NOTUM	
Putrescine Degradation III	2.67E00	8E-02	NaN	ALDH1A2,Il4i1/Il4i1b	
ILK Signaling	2.66E00	2.02E-02	NaN	ACTN2,CREB1,MYC,MYL4	
Estrogen-mediated S-phase Entry	2.64E00	7.69E-02	NaN	CDKN1A,MYC	
Bupropion Degradation	2.64E00	7.69E-02	NaN	CYP1A1,CYP1B1	
Transcriptional regulation by RUNX3	2.63E00	3.12E-02	NaN	CDKN1A,MYC,SPP1	
Granulocyte Adhesion and Diapedesis	2.6E00	1.94E-02	NaN	Ccl6,CLDN15,Cxcl10,FPR1	
p53 Signaling	2.59E00	3.03E-02	NaN	CDKN1A,GADD45G,SFN	
ATM Signaling	2.58E00	3E-02	NaN	CDKN1A,CREB1,GADD45G	
Neuropathic Pain Signaling in Dorsal Horn Neurons	2.56E00	2.97E-02	NaN	CREB1,NOTUM,TACR1	
Cellular Effects of Sildenafil (Viagra)	2.53E00	1.01E-02	NaN	BDKRB2,CREB1,FPR1,IL6,MYL4,NPPA,TACR1	
Sleep REM Signaling Pathway	2.5E00	2.83E-02	NaN	CREB1,CSF2,IL6	
Post-translational protein phosphorylation	2.49E00	2.8E-02	NaN	IL6,NOTUM,SPP1	
Tryptophan Degradation X (Mammalian, via Tryptamine)	2.48E00	6.45E-02	NaN	ALDH1A2,Il4i1/Il4i1b	
Agranulocyte Adhesion and Diapedesis	2.46E00	1.77E-02	NaN	Ccl6,CLDN15,Cxcl10,MYL4	
Role of Osteoblasts, Osteoclasts and Chondrocytes in Rheumatoid Arthritis	2.44E00	1.75E-02	NaN	ADAMTS5,CSF2,IL6,SPP1	
