Chemical Category,Chemical
n-Alkanes,2-Methylnonadecane
n-Alkanes,3-Methylnonadecane
n-Alkanes,Docosane
n-Alkanes,Dodecylcyclohexane
n-Alkanes,Eicosane
n-Alkanes,Heneicosane
n-Alkanes,Hentriacontane
n-Alkanes,Heptacosane
n-Alkanes,Heptadecane
n-Alkanes,Hexacosane
n-Alkanes,Hexadecane
n-Alkanes,Nonacosane
n-Alkanes,Nonadecane
n-Alkanes,Nonadecylcyclohexane
n-Alkanes,Octacosane
n-Alkanes,Octadecane
n-Alkanes,Pentacosane
n-Alkanes,Pentadecane
n-Alkanes,Phytane
n-Alkanes,Squalane
n-Alkanes,Tetracosane
n-Alkanes,Tetradecane
n-Alkanes,Triacontane
n-Alkanes,Tricosane
n-Alkanes,Tridecane
PAHs,1-Methylchysene
PAHs,1-Methylnaphthalene
PAHs,2-Methylnaphthalene
PAHs,"2,6-Dimethylnaphthalene"
PAHs,9-Methylanthracene
PAHs,Acenaphthylene
PAHs,Anthracene
PAHs,Benz(a)anthracene
PAHs,Benzo(a)pyrene
PAHs,Benzo(b)fluoranthene
PAHs,Benzo(e)pyrene
PAHs,Benzo(k)fluoranthene
PAHs,Benzo[ghi]perylene
PAHs,Chrysene
PAHs,Dibenzofuran
PAHs,Fluoranthene
PAHs,Fluorene
PAHs,"Indeno[1,2,3-cd]pyrene"
PAHs,Methylfluorene
PAHs,Naphthalene
PAHs,Perylene
PAHs,Phenanthrene
PAHs,Pyrene
PAHs,Retene
Methoxyphenols,"3,5-Dimethoxyphenol"
Methoxyphenols,Acetosyringone
Methoxyphenols,Coniferyl aldehyde
Methoxyphenols,Ethylguaiacol
Methoxyphenols,Eugenol
Methoxyphenols,Guaiacol
Methoxyphenols,Isoeugenol
Methoxyphenols,Methoxymethyl phenol
Methoxyphenols,Propylguaiacol
Methoxyphenols,Syringealdehyde
Methoxyphenols,Vanillin
Levoglucosan,Levoglucosan
Inorganics,Al
Inorganics,Ba
Inorganics,Ca
Inorganics,Cd
Inorganics,Cr
Inorganics,Cu
Inorganics,Fe
Inorganics,K
Inorganics,Mg
Inorganics,Mn
Inorganics,Na
Inorganics,Ni
Inorganics,P
Inorganics,Pb
Inorganics,S
Inorganics,Sb
Inorganics,Si
Inorganics,Sr
Inorganics,Ti
Inorganics,Zn
Ions,Cl
Ions,NH4
Ions,NO3
Ions,PO4
Ions,SO4
