Equation
34.2764*(0.0401997 - 0.223438*chem6)*(0.0697112 - 0.406693*chem2) + 34.2764*exp(-10.6077*(0.0927811*chem15 - 1)**2 - 0.121385*(chem2 - 0.145988)**2) + 4.22826
12.2124*chem6 - 72.1892*(0.0433046 - 0.250458*chem6)*(0.719201 - 0.173893*chem2)*tanh(0.278593*chem15 - 2.97647) + 2.02139
-16.0452*(0.0368759*chem15 - 0.583331)*(0.0784771*chem15 + 0.924136)*((0.246821 - 0.410886*chem6)*(0.356544 - 0.913684*chem2) + 0.0500138*exp(0.459554*chem15)) + 6.96939
82.3136*(0.204258*chem6 - 0.0634488)*(exp(-8.87466*(1 - 0.0691824*chem15)**2 - 0.458168*(1 - 0.787916*chem2)**2) + exp(-2.28015*(1 - 0.152664*chem2)**2)) + 5.49885
81.7569*(0.205756*chem6 - 0.0688107)*(exp(-8.01003*(1 - 0.060777*chem15)**2 - 2.62162*(1 - 0.469415*chem2)**2) + exp(-2.29903*(1 - 0.153107*chem2)**2)) + 5.73723
36.3744*(0.281423*chem2 - 0.0349057)*(0.297465*chem6 + exp(-9.64265*(1 - 0.0818006*chem15)**2 - 22.7*(1 - 0.362095*chem2)**2) - 0.0264334) + 3.25146
30.7992*(0.305366*chem2 - 0.0536173)*(0.328292*chem6 - 0.0626878) + 30.7992*exp(-3.41529*(1 - 0.0734685*chem15)**2 - 7.6972*(1 - 0.0697099*chem15)**2) + 4.3188
-33.1869*(0.210485 - 0.499562*chem6)*(exp(-13.1045*(0.0742952*chem15 - 1)**2 - 1.61394*(0.544899*chem2 - 1)**2) + exp(-2.32249*(1 - 0.156162*chem2)**2)) + 6.71316
69.04*(0.383984*chem2 - 0.0642635)*(0.11616*chem6 - 0.0201876) + 69.04*exp(-11.2382*(0.0614172*chem15 - 1)**2 - 5.96993/(0.734431*chem15 - 1)**4) + 4.14815
4.96757*chem2 + 12.5297*chem6 - 30.2706*(0.304716*chem2 - 1.28161)*(0.355124*chem6 - 0.667322)*tanh(0.270297*chem15 - 2.68081) - 19.4109
