Equation
-49.5935*(-0.330088*chem2 - 0.124783)*(0.168883*chem6 + 0.0943499) - 49.5935*log(1.65802 - 0.0535752*chem13)**2 + 5.01637
-18.4875*(0.292698*chem2 + 0.0214646)*(-0.00603506*chem3 - 1.76626)*(0.0352932*chem13 + 0.307756*chem6 + 0.0027634) - 1.06005
13.3356*(0.146876*chem2 - 0.00444755)*(-0.0602233*chem13 - 0.527154*chem6 - 0.00603917)*(0.0319293*chem2 - 0.00877837*chem3 - 3.07171) - 1.30842
-101.566*(-0.03252*chem13 - 0.28001*chem6 - 0.106706)*tanh(0.114417*chem2 + 0.00387111) - 5.51214
1.05078*chem13 + 12.8874*chem6 - 28.0966*(1.85375 - 0.426638*chem2)*(0.0728023*chem2 - 2.46379)*(-0.0983561*chem6 - 0.0615459) + 0.700554
45.2211*(-0.00364705*chem3 - 1.85517)*(-0.0418772*chem13 - 0.363673*chem6 - 0.10271)*tanh(0.10555*chem2 + 8.31867e-5) - 4.7562
-50.4193*(0.0281379*chem13 + 1.0995)*(-0.319378*chem2 - 0.0188761)*(0.162804*chem6 + 0.0162908) + 0.282918
-53.7668*(-0.0595363*chem13 - 0.526067*chem6 - 0.0998568)*tanh(0.120359*chem2 + 0.000629762*chem3 - 0.0179245) - 3.44063
64.2424*(0.0031701*chem3 + 1.71987)*(0.029695*chem13 + 0.260578*chem6 + 0.0735924)*tanh(0.114427*chem2 - 0.00416297) - 4.93342
-12.8674*(1.43044*chem2 - 0.473988)*(-0.00420079*chem3 - 0.960163)*(0.0208712*chem13 + 0.184543*chem6 - 0.109) + 5.81386
