Equation
1.0936*chem13 + 30.9578*(0.0180422 - 0.313859*chem6)*(0.163307 - 0.330111*chem2) + 30.9578*exp((1.92993*chem10 - 1.76989)*(0.0573646*chem15 - 0.310696)) - 25.9051
1.13586*chem13 - 43.0305*(0.0405548 - 0.206364*chem6)*(0.369093*chem2 - 0.202417) - 43.0305*(0.336327 - 0.371028*chem10)*(0.232796*chem15 - 1.26958) + 6.22883
1.13091*chem13 - 22.7771*(0.142908 - 0.262473*chem2)*(0.548266*chem6 - 0.10112) - 22.7771*(2.7578 - 3.03928*chem10)*(0.0537445*chem15 - 0.294537) + 6.07165
1.12391*chem13 - 17.4342*(0.293604 - 0.5417*chem2)*(0.346388*chem6 - 0.0612415) - 17.4342*(2.33225 - 2.56412*chem10)*(0.0824983*chem15 - 0.454993) + 6.05854
1.14074*chem13 + 21.0357*(0.101032 - 0.545946*chem6)*(0.155421 - 0.285967*chem2) + 21.0357*(0.255209 - 0.0463761*chem15)*(3.46853 - 3.81558*chem10) + 5.98978
-4.05789*(1.08033 - 1.84554*chem2)*(0.442715*chem6 - 0.104646) - 4.05789*(2.8429 - 0.524893*chem15)*(1.7922*chem10 - 1.62102) + 36.452 - 29.8749*exp(-0.0445985*chem13)
-16.9323*(0.221673 - 0.422042*chem2)*(0.453338*chem6 - 0.0404313) - 16.9323*(3.44735 - 3.78086*chem10)*(0.0573426*chem15 - 0.318717) + 28.1791 - 22.9155*exp(-0.0623489*chem13)
-10.7616*(0.190029 - 0.318325*chem2)*(0.990307*chem6 - 0.344356) - 10.7616*(0.492805 - 0.0885365*chem15)*(3.80453*chem10 - 3.47048) - 10.7616*log(1.48962 - 0.102422*chem13) + 11.5965
-17.5025*(0.0408712 - 0.339469*chem2)*(0.0448909*chem13 - 0.00293143*chem14 + 0.491876*chem6 - 0.0178846 + 1.77622*exp(-3.70807*chem10)) + 3.27742
1.13294*chem13 + 18.6393*(0.963673 - 0.178493*chem15)*(1.05206 - 1.16643*chem10) + 18.6393*(2.40574*chem2 - 1.61653)*(0.0759487*chem6 - 0.0290135) + 8.17151
