Equation
1.6937*chem13 - 0.000472453*chem14 + 15.8454*chem2 + 11.344*chem6 + 7.25377*chem9 - 62.6058
4.92108*chem11 - 3.56967*chem12 + 1.35779*chem13 + 15.8281*chem2 + 10.4512*chem6 - 56.3044
1.65007*chem13 + 15.9029*chem2 + 11.2959*chem6 + 7.4656*chem9 - 62.5601
1.6705*chem13 + 15.8621*chem2 + 11.3006*chem6 + 7.86359*chem9 - 62.243
1.35743*chem13 + 0.0936751*chem15 + 15.6806*chem2 + 0.283097*chem4 + 10.7327*chem6 - 58.2489
1.57375*chem13 + 15.8916*chem2 + 0.298211*chem4 + 10.9715*chem6 + 6.42192*chem9 - 61.5099
1.31789*chem13 + 15.6835*chem2 - 0.168257*chem3 + 0.362279*chem4 + 10.591*chem6 - 55.8768
-2.667*chem12 + 1.27474*chem13 + 15.5549*chem2 + 10.6764*chem6 - 55.0353
-3.2257*chem12 + 1.27615*chem13 + 15.6151*chem2 - 0.0450705*chem3 + 10.6846*chem6 - 54.7493
-0.173461*chem1 + 1.32619*chem13 + 15.3893*chem2 + 10.7469*chem6 - 54.2824
