Equation
-1.38776*chem10 + 2.18454*chem13 + 13.7899*chem2 + 10.5373*chem6 - 47.6379
-1.43395*chem10 + 2.17554*chem13 + 13.7619*chem2 + 10.4919*chem6 - 47.3249
-1.40551*chem10 + 2.17213*chem13 + 13.7546*chem2 + 10.4886*chem6 - 47.2751
-1.41049*chem10 + 2.17269*chem13 + 13.7568*chem2 + 10.4891*chem6 - 47.2798
-1.41459*chem10 + 2.17749*chem13 + 13.7655*chem2 + 10.4975*chem6 - 47.3417
-1.41793*chem10 + 2.17433*chem13 + 13.7561*chem2 + 10.4877*chem6 - 47.2804
-1.40558*chem10 + 2.17129*chem13 + 13.757*chem2 + 10.4903*chem6 - 47.3139
-1.43238*chem10 + 2.17459*chem13 + 13.7612*chem2 + 10.4897*chem6 - 47.3165
-1.41687*chem10 + 2.17498*chem13 + 13.76*chem2 + 10.4911*chem6 - 47.3148
-1.40757*chem10 + 2.17328*chem13 + 13.7575*chem2 + 10.4909*chem6 - 47.2758
