Equation
-18.9217*chem12 + 1.51038*chem13 + 13.9103*chem2 - 0.666851*chem3 + 11.2853*chem6 - 43.2063
-18.9125*chem12 + 1.50713*chem13 + 13.9496*chem2 - 0.669018*chem3 + 11.2884*chem6 - 43.3402
-18.8937*chem12 + 1.49865*chem13 + 13.9642*chem2 - 0.671524*chem3 + 11.288*chem6 - 43.3788
-18.8257*chem12 + 1.49632*chem13 + 13.9647*chem2 - 0.671232*chem3 + 11.2642*chem6 - 43.2345
-18.9106*chem12 + 1.50213*chem13 + 13.9695*chem2 - 0.670019*chem3 + 11.29*chem6 - 43.4005
-18.8301*chem12 + 1.4825*chem13 + 13.9895*chem2 - 0.674693*chem3 + 11.2713*chem6 - 43.3503
-18.8197*chem12 + 1.49214*chem13 + 13.9758*chem2 - 0.672147*chem3 + 11.2644*chem6 - 43.2663
-18.891*chem12 + 1.48573*chem13 + 13.9861*chem2 - 0.674457*chem3 + 11.2856*chem6 - 43.4284
-18.7645*chem12 + 1.48995*chem13 + 13.9793*chem2 - 0.674636*chem3 + 11.2544*chem6 - 43.2223
-18.7877*chem12 + 1.4912*chem13 + 13.9752*chem2 - 0.673265*chem3 + 11.2563*chem6 - 43.2225
