Equation
9.1257*chem3 + 19.6687*(2.02425 - 0.231332*chem5)*(-0.200184*chem3 - 0.180869) + 3.16417
10.0373*chem3 + 22.3717*(0.0763824*chem3 + 0.071257)*(0.530794*chem5 - 5.18484) + 4.06092
7.00075*chem3 - 19.5293*(-0.0408363*chem3 - 0.0393459)*(1.13695*chem5 - 7.27807) + 1.10806
11.6745*chem3 + 25.0182*(0.117529*chem3 + 0.106673)*(0.309627*chem5 - 3.5768) + 5.50726
0.0308949*chem6 - 29.7443*(-0.249062*chem3 - 0.204699)*(0.123272*chem5 + 0.153403) - 4.5533
0.0824566*chem1 + 37.069*(-0.219323*chem3 - 0.0855915)*(-0.118039*chem5 - 0.100249) - 1.79058
9.68962*chem5 + 10.1801*(0.391076*chem3 - 3.8131)*(0.224132*chem5 + 0.326542) + 7.26449
5.60563*chem3 - 6.33711*(4.55661 - 0.936934*chem5)*(0.149998*chem3 + 0.158718) - 0.274256
-0.416136*chem12 + 24.2137*(0.466807*chem3 - 0.492727)*(0.100141*chem5 - 0.0629755) + 14.9031
6.54054*chem5 + 25.0368*(0.48382*chem3 - 3.00352)*(0.0716505*chem5 + 0.119885) + 2.53981
