Equation
-33.0854*(0.0649149*chem10 - 0.107792)*(-1.0404*chem10 + 0.683535*chem13 - 0.0253501) - 33.0854*(0.366131*chem2 + 0.000623458)*(-0.247537*chem6 - 0.000532249) + 1.54291
38.6173*(0.600615 - 0.211568*chem10)*(2.92784 - 1.18933*chem10)*(0.0379322*chem13 + 0.00682297) + 38.6173*(-0.215101*chem2 - 0.00144916)*(-0.360764*chem6 - 0.00155832) - 0.270418
11.3786*chem6 - 27.9462*(0.818801*chem10 - 1.48557)*(0.0533373*chem13 + 0.01362) - 27.9462*(0.613148*chem2 - 2.32462)*(-0.174836*chem6 - 0.000692426) - 0.317536
8.81388*chem6 - 29.4137*(0.447007*chem10 - 0.808747)*(0.0934842*chem13 + 0.0233867) - 29.4137*(0.382963*chem2 - 1.1238)*(-0.266017*chem6 - 0.00105719) - 0.319736
14.829*chem6 - 36.079*(1.07964 - 0.595636*chem10)*(-0.057029*chem13 - 0.0146991) - 36.079*(5.90079 - 1.19412*chem2)*(0.0695872*chem6 + 0.000119635) - 0.319736
4.41402*chem6 + 28.2835*(0.519388 - 0.286993*chem10)*(0.151174*chem13 + 0.0374995) + 28.2835*(0.654374 - 0.445987*chem2)*(-0.237593*chem6 - 0.000762793) - 0.322056
5.854*chem6 + 20.8731*(0.512249*chem10 - 0.928727)*(-0.114477*chem13 - 0.0289547) + 20.8731*(0.571599*chem2 - 1.1129)*(0.251363*chem6 + 0.000425951) - 0.352394
19.5981*chem2 - 30.2159*(0.0708443*chem10 - 0.127755)*(0.577023*chem13 + 0.145538) - 30.2159*(-0.303469*chem2 - 0.00104789)*(0.327153*chem6 - 2.13765) - 0.259705
9.02419*chem6 + 16.3128*(3.9851 - 1.32604*chem2)*(-0.138573*chem6 - 0.000385744) + 16.3128*(0.632355*chem10 - 1.14561)*(-0.118687*chem13 - 0.0304267) - 0.313093
36.2899*(1.72025 - 0.0112657*chem10)*(-0.248877*chem2 - 0.000866845)*(-0.194136*chem6 - 0.000206321) + 36.2899*(1.08848*chem10 - 2.04837)*(-0.0287013*chem13 - 0.00449235) - 0.208351
