Equation
1.05027*chem13 - 19.3326*(0.0546774*chem10 - 1.1129)*(-0.0685422*chem6 - 0.00285131)*(0.138143*chem11 - 2.11005*chem2 - 0.18357) - 0.85051
1.0597*chem13 - 17.6032*(-0.151358*chem6 - 0.0125705)*(1.11071*chem2 + (0.252753*chem10 - 1.95829)*(0.0308289*chem11 - 0.819835) - 1.31783) - 1.23204
1.06344*chem13 + 18.5952*(-0.14264*chem6 - 0.0120754)*(-1.11531*chem2 + (1.62741 - 0.0412363*chem11)*(0.127661*chem10 - 1.40202) + 1.99348) - 1.23357
1.06504*chem13 - 14.1126*(-0.313297*chem6 - 0.0267705)*(-0.123206*chem10 - 0.0311545*chem11 + 0.669115*chem2 + 0.171622) - 1.25563
-1.0992*chem11 + 1.0455*chem13 - 18.984*(0.0479901*chem10 - 0.969815)*(-0.669382*chem2 - 0.0335988)*(-0.253504*chem6 - 0.00670956) - 0.271388
1.09963*chem13 - 30.0363*(0.00605204 - 0.21539*chem2)*(0.00999794 - 0.228831*chem6)*(0.913513 - 0.0398063*chem10)*(0.00281119*chem8 - 2.35835) + 0.262447
1.0641*chem13 - 8.52169*(0.111349*chem10 - 2.25757)*(-0.138687*chem6 - 0.00772527)*(0.0690872*chem11 - 1.16297*chem2 - 0.103912) - 1.00322
1.06362*chem13 - 42.4553*(-0.151636*chem6 - 0.00857907)*(0.463136*chem2 + (0.264086*chem10 - 0.295075)*(0.282545*chem11 - 0.43513) + 7.78308e-5) - 0.899107
-0.899885*chem11 + 1.05411*chem13 + 14.6847*(0.34683*chem6 + 0.0157485)*(-0.112275*chem10 + 0.584918*chem2 + 0.13155) - 0.530838
-0.895968*chem11 + 1.05668*chem13 + 11.6857*(0.31465*chem6 + 0.0142664)*(-0.155127*chem10 + 0.810006*chem2 + 0.181757) - 0.550657
