Equation
-18.6137*(0.000825685*chem14 + 1.12551)*(0.161602*chem10 - 0.0588768*chem13 + (0.29175*chem2 + 0.0639231)*(-0.459235*chem6 - 0.144155) + 2.2592) + 47.0527
-3.78987*chem10 + 17.8009*(0.697768 - 0.00397851*chem14)*(0.110725*chem13 - 0.250211) + 17.8009*(0.731703*chem2 + 0.208798)*(0.213767*chem6 + 0.0930696) + 1.03763
1.22872*chem13 - 21.4357*(1.72898 - 1.76086*chem10)*(-0.00333612*chem14 - 0.0814898) - 21.4357*(0.343812*chem2 + 0.1129)*(-0.375597*chem6 - 0.189955) - 6.68257
1.21127*chem13 - 18.8619*(0.46524*chem10 - 0.457287)*(0.0144546*chem14 + 0.341375) - 18.8619*(0.6241*chem2 + 0.203432)*(-0.23547*chem6 - 0.116894) - 6.58536
-28.8747*(0.529977*chem10 - 1.13828)*(0.0666381*chem13 + 0.175334) - 28.8747*(-0.174469*chem6 - 0.0683939)*(0.553085*chem2 + 0.00230426*chem3 + 0.134081) - 7.88963
-19.0053*(0.375316*chem10 - 0.749612)*(0.160359*chem13 + 0.355178) - 19.0053*(-0.137316*chem6 - 0.05414)*(1.06811*chem2 + 0.00436517*chem3 + 0.258755) - 7.3021
1.20421*chem13 + 8.79721*(6.09038 - 6.22804*chem10)*(0.00241912*chem14 + 0.0538546) + 8.79721*(-0.535599*chem2 - 0.173196)*(-0.589389*chem6 - 0.288111) - 6.5212
-48.5585*(0.575887 - 0.296769*chem10)*(-0.0813633*chem13 - 0.200438) - 48.5585*(0.137959*chem6 + 0.0564889)*(-0.419554*chem2 + 0.00230869*chem4 - 0.113615) - 7.782
-3.95842*chem10 + 1.25329*chem13 + 15.7219*(-0.394023*chem2 - 0.13219)*(0.258481*chem6 + 0.13213)*(-0.00229735*chem8 - 1.69684) - 2.36646
20.496*(-0.00163038*chem3 - 1.0052)*(0.180955*chem10 - 0.0639901*chem13 + (-0.627619*chem2 - 0.175371)*(0.212745*chem6 + 0.0898281) + 1.89989) + 37.9064
