Equation
19.5559*(0.783561*chem10 - 1.41948*chem2 + 0.215151)*(-0.123107*chem6 + (0.296546 - 0.166977*chem13)*(0.00452172*chem14 + 0.0428007) + 0.0472901) + 9.68927
-13.3291*(1.28178*chem10 - 2.24124*chem2 + 0.328367)*(0.11487*chem6 + (0.110488 - 0.0584924*chem13)*(-0.0112144*chem14 - 0.120964) - 0.0452839) + 9.8586
-14.8843*(0.818255*chem10 - 1.44938*chem2 + 0.211789)*(0.158757*chem6 + (0.605248 - 0.327671*chem13)*(-0.00279616*chem14 - 0.029837) - 0.0621793) + 9.74263
1.12933*chem13 - 6.98355*(0.0614133 - 0.2309*chem6)*(2.05551*chem2 - 1.20754) - 6.98355*(3.13099 - 3.46182*chem10)*(0.157114*chem15 - 0.853602) + 6.96887
17.2111*(0.326603*chem15 - 2.03021)*(0.544232*chem10 - 0.0419496*chem13 - 0.496912) + 17.2111*(0.242112*chem2 - 0.137289)*(0.788217*chem6 - 0.103613) + 6.17006
10.6414*(0.0785344 - 0.121143*chem6)*(1.5101*chem10 - 2.74064*chem2 + 0.796148) + 10.6414*(0.27441*chem13 - 0.359527)*(0.0156766*chem14 + 0.383571) + 12.4426
-6.78695*(0.735259*chem13 - 0.97728)*(-0.00957465*chem14 - 0.220252) - 6.78695*(1.26559*chem6 - 1.00243)*(0.237996*chem10 - 0.423913*chem2 + 0.14818) + 13.5648
-63.484*(0.0547501*chem10 - 0.431396)*((0.104591 - 0.184739*chem2)*(0.370047 - 0.748571*chem6) + (0.220539 - 0.184393*chem13)*(-0.0109546*chem14 - 0.241334)) + 10.1258
27.3919*(0.0965962 - 0.186093*chem2)*(0.145719*chem10 - 1.12101)*(0.654649*chem6 - 0.26551) + 27.3919*(0.24481 - 0.217021*chem13)*(-0.00833095*chem14 - 0.188197) + 9.09638
17.8277*(-0.421607*chem10 + 0.722447*chem2 - 0.0579479)*(0.0267092*chem13 + (3.02754 - 0.443118*chem6)*(-0.0010515*chem14 - 0.574687) + 1.64893) + 8.96516
