Equation
-11.8017*chem10 + 26.1135*(-0.389441*chem2 - 0.104602)*(-0.0264938*chem13 - 0.273385*chem6 - 0.121026) + 5.80692
-32.9526*(0.00978799 - 0.314253*chem2)*(0.00675884*chem3 - 0.00284811*chem4 + (0.183886*chem6 - 0.996021)*(0.119347*chem8 + 0.719837) + 1.48917) + 3.22348
15.312*chem2 - 8.92334*(2.02406 - 0.393811*chem6)*(0.931*chem2 + 0.251095*chem8 - 2.29194) + 1.02398
1.24258*chem13 - 19.5119*(0.00367519 - 0.280253*chem2)*(0.0133704*chem4 + 0.563312*chem6 - 0.301459) + 4.25368
-43.9933*(0.138272*chem2 + 0.0184679)*(0.00652378*chem4 + 1.25394)*(-0.0350222*chem13 - 0.373348*chem6 + 0.113873) + 3.76132
-15.8343*(0.0787795 - 0.588351*chem2)*(0.00904032*chem4 + 0.348865*chem6 - 0.261039) - 15.8343*(0.0525295*chem13 - 0.557917)*(0.72497*chem9 - 1.57537) + 18.3613
-34.7379*(0.00209501*chem1 - 0.227037*chem6 + 0.0236915)*(0.0221484*chem13 + 0.376835*chem2 + 0.0209746) + 2.67941
28.849*(0.430152*chem2 - 0.0437974)*(0.114606*chem11 + 0.0198069*chem13 + 0.247613*chem6 - 0.127826) + 4.96806
-25.5172*(0.00445972*chem13 + 0.614296)*(0.111066*chem6 - 0.0871997)*(-1.08881*chem11 + (1.4244 - 0.89539*chem2)*(2.29939 - 0.0151308*chem15) - 1.51471) + 12.0299
1.25888*chem13 + 11.1975*chem6 + 47.9916*(0.86866*chem2 - 3.11744)*(0.0689435*chem6 + 0.00924287) - 2.20782
