Input,Operators,RMSE,Correct,Equation
Noise=0.5,"('add', 'sub')",3.646128913,0,5.00319*chem11 + 1.54886*chem13 + 16.3636*chem2 + 10.7991*chem6 - 61.9144
Noise=1,"('add', 'sub')",3.986756037,0,9.13633*chem11 + 1.49048*chem13 + 16.4495*chem2 + 10.7668*chem6 + 1.69638*chem9 - 63.6741
Noise=2,"('add', 'sub')",4.815550616,0,1.47758*chem13 + 14.8012*chem2 + 1.66494*chem5 + 10.6324*chem6 - 58.1613
Noise=3,"('add', 'sub')",4.774094272,0,#NAME?
Noise=4,"('add', 'sub')",5.414615687,0,#NAME?
Noise=5,"('add', 'sub')",5.79859223,0,2.13993*chem13 + 14.5801*chem2 + 12.8214*chem6 - 1.20854*chem8 + 1.82282*chem9 - 55.4214
No_noise_all_var,"('add', 'sub')",3.733779669,0,4.92108*chem11 - 3.56967*chem12 + 1.35779*chem13 + 15.8281*chem2 + 10.4512*chem6 - 56.3044
No_noise_rel_var,"('add', 'sub')",3.785349717,0,#NAME?
Noise=0.5,"('add', 'sub', 'mul', 'div')",1.478520495,0,1.17413*chem13 + 46.695*(0.271546*chem2 + 0.0149201)*(0.23848*chem6 - 0.0129205) - 0.673705
Noise=1,"('add', 'sub', 'mul', 'div')",1.204967141,0,#NAME?
Noise=2,"('add', 'sub', 'mul', 'div')",2.257167741,0,6.21842*(0.456681 - 1.11909*chem6)*(-0.0317862*chem13 - 0.460532*chem2 + 1.26156) + 6.21842*(4.06322 - 0.611327*chem6)*(0.00848149*chem14 - 2.04607) + 53.75
Noise=3,"('add', 'sub', 'mul', 'div')",2.794766621,0,#NAME?
Noise=4,"('add', 'sub', 'mul', 'div')",3.815996156,0,17.2923*chem6 - 29.2597*(4.02668 - 0.687583*chem2)*(0.0212516*chem13 - 0.533467)*(-0.251139*chem6 - 0.215818) + 2.14057
Noise=5,"('add', 'sub', 'mul', 'div')",4.973392356,0,6.69668*chem6 - 1.39002*chem7 - 21.0295*chem9 + 14.1461*(0.129755 - 0.185609*chem6)*(3.03317 - 1.35551*chem2) + 17.2079
No_noise_all_var,"('add', 'sub', 'mul', 'div')",1.425743904,0,1.16428*chem13 - 12.7022*(6.26833 - 1.42556*chem2)*(0.167598*chem6 - 0.00572197) - 12.7022*(0.554165*chem6 - 2.45718)*(0.0478785*chem9 - 1.91941) + 57.9627
No_noise_rel_var,"('add', 'sub', 'mul', 'div')",0.476752283,0,18.6341*chem6 - 73.0682*(2.58474 - 0.408785*chem2)*(-0.0755819*chem10 - 2.0352)*(0.0109908*chem13 - 0.354294)*(0.132005*chem6 + 0.0321144) + 2.82198
Noise=0.5,"('add', 'sub', 'mul', 'div', 'sqrt', 'log')",1.511288811,0,1.14593*chem13 - 22.3861*(-0.798371*chem2 - 0.0462544)*(0.168334*chem6 - 0.00593536) - 0.761379
Noise=1,"('add', 'sub', 'mul', 'div', 'sqrt', 'log')",1.203511398,0,1.10616*chem13 - 11.597*(0.836797*chem2 - 0.20988)*(-0.000154551*chem7 - 1.77482)*(-0.0674528*chem10 + 0.18815*chem6 - 0.0331589) + 5.41632
Noise=2,"('add', 'sub', 'mul', 'div', 'sqrt', 'log')",1.862274034,0,18.1808*(0.1349*chem13 + 1.94946*chem2 - 0.819973)*(0.00220539*chem3 + (0.583812 - 0.0897889*chem6)*(0.00315332*chem14 - 1.06233) + 0.532678) + 7.55475
Noise=3,"('add', 'sub', 'mul', 'div', 'sqrt', 'log')",2.791451033,0,#NAME?
Noise=4,"('add', 'sub', 'mul', 'div', 'sqrt', 'log')",3.905306059,0,17.8438*chem6 - 30.2566*(0.819453 - 0.0367663*chem13)*(0.854239*chem2 - 5.01373)*(-0.141979*chem6 - 0.0600881) + 0.661933
Noise=5,"('add', 'sub', 'mul', 'div', 'sqrt', 'log')",4.530396009,0,1.12875*chem1 + 18.9548*(0.659927 - 0.413035*chem6)*(-0.494013*chem2 + 0.0289931*chem7 + 0.0326917) + 9.1415
No_noise_all_var,"('add', 'sub', 'mul', 'div', 'sqrt', 'log')",0.81477683,0,1.19564*chem13 + 51.3736*(0.327309*chem2 - 0.00291779)*(0.179703*chem6 - 0.00788277) + 0.150011
No_noise_rel_var,"('add', 'sub', 'mul', 'div', 'sqrt', 'log')",0.857912229,0,30.4621*(-0.0730293*chem10 - 0.877792)*(-0.387328*chem6 - 0.0781267)*(-0.104364*chem10 + (0.568358 - 0.0176116*chem13)*(0.467102*chem2 - 2.9595) + 1.7717) - 1.21473
