Input,Operators,Correct_level,RMSE,Equation,time
Noise=0.25,"['log:1', 'exp:1', 'sqrt:1', 'squared:1', 'inverse:1', 'linear:1', 'tanh:1', 'gaussian:1', 'gaussian:2', 'multiply:2']",1,4.025310115,5.16265*chem11 + 1.158*chem13 - 1.04705*chem15 + 15.982*chem2 + 10.4589*chem6 - 54.1151,31395.65575
Noise=0.5,"['log:1', 'exp:1', 'sqrt:1', 'squared:1', 'inverse:1', 'linear:1', 'tanh:1', 'gaussian:1', 'gaussian:2', 'multiply:2']",1,4.087891606,=-4.02573*chem10 + 17.1496*chem2 - 0.234703*chem3 + 10.5333*chem6 + 0.695226*chem8 - 58.2215,31395.65575
Noise=0.75,"['log:1', 'exp:1', 'sqrt:1', 'squared:1', 'inverse:1', 'linear:1', 'tanh:1', 'gaussian:1', 'gaussian:2', 'multiply:2']",1,3.822308683,8.54557*chem11 + 1.27421*chem13 - 1.24859*chem15 + 15.9818*chem2 + 10.1929*chem6 - 53.161,31395.65575
Noise=1,"['log:1', 'exp:1', 'sqrt:1', 'squared:1', 'inverse:1', 'linear:1', 'tanh:1', 'gaussian:1', 'gaussian:2', 'multiply:2']",1,4.511510497,=-6.04867*chem10 + 1.18076*chem13 + 16.1607*chem2 - 0.596945*chem4 + 11.3349*chem6 - 52.6245,31395.65575
Noise=1.25,"['log:1', 'exp:1', 'sqrt:1', 'squared:1', 'inverse:1', 'linear:1', 'tanh:1', 'gaussian:1', 'gaussian:2', 'multiply:2']",1,4.061001047,0.64245*chem13 - 0.652908*chem15 + 15.4572*chem2 + 10.4323*chem6 + 0.586008*chem8 - 54.9777,31395.65575
Noise=1.5,"['log:1', 'exp:1', 'sqrt:1', 'squared:1', 'inverse:1', 'linear:1', 'tanh:1', 'gaussian:1', 'gaussian:2', 'multiply:2']",1,4.239914625,1.93402*chem13 - 1.18986*chem15 + 14.5809*chem2 - 0.672186*chem4 + 11.4756*chem6 - 50.0144,31395.65575
Noise=1.75,"['log:1', 'exp:1', 'sqrt:1', 'squared:1', 'inverse:1', 'linear:1', 'tanh:1', 'gaussian:1', 'gaussian:2', 'multiply:2']",1,4.553466053,=-7.93385*chem10 + 0.841827*chem13 + 16.3469*chem2 + 10.9821*chem6 + 0.433097*chem8 - 55.7912,31395.65575
Noise=2,"['log:1', 'exp:1', 'sqrt:1', 'squared:1', 'inverse:1', 'linear:1', 'tanh:1', 'gaussian:1', 'gaussian:2', 'multiply:2']",1,4.514617583,14.2694*chem11 + 1.48733*chem13 - 2.0748*chem15 + 15.9473*chem2 + 10.5471*chem6 - 54.3374,31395.65575
No_noise_all_var,"['log:1', 'exp:1', 'sqrt:1', 'squared:1', 'inverse:1', 'linear:1', 'tanh:1', 'gaussian:1', 'gaussian:2', 'multiply:2']",1,4.053030124,5.54784*chem11 + 1.28201*chem13 - 1.02159*chem15 + 16.086*chem2 + 10.4947*chem6 - 54.8639,31395.65575
No_noise_rel_var,"['log:1', 'exp:1', 'sqrt:1', 'squared:1', 'inverse:1', 'linear:1', 'tanh:1', 'gaussian:1', 'gaussian:2', 'multiply:2']",2,4.489156613,=-2.9831*chem10 + 0.951657*chem13 + 16.1704*chem2 + 11.0067*chem6 - 55.962,31395.65575
