complexity,loss,score,equation,sympy_format,lambda_format
1,68.79733,0.0,chem3,chem3,PySRFunction(X=>chem3)
3,6.5523343,1.1756717841045126,chem3 * chem5,chem3*chem5,PySRFunction(X=>chem3*chem5)
5,1.5980613,0.70551508038939,(chem5 + 0.7464061) * chem3,chem3*(chem5 + 0.7464061),PySRFunction(X=>chem3*(chem5 + 0.7464061))
7,1.2650589,0.11683626234926955,chem7 + (chem3 * (chem5 - -0.40878266)),chem3*(chem5 - 1*(-0.40878266)) + chem7,PySRFunction(X=>chem3*(chem5 - 1*(-0.40878266)) + chem7)
8,1.1810881,0.06868255012894005,(chem5 + sqrt(5.0066633 / chem12)) * chem3,chem3*(chem5 + 2.23755744060348*sqrt(1/chem12)),PySRFunction(X=>chem3*(chem5 + 2.23755744060348*sqrt(1/chem12)))
9,0.64100057,0.6111610650577166,chem7 + (chem3 * (chem5 - (-2.776036 / chem12))),chem3*(chem5 - (-1)*2.776036/chem12) + chem7,PySRFunction(X=>chem3*(chem5 - (-1)*2.776036/chem12) + chem7)
10,0.5508087,0.1516427842191155,chem7 + (chem3 * (chem5 - (-0.8039413 / log(chem12)))),chem3*(chem5 + 0.8039413/log(chem12)) + chem7,PySRFunction(X=>chem3*(chem5 + 0.8039413/log(chem12)) + chem7)
11,0.4964236,0.10395796743178287,(chem3 * (chem5 - (-1.152095 / log(chem12)))) + log(chem7),chem3*(chem5 + 1.152095/log(chem12)) + log(chem7),PySRFunction(X=>chem3*(chem5 + 1.152095/log(chem12)) + log(chem7))
12,0.42300376,0.1600485266092848,-1.0666227 + (chem7 + (chem3 * (chem5 - (-1.0249431 / log(chem12))))),chem3*(chem5 + 1.0249431/log(chem12)) + chem7 - 1.0666227,PySRFunction(X=>chem3*(chem5 + 1.0249431/log(chem12)) + chem7 - 1.0666227)
13,4.281987e-06,11.500719192679417,"max(-0.02572805, ((chem5 - -0.50000006) * chem3) + (chem7 * (5.0000024 / chem12)))","Piecewise((chem3*(chem5 - 1*(-0.50000006)) + chem7*5.0000024/chem12, chem3*(chem5 - 1*(-0.50000006)) + chem7*5.0000024/chem12 > -0.02572805), (-0.02572805, True))","PySRFunction(X=>Piecewise((chem3*(chem5 - 1*(-0.50000006)) + chem7*5.0000024/chem12, chem3*(chem5 - 1*(-0.50000006)) + chem7*5.0000024/chem12 > -0.02572805), (-0.02572805, True)))"
