complexity,loss,score,equation,sympy_format,lambda_format
1,24.549822,0.0,57.742107,57.7421070000000,PySRFunction(X=>57.7421070000000)
3,14.509953,0.262934887979823,chem6 * 11.129247,chem6*11.129247,PySRFunction(X=>chem6*11.129247)
5,1.1625193,1.2621226836266677,(chem2 * chem6) * 3.0891159,chem2*chem6*3.0891159,PySRFunction(X=>chem2*chem6*3.0891159)
7,0.34392536,0.608960041193941,chem13 + (3.013398 * (chem2 * chem6)),chem13 + 3.013398*chem2*chem6,PySRFunction(X=>chem13 + 3.013398*chem2*chem6)
9,3.7667212e-06,5.710987510623501,((chem2 * chem6) * 3.0) + (chem13 / chem10),chem2*chem6*3.0 + chem13/chem10,PySRFunction(X=>chem2*chem6*3.0 + chem13/chem10)
11,2.9793857e-06,0.117243888246868,(((chem2 * chem6) * 2.913782) * 1.0295898) + (chem13 / chem10),chem2*chem6*2.913782*1.0295898 + chem13/chem10,PySRFunction(X=>chem2*chem6*2.913782*1.0295898 + chem13/chem10)
13,2.5883655e-06,0.07034527145643528,(((chem2 * chem6) * 2.913782) * 1.0295898) + ((chem13 / chem10) - -4.8688736e-7),chem2*chem6*2.913782*1.0295898 - 1*(-4.8688736e-7) + chem13/chem10,PySRFunction(X=>chem2*chem6*2.913782*1.0295898 - 1*(-4.8688736e-7) + chem13/chem10)
15,2.5872673e-06,0.0002121866173506524,((chem6 * chem2) * 3.0) + ((chem13 / chem10) - (chem6 * (-1.2670645e-7 * chem13))),-(-1.2670645e-7)*chem13*chem6 + chem6*chem2*3.0 + chem13/chem10,PySRFunction(X=>-(-1.2670645e-7)*chem13*chem6 + chem6*chem2*3.0 + chem13/chem10)
17,2.3975592e-06,0.03807550116083585,((chem2 * chem6) * 3.0) + ((chem13 / chem10) - (chem2 * ((-1.1045921e-7 / 1.1072948) * chem13))),-(-1.1045921e-7)*chem13*chem2/1.1072948 + chem2*chem6*3.0 + chem13/chem10,PySRFunction(X=>-(-1.1045921e-7)*chem13*chem2/1.1072948 + chem2*chem6*3.0 + chem13/chem10)
19,2.3203897e-06,0.01635803707421724,((chem6 * chem2) * 3.0) + ((chem13 / chem10) - ((chem6 + (-1.1061208 - chem13)) * (-1.5386925e-7 * chem13))),-(-1.5386925e-7)*chem13*(-chem13 + chem6 - 1.1061208) + chem6*chem2*3.0 + chem13/chem10,PySRFunction(X=>-(-1.5386925e-7)*chem13*(-chem13 + chem6 - 1.1061208) + chem6*chem2*3.0 + chem13/chem10)
