complexity,loss,score,equation,sympy_format,lambda_format
1,55.586235,0.0,chem3,chem3,PySRFunction(X=>chem3)
2,24.520449,0.818428176180361,sqrt(3314.4265),57.5710560959238,PySRFunction(X=>57.5710560959238)
3,14.557876,0.5213752694764704,chem6 * 11.095074,chem6*11.095074,PySRFunction(X=>chem6*11.095074)
5,2.2488904,0.9338476069933441,(3.0793986 * chem2) * chem6,3.0793986*chem2*chem6,PySRFunction(X=>3.0793986*chem2*chem6)
7,1.8878517,0.08749871155509813,(chem6 * (chem2 / 0.33293468)) + chem13,chem13 + chem2*chem6/0.33293468,PySRFunction(X=>chem13 + chem2*chem6/0.33293468)
9,1.7631068,0.03418101788459102,(chem6 * (chem2 / 0.33442402)) + (chem13 / chem10),chem2*chem6/0.33442402 + chem13/chem10,PySRFunction(X=>chem2*chem6/0.33442402 + chem13/chem10)
11,1.7079468,0.01589276639995032,((chem6 * (chem2 * 2.9730992)) + (chem13 / chem10)) + chem12,chem12 + chem6*chem2*2.9730992 + chem13/chem10,PySRFunction(X=>chem12 + chem6*chem2*2.9730992 + chem13/chem10)
13,1.6821586,0.007607048862942341,(((chem6 * (chem2 / 0.33504504)) + (chem13 / chem10)) - chem9) + chem12,chem12 + chem2*chem6/0.33504504 - chem9 + chem13/chem10,PySRFunction(X=>chem12 + chem2*chem6/0.33504504 - chem9 + chem13/chem10)
14,1.6205236,0.03732854271463925,((chem6 * (chem2 / 0.33342993)) + (chem13 / chem10)) - (chem9 / log(chem14)),2.99913088186175*chem2*chem6 - chem9/log(chem14) + chem13/chem10,PySRFunction(X=>2.99913088186175*chem2*chem6 - chem9/log(chem14) + chem13/chem10)
15,1.5973153,0.014425024467881428,((chem6 * (chem2 / 0.3324409)) + (chem13 / chem10)) - (chem9 / log(sqrt(chem14))),3.00805346153256*chem2*chem6 - chem9/log(sqrt(chem14)) + chem13/chem10,PySRFunction(X=>3.00805346153256*chem2*chem6 - chem9/log(sqrt(chem14)) + chem13/chem10)
16,1.5801511,0.010803807054161852,((chem6 * (chem2 * 2.9820058)) + (chem13 / chem10)) + (chem12 - (chem9 / log(chem14))),chem12 + 2.9820058*chem2*chem6 - chem9/log(chem14) + chem13/chem10,PySRFunction(X=>chem12 + 2.9820058*chem2*chem6 - chem9/log(chem14) + chem13/chem10)
17,1.5601028,0.01276875885153004,((chem6 * (chem2 / 0.33239943)) + (chem13 / chem10)) - ((chem9 / sqrt(chem11)) / log(chem14)),3.00842874489887*chem2*chem6 - chem9/(sqrt(chem11)*log(chem14)) + chem13/chem10,PySRFunction(X=>3.00842874489887*chem2*chem6 - chem9/(sqrt(chem11)*log(chem14)) + chem13/chem10)
18,1.5316287,0.018420037506724753,((chem6 * (chem2 / 0.33222196)) + (chem13 / chem10)) - ((0.49993914 / (chem11 / chem9)) / log(chem14)),3.01003582063028*chem2*chem6 - 0.49993914*chem9/(chem11*log(chem14)) + chem13/chem10,PySRFunction(X=>3.01003582063028*chem2*chem6 - 0.49993914*chem9/(chem11*log(chem14)) + chem13/chem10)
19,1.5071347,0.01612138048963711,((chem6 * (chem2 / 0.33163768)) + (chem13 / chem10)) - ((chem9 / (chem11 / chem9)) / log(sqrt(chem14))),3.01533890841354*chem2*chem6 - chem9**2/(chem11*log(sqrt(chem14))) + chem13/chem10,PySRFunction(X=>3.01533890841354*chem2*chem6 - chem9**2/(chem11*log(sqrt(chem14))) + chem13/chem10)
20,1.5008085,0.0042063356300003525,((chem6 * (chem2 / 0.33201203)) + (chem13 / chem10)) - ((1.7353039 / (chem11 / (chem9 * chem9))) / log(chem14)),3.01193905534086*chem2*chem6 - 1.7353039*chem9**2/(chem11*log(chem14)) + chem13/chem10,PySRFunction(X=>3.01193905534086*chem2*chem6 - 1.7353039*chem9**2/(chem11*log(chem14)) + chem13/chem10)
