complexity,loss,score,equation,sympy_format,lambda_format
1,74.53649,0.0,chem7,chem7,PySRFunction(X=>chem7)
3,7.075605,1.1773179259451023,chem3 * chem5,chem3*chem5,PySRFunction(X=>chem3*chem5)
5,2.902759,0.4454956441062538,(chem5 + 0.75794685) * chem3,chem3*(chem5 + 0.75794685),PySRFunction(X=>chem3*(chem5 + 0.75794685))
7,2.7172,0.033029862846650465,chem7 + ((chem5 - -0.42044073) * chem3),chem3*(chem5 - 1*(-0.42044073)) + chem7,PySRFunction(X=>chem3*(chem5 - 1*(-0.42044073)) + chem7)
9,2.6248431,0.01729040775318857,"min(chem7, chem2) + ((chem5 - -0.4517017) * chem3)","chem3*(chem5 - 1*(-0.4517017)) + Piecewise((chem7, chem2 > chem7), (chem2, True))","PySRFunction(X=>chem3*(chem5 - 1*(-0.4517017)) + Piecewise((chem7, chem2 > chem7), (chem2, True)))"
10,2.600223,0.009423912248397151,((chem5 * (chem3 / 0.95628566)) + chem7) - sin(chem2),chem3*chem5/0.95628566 + chem7 - sin(chem2),PySRFunction(X=>chem3*chem5/0.95628566 + chem7 - sin(chem2))
11,2.5434499,0.022075822761091178,"min(chem2, max(chem7, chem4)) + ((chem5 - -0.4116355) * chem3)","chem3*(chem5 - 1*(-0.4116355)) + Piecewise((chem2, ITE(chem4 > chem7, chem2 < chem4, chem2 < chem7)), (Piecewise((chem4, chem4 > chem7), (chem7, True)), True))","PySRFunction(X=>chem3*(chem5 - 1*(-0.4116355)) + Piecewise((chem2, ITE(chem4 > chem7, chem2 < chem4, chem2 < chem7)), (Piecewise((chem4, chem4 > chem7), (chem7, True)), True)))"
12,2.5200212,0.009254073632786203,"((chem5 * (chem3 / 0.9486443)) + chem7) - sin(min(chem2, chem4))","chem3*chem5/0.9486443 + chem7 - sin(Piecewise((chem2, chem2 < chem4), (chem4, True)))","PySRFunction(X=>chem3*chem5/0.9486443 + chem7 - sin(Piecewise((chem2, chem2 < chem4), (chem4, True))))"
13,2.5091696,0.004315452434571031,(chem7 + (chem5 * (chem3 / 0.95413065))) - sin(chem8 * log(chem4)),1.04807449587748*chem3*chem5 + chem7 - sin(chem8*log(chem4)),PySRFunction(X=>1.04807449587748*chem3*chem5 + chem7 - sin(chem8*log(chem4)))
14,2.4705725,0.015501956592536389,"((chem5 * (chem3 / 0.9486443)) + chem7) - sin(min(max(chem2, chem15), chem4))","chem3*chem5/0.9486443 + chem7 - sin(Piecewise((Piecewise((chem15, chem15 > chem2), (chem2, True)), ITE(chem15 > chem2, chem15 < chem4, chem2 < chem4)), (chem4, True)))","PySRFunction(X=>chem3*chem5/0.9486443 + chem7 - sin(Piecewise((Piecewise((chem15, chem15 > chem2), (chem2, True)), ITE(chem15 > chem2, chem15 < chem4, chem2 < chem4)), (chem4, True))))"
15,2.3898208,0.033231521106401006,"(((chem3 / 0.948595) * chem5) + min(chem7, chem2)) - sin(chem8 * log(chem4))","1.05419067146675*chem3*chem5 + Piecewise((chem7, chem2 > chem7), (chem2, True)) - sin(chem8*log(chem4))","PySRFunction(X=>1.05419067146675*chem3*chem5 + Piecewise((chem7, chem2 > chem7), (chem2, True)) - sin(chem8*log(chem4)))"
17,2.3392246,0.010699438559477841,"(((chem3 / 0.9486443) * chem5) + min(chem7, chem2)) - (sin(chem8 * log(chem4)) / 0.64477175)","1.05413588633801*chem3*chem5 + Piecewise((chem7, chem2 > chem7), (chem2, True)) - 1.55093643603337*sin(chem8*log(chem4))","PySRFunction(X=>1.05413588633801*chem3*chem5 + Piecewise((chem7, chem2 > chem7), (chem2, True)) - 1.55093643603337*sin(chem8*log(chem4)))"
18,2.2848625,0.023513659453021692,"((chem5 * (chem3 / 0.9486443)) + min(chem7, chem2 - sin(chem15))) - sin(chem8 * log(chem4))","1.05413588633801*chem3*chem5 + Piecewise((chem7, chem7 < chem2 - sin(chem15)), (chem2 - sin(chem15), True)) - sin(chem8*log(chem4))","PySRFunction(X=>1.05413588633801*chem3*chem5 + Piecewise((chem7, chem7 < chem2 - sin(chem15)), (chem2 - sin(chem15), True)) - sin(chem8*log(chem4)))"
20,2.2553203,0.00650692235081766,"((chem5 * (chem3 / 0.9486443)) + min(max(chem7, chem14), chem2 - sin(chem15))) - sin(chem8 * log(chem4))","1.05413588633801*chem3*chem5 + Piecewise((Piecewise((chem14, chem14 > chem7), (chem7, True)), ITE(chem14 > chem7, chem14 < chem2 - sin(chem15), chem7 < chem2 - sin(chem15))), (chem2 - sin(chem15), True)) - sin(chem8*log(chem4))","PySRFunction(X=>1.05413588633801*chem3*chem5 + Piecewise((Piecewise((chem14, chem14 > chem7), (chem7, True)), ITE(chem14 > chem7, chem14 < chem2 - sin(chem15), chem7 < chem2 - sin(chem15))), (chem2 - sin(chem15), True)) - sin(chem8*log(chem4)))"
