complexity,loss,score,equation,sympy_format,lambda_format
1,24.54982,0.0,57.743515,57.7435150000000,PySRFunction(X=>57.7435150000000)
3,23.225157,0.02773423880204688,chem6 + 52.51507,chem6 + 52.51507,PySRFunction(X=>chem6 + 52.51507)
5,21.946688,0.028309902440150737,(chem6 + chem6) + 47.28826,chem6 + chem6 + 47.28826,PySRFunction(X=>chem6 + chem6 + 47.28826)
7,20.722967,0.02868681881657031,(chem6 + 42.061592) + (chem6 + chem6),chem6 + chem6 + chem6 + 42.061592,PySRFunction(X=>chem6 + chem6 + chem6 + 42.061592)
9,19.56427,0.028768829339977386,chem6 + (((chem6 + chem6) - -36.834694) + chem6),chem6 + chem6 + chem6 + chem6 - 1*(-36.834694),PySRFunction(X=>chem6 + chem6 + chem6 + chem6 - 1*(-36.834694))
11,18.48283,0.02843137521171538,((chem6 + ((chem6 + chem6) + chem6)) - -31.607752) + chem6,chem6 + chem6 + chem6 + chem6 + chem6 - 1*(-31.607752),PySRFunction(X=>chem6 + chem6 + chem6 + chem6 + chem6 - 1*(-31.607752))
13,17.492981,0.027521239129187806,((chem6 + (((chem6 + chem6) + chem6) + chem6)) - -26.379875) + chem6,chem6 + chem6 + chem6 + chem6 + chem6 + chem6 - 1*(-26.379875),PySRFunction(X=>chem6 + chem6 + chem6 + chem6 + chem6 + chem6 - 1*(-26.379875))
15,16.561497,0.027359585668329068,(((chem6 + (((chem6 + chem6) + chem6) + chem6)) - -21.85461) + chem6) + chem4,chem4 + chem6 + chem6 + chem6 + chem6 + chem6 + chem6 - 1*(-21.85461),PySRFunction(X=>chem4 + chem6 + chem6 + chem6 + chem6 + chem6 + chem6 - 1*(-21.85461))
17,15.676827,0.027448454335618367,((((chem6 - chem1) + (((chem6 + chem6) + chem6) + chem6)) - -27.157103) + chem6) + chem4,-chem1 + chem4 + chem6 + chem6 + chem6 + chem6 + chem6 + chem6 - 1*(-27.157103),PySRFunction(X=>-chem1 + chem4 + chem6 + chem6 + chem6 + chem6 + chem6 + chem6 - 1*(-27.157103))
19,14.897395,0.025498634649591827,((((chem6 - chem1) + (((chem6 + chem6) + (chem6 + chem6)) + chem6)) - -21.931498) + chem6) + chem4,-chem1 + chem4 + chem6 + chem6 + chem6 + chem6 + chem6 + chem6 + chem6 - 1*(-21.931498),PySRFunction(X=>-chem1 + chem4 + chem6 + chem6 + chem6 + chem6 + chem6 + chem6 + chem6 - 1*(-21.931498))
