complexity,loss,score,equation,sympy_format,lambda_format
2,21.478563,0.0,myfunction(74.176865),74.1768650000000,PySRFunction(X=>74.1768650000000)
3,19.639767,0.08949892864929662,chem3 + 65.93459,chem3 + 65.93459,PySRFunction(X=>chem3 + 65.93459)
5,17.864964,0.04735748147608327,(chem3 + 57.690937) + chem3,chem3 + chem3 + 57.690937,PySRFunction(X=>chem3 + chem3 + 57.690937)
7,16.175232,0.04968014647689395,(chem3 + chem3) + (chem3 - -49.445522),chem3 + chem3 + chem3 - 1*(-49.445522),PySRFunction(X=>chem3 + chem3 + chem3 - 1*(-49.445522))
9,14.600143,0.051224930109666056,(chem3 + chem3) + (chem3 + (chem3 - -41.203655)),chem3 + chem3 + chem3 + chem3 - 1*(-41.203655),PySRFunction(X=>chem3 + chem3 + chem3 + chem3 - 1*(-41.203655))
10,14.6001425,3.4246240430340527e-08,myfunction(chem3 + (((chem3 + chem3) - -41.20385) + chem3)),chem3 + chem3 + chem3 + chem3 - 1*(-41.20385),PySRFunction(X=>chem3 + chem3 + chem3 + chem3 - 1*(-41.20385))
11,13.180855,0.10226589095361259,((chem3 + chem3) + (chem3 - -32.960117)) + (chem3 + chem3),chem3 + chem3 + chem3 + chem3 + chem3 - 1*(-32.960117),PySRFunction(X=>chem3 + chem3 + chem3 + chem3 + chem3 - 1*(-32.960117))
12,13.180854,7.586761540359601e-08,myfunction((chem3 + ((chem3 + chem3) - (-32.960766 - chem3))) + chem3),chem3 + chem3 + chem3 + chem3 - (-chem3 - 32.960766),PySRFunction(X=>chem3 + chem3 + chem3 + chem3 - (-chem3 - 32.960766))
13,11.972902,0.09611939250129944,chem3 + (chem3 + ((chem3 + chem3) - (-24.71438 - (chem3 + chem3)))),chem3 + chem3 + chem3 + chem3 - (-(chem3 + chem3) - 24.71438),PySRFunction(X=>chem3 + chem3 + chem3 + chem3 - (-(chem3 + chem3) - 24.71438))
15,10.935264,0.045326566559811654,(chem5 + ((chem3 + chem3) - (-16.50918 - (chem3 + (chem3 + chem3))))) + chem3,chem3 + chem3 + chem3 + chem5 - (-(chem3 + chem3 + chem3) - 16.50918),PySRFunction(X=>chem3 + chem3 + chem3 + chem5 - (-(chem3 + chem3 + chem3) - 16.50918))
16,10.935263,9.144727049623834e-08,myfunction((chem3 + (chem3 + chem3)) + ((chem3 + (chem3 + chem5)) + (chem3 + 16.508963))),chem3 + chem3 + chem3 + chem3 + chem3 + chem3 + chem5 + 16.508963,PySRFunction(X=>chem3 + chem3 + chem3 + chem3 + chem3 + chem3 + chem5 + 16.508963)
17,8.842756,0.212394112284294,((((((chem5 + chem3) + chem3) + chem3) + chem3) + (chem5 + chem3)) + chem3) + chem3,chem3 + chem3 + chem3 + chem3 + chem3 + chem3 + chem3 + chem5 + chem5,PySRFunction(X=>chem3 + chem3 + chem3 + chem3 + chem3 + chem3 + chem3 + chem5 + chem5)
19,8.842566,1.0743372385706928e-05,(chem3 + (((chem3 + (chem3 + ((chem5 + (chem3 + chem3)) + chem5))) + chem3) + chem3)) - -0.059521243,chem3 + chem3 + chem3 + chem3 + chem3 + chem3 + chem3 + chem5 + chem5 - 1*(-0.059521243),PySRFunction(X=>chem3 + chem3 + chem3 + chem3 + chem3 + chem3 + chem3 + chem5 + chem5 - 1*(-0.059521243))
20,8.842565,1.1308935161629571e-07,myfunction(((chem3 + chem3) + ((chem3 + (chem3 + chem3)) + (chem3 + chem5))) - (-0.058182918 - (chem3 + chem5))),chem3 + chem3 + chem3 + chem3 + chem3 + chem3 + chem5 - (-(chem3 + chem5) - 0.058182918),PySRFunction(X=>chem3 + chem3 + chem3 + chem3 + chem3 + chem3 + chem5 - (-(chem3 + chem5) - 0.058182918))
