complexity,loss,score,equation,sympy_format,lambda_format
2,21.674622,0.0,myfunction(74.247314),74.2473140000000,PySRFunction(X=>74.2473140000000)
3,19.869505,0.08695593874228051,chem3 - -66.00025,chem3 - 1*(-66.00025),PySRFunction(X=>chem3 - 1*(-66.00025))
4,19.869503,1.0065676521503462e-07,myfunction(66.004 + chem3),chem3 + 66.004,PySRFunction(X=>chem3 + 66.004)
5,18.13422,0.09138528261193557,chem3 - (-57.759724 - chem3),chem3 - (-chem3 - 57.759724),PySRFunction(X=>chem3 - (-chem3 - 57.759724))
7,16.49083,0.04749814610844744,(chem3 + chem3) - (-49.516384 - chem3),chem3 + chem3 - (-chem3 - 49.516384),PySRFunction(X=>chem3 + chem3 - (-chem3 - 49.516384))
9,14.969626,0.04839062701038881,(chem3 + (chem3 - (-41.272785 - chem3))) + chem3,chem3 + chem3 + chem3 - (-chem3 - 41.272785),PySRFunction(X=>chem3 + chem3 + chem3 - (-chem3 - 41.272785))
11,13.61164,0.04754895289150787,(((chem3 + chem3) + chem3) - (-33.03106 - chem3)) + chem3,chem3 + chem3 + chem3 + chem3 - (-chem3 - 33.03106),PySRFunction(X=>chem3 + chem3 + chem3 + chem3 - (-chem3 - 33.03106))
13,12.4703045,0.04378756551901666,((((chem3 + (chem3 + chem3)) + chem3) + chem3) + 24.78572) + chem3,chem3 + chem3 + chem3 + chem3 + chem3 + chem3 + 24.78572,PySRFunction(X=>chem3 + chem3 + chem3 + chem3 + chem3 + chem3 + 24.78572)
15,11.501576,0.04043305427030067,(((chem3 + (chem3 - (-16.578285 - chem3))) + chem3) + (chem3 + chem5)) + chem3,chem3 + chem3 + chem3 + chem3 + chem3 + chem5 - (-chem3 - 16.578285),PySRFunction(X=>chem3 + chem3 + chem3 + chem3 + chem3 + chem5 - (-chem3 - 16.578285))
17,9.595722,0.09058334765220143,((((chem3 + chem3) + chem5) + (chem5 + ((chem3 + chem3) + chem3))) + chem3) + chem3,chem3 + chem3 + chem3 + chem3 + chem3 + chem3 + chem3 + chem5 + chem5,PySRFunction(X=>chem3 + chem3 + chem3 + chem3 + chem3 + chem3 + chem3 + chem5 + chem5)
19,9.534673,0.003191215196440187,((((chem3 - chem14) + (chem3 + chem3)) + (chem3 + chem5)) + (chem3 + (chem5 + chem3))) + chem3,-chem14 + chem3 + chem3 + chem3 + chem3 + chem3 + chem3 + chem3 + chem5 + chem5,PySRFunction(X=>-chem14 + chem3 + chem3 + chem3 + chem3 + chem3 + chem3 + chem3 + chem5 + chem5)
