complexity,loss,score,equation,sympy_format,lambda_format
1,75.760315,0.0,1.5261525,1.52615250000000,PySRFunction(X=>1.52615250000000)
2,21.478561,1.260519331890775,myfunction(74.1753),74.1753000000000,PySRFunction(X=>74.1753000000000)
3,6.5523343,1.1872339070076694,chem5 * chem3,chem3*chem5,PySRFunction(X=>chem3*chem5)
5,1.5980613,0.70551508038939,(chem5 + 0.7464061) * chem3,chem3*(chem5 + 0.7464061),PySRFunction(X=>chem3*(chem5 + 0.7464061))
7,1.2650589,0.11683626234926955,(chem3 * (chem5 + 0.40876722)) + chem7,chem3*(chem5 + 0.40876722) + chem7,PySRFunction(X=>chem3*(chem5 + 0.40876722) + chem7)
9,0.6410002,0.3399220962046995,((chem5 + (2.7760587 / chem12)) * chem3) + chem7,chem3*(chem5 + 2.7760587/chem12) + chem7,PySRFunction(X=>chem3*(chem5 + 2.7760587/chem12) + chem7)
10,0.64100015,7.80030989136012e-08,myfunction((chem5 + (2.776027 / chem12)) * chem3) + chem7,chem3*(chem5 + 2.776027/chem12) + chem7,PySRFunction(X=>chem3*(chem5 + 2.776027/chem12) + chem7)
11,0.54429245,0.1635429966130593,(((chem5 + (2.1894894 / chem12)) * 1.0114446) * chem3) + chem7,(chem5 + 2.1894894/chem12)*1.0114446*chem3 + chem7,PySRFunction(X=>(chem5 + 2.1894894/chem12)*1.0114446*chem3 + chem7)
12,0.00011705093,8.444632834071212,myfunction(((0.50002223 + chem5) * chem3) + ((chem7 / 0.20001319) / chem12)),chem3*(chem5 + 0.50002223) + chem7/(0.20001319*chem12),PySRFunction(X=>chem3*(chem5 + 0.50002223) + chem7/(0.20001319*chem12))
14,1.4989382e-05,1.0276335277241138,myfunction((chem3 * (0.5000028 + chem5)) + (((chem7 * 1.2843956) / 0.25688115) / chem12)),chem3*(chem5 + 0.5000028) + chem7*1.2843956/(0.25688115*chem12),PySRFunction(X=>chem3*(chem5 + 0.5000028) + chem7*1.2843956/(0.25688115*chem12))
18,1.4901752e-05,0.0014658234620133367,myfunction((chem3 * (0.5000028 + chem5)) + ((((chem7 * (1.2843956 / chem1)) / 0.25688115) / chem12) * chem1)),chem7*1.2843956*chem1/(chem1*0.25688115*chem12) + chem3*(chem5 + 0.5000028),PySRFunction(X=>chem7*1.2843956*chem1/(chem1*0.25688115*chem12) + chem3*(chem5 + 0.5000028))
