complexity,loss,score,equation,sympy_format,lambda_format
2,68.79733,0.0,myfunction(chem3),chem3,PySRFunction(X=>chem3)
3,6.5523343,2.351343568209025,chem3 * chem5,chem3*chem5,PySRFunction(X=>chem3*chem5)
5,1.5980618,0.7055149239498587,chem3 * (chem5 - -0.7464047),chem3*(chem5 - 1*(-0.7464047)),PySRFunction(X=>chem3*(chem5 - 1*(-0.7464047)))
6,1.5980613,3.128790627551469e-07,myfunction((chem5 - -0.7464061) * chem3),chem3*(chem5 - 1*(-0.7464061)),PySRFunction(X=>chem3*(chem5 - 1*(-0.7464061)))
7,1.265059,0.23367244565083944,(chem3 * (chem5 - -0.40878287)) + chem7,chem3*(chem5 - 1*(-0.40878287)) + chem7,PySRFunction(X=>chem3*(chem5 - 1*(-0.40878287)) + chem7)
9,0.6410002,0.3399221357285493,chem7 + ((chem5 - (-2.7760582 / chem12)) * chem3),chem3*(chem5 - (-1)*2.7760582/chem12) + chem7,PySRFunction(X=>chem3*(chem5 - (-1)*2.7760582/chem12) + chem7)
12,0.63148814,0.004983535999944585,chem7 + ((chem5 - (myfunction(-2.7760582) / (chem12 + 0.17912629))) * chem3),chem3*(chem5 - (-1)*2.7760582/(chem12 + 0.17912629)) + chem7,PySRFunction(X=>chem3*(chem5 - (-1)*2.7760582/(chem12 + 0.17912629)) + chem7)
15,0.601266,0.016347242880252806,chem5 + ((chem7 * ((chem3 + -2.525695) / chem12)) + ((chem3 - 0.53634393) * chem5)),chem5*(chem3 - 1*0.53634393) + chem5 + chem7*(chem3 - 2.525695)/chem12,PySRFunction(X=>chem5*(chem3 - 1*0.53634393) + chem5 + chem7*(chem3 - 2.525695)/chem12)
17,0.59775305,0.0029298617497531734,(chem5 + ((chem7 * ((chem3 + -2.525695) / chem12)) + ((chem3 - 0.53634393) * chem5))) + 0.076138094,chem5*(chem3 - 1*0.53634393) + chem5 + 0.076138094 + chem7*(chem3 - 2.525695)/chem12,PySRFunction(X=>chem5*(chem3 - 1*0.53634393) + chem5 + 0.076138094 + chem7*(chem3 - 2.525695)/chem12)
18,0.019718492,3.411620833130774,((chem3 * (chem5 - -0.49811023)) + (0.8750684 - myfunction(0.8701611))) + (((chem7 * -0.8203635) / chem12) / -0.16241114),chem3*(chem5 - 1*(-0.49811023)) - 1*0.8701611 + 0.8750684 + chem7*(-0.8203635)/(chem12*(-0.16241114)),PySRFunction(X=>chem3*(chem5 - 1*(-0.49811023)) - 1*0.8701611 + 0.8750684 + chem7*(-0.8203635)/(chem12*(-0.16241114)))
