complexity,loss,score,equation,sympy_format,lambda_format
1,54.91543,0.0,chem8,chem8,PySRFunction(X=>chem8)
2,26.283714,0.7368448576608186,myfunction(55.6409),55.6409000000000,PySRFunction(X=>55.6409000000000)
3,14.983927,0.5619714145653999,11.414948 * chem6,11.414948*chem6,PySRFunction(X=>11.414948*chem6)
5,3.6486027,0.706316910442512,(chem6 * chem2) / 0.32007843,chem2*chem6/0.32007843,PySRFunction(X=>chem2*chem6/0.32007843)
6,3.648602,1.9185428643195692e-07,myfunction((3.1242635 * chem6) * chem2),3.1242635*chem2*chem6,PySRFunction(X=>3.1242635*chem2*chem6)
7,2.4539516,0.39664445733445347,chem13 + (chem2 * (3.0381699 * chem6)),chem13 + chem2*3.0381699*chem6,PySRFunction(X=>chem13 + chem2*3.0381699*chem6)
8,2.3528378,0.042077449100285345,myfunction(((chem6 * chem2) + chem13) / 0.34821135),(chem13 + chem2*chem6)/0.34821135,PySRFunction(X=>(chem13 + chem2*chem6)/0.34821135)
9,1.4945377,0.4538052458408241,((chem6 * chem2) * 2.9825737) + (chem13 / chem10),chem6*chem2*2.9825737 + chem13/chem10,PySRFunction(X=>chem6*chem2*2.9825737 + chem13/chem10)
11,1.4573233,0.012607765675097256,chem10 + ((chem13 / chem10) + ((chem6 * chem2) * 2.9460049)),chem10 + chem6*chem2*2.9460049 + chem13/chem10,PySRFunction(X=>chem10 + chem6*chem2*2.9460049 + chem13/chem10)
12,1.4503505,0.0047961455416892914,myfunction((chem13 / (chem10 + chem12)) + ((chem6 * chem2) / 0.33271456)),chem13/(chem10 + chem12) + chem2*chem6/0.33271456,PySRFunction(X=>chem13/(chem10 + chem12) + chem2*chem6/0.33271456)
13,1.388578,0.04352504944371767,(((chem6 * chem2) * 2.9568546) + (chem13 / chem10)) - (-0.13588485 / chem11),chem6*chem2*2.9568546 - (-1)*0.13588485/chem11 + chem13/chem10,PySRFunction(X=>chem6*chem2*2.9568546 - (-1)*0.13588485/chem11 + chem13/chem10)
15,1.3335214,0.02022854470547964,((chem13 / chem10) + (((chem6 * (-0.34946716 + chem2)) + 1.5267628) / 0.31039304)) - chem2,-chem2 + (chem6*(chem2 - 0.34946716) + 1.5267628)/0.31039304 + chem13/chem10,PySRFunction(X=>-chem2 + (chem6*(chem2 - 0.34946716) + 1.5267628)/0.31039304 + chem13/chem10)
16,1.318815,0.01108950637806698,myfunction((chem13 / chem10) + ((((chem6 + -0.47946885) * (-0.4558322 + chem2)) + 1.881401) / 0.3001112)),((chem2 - 0.4558322)*(chem6 - 0.47946885) + 1.881401)/0.3001112 + chem13/chem10,PySRFunction(X=>((chem2 - 0.4558322)*(chem6 - 0.47946885) + 1.881401)/0.3001112 + chem13/chem10)
18,1.3152573,0.0013506471190540379,myfunction(((chem13 / chem10) + ((1.9409205 + ((chem2 + -0.4331305) * (chem6 + -0.47948536))) / 0.30110452)) - chem11),-chem11 + ((chem2 - 0.4331305)*(chem6 - 0.47948536) + 1.9409205)/0.30110452 + chem13/chem10,PySRFunction(X=>-chem11 + ((chem2 - 0.4331305)*(chem6 - 0.47948536) + 1.9409205)/0.30110452 + chem13/chem10)
20,1.3084159,0.0026075715168584093,myfunction((((2.1145787 + ((-0.5650038 + chem6) * (chem2 + -0.49742705))) / 0.29604337) - (chem9 / chem4)) + (chem13 / chem10)),((chem2 - 0.49742705)*(chem6 - 0.5650038) + 2.1145787)/0.29604337 - chem9/chem4 + chem13/chem10,PySRFunction(X=>((chem2 - 0.49742705)*(chem6 - 0.5650038) + 2.1145787)/0.29604337 - chem9/chem4 + chem13/chem10)
