complexity,loss,score,equation,sympy_format,lambda_format
1,24.622503,0.0,57.8578,57.8578000000000,PySRFunction(X=>57.8578000000000)
3,14.770394,0.25551800451001044,chem6 / 0.08974329,chem6/0.08974329,PySRFunction(X=>chem6/0.08974329)
5,1.8049875,1.051035552664182,(chem2 * chem6) / 0.32309508,chem2*chem6/0.32309508,PySRFunction(X=>chem2*chem6/0.32309508)
7,1.1456908,0.22727294634660924,((chem2 * chem6) / 0.33120388) + chem13,chem13 + chem2*chem6/0.33120388,PySRFunction(X=>chem13 + chem2*chem6/0.33120388)
8,1.1456906,1.7456718462331374e-07,((myfunction(chem2) * chem6) / 0.33120224) + chem13,chem13 + chem2*chem6/0.33120224,PySRFunction(X=>chem13 + chem2*chem6/0.33120224)
9,1.0575346,0.08006724921353078,((chem2 * chem6) / 0.33267766) + (chem13 / chem10),chem2*chem6/0.33267766 + chem13/chem10,PySRFunction(X=>chem2*chem6/0.33267766 + chem13/chem10)
11,1.0017333,0.0271042752550361,((chem2 * chem6) * 2.9799173) + ((1.2915899 * chem13) / chem10),chem2*chem6*2.9799173 + 1.2915899*chem13/chem10,PySRFunction(X=>chem2*chem6*2.9799173 + 1.2915899*chem13/chem10)
13,0.9698648,0.016165199105803132,(((chem2 + -0.0659617) * chem6) * 3.0280674) + ((chem13 * 1.3396909) / chem10),(chem2 - 0.0659617)*chem6*3.0280674 + chem13*1.3396909/chem10,PySRFunction(X=>(chem2 - 0.0659617)*chem6*3.0280674 + chem13*1.3396909/chem10)
14,0.96986467,1.34039310086163e-07,myfunction((3.028067 * ((chem2 + -0.06593779) * chem6)) + (1.3395671 * (chem13 / chem10))),3.028067*chem6*(chem2 - 0.06593779) + 1.3395671*chem13/chem10,PySRFunction(X=>3.028067*chem6*(chem2 - 0.06593779) + 1.3395671*chem13/chem10)
15,0.96430683,0.005747013951036251,(((chem2 - 0.067373104) * (chem6 + 0.033898257)) / 0.33186656) + (1.3215821 * (chem13 / chem10)),(chem2 - 1*0.067373104)*(chem6 + 0.033898257)/0.33186656 + 1.3215821*chem13/chem10,PySRFunction(X=>(chem2 - 1*0.067373104)*(chem6 + 0.033898257)/0.33186656 + 1.3215821*chem13/chem10)
16,0.9611999,0.003227132523599591,myfunction((3.0048637 * ((chem2 + (-0.07724257 / chem5)) * chem6)) + (1.2977022 * (chem13 / chem10))),3.0048637*chem6*(chem2 - 0.07724257/chem5) + 1.2977022*chem13/chem10,PySRFunction(X=>3.0048637*chem6*(chem2 - 0.07724257/chem5) + 1.2977022*chem13/chem10)
17,0.7942477,0.19078702249391555,(((chem12 / ((chem1 - chem6) + chem9)) + 1.4321129) * chem13) + ((chem2 * chem6) * 2.9821432),chem13*(chem12/(chem1 - chem6 + chem9) + 1.4321129) + chem2*chem6*2.9821432,PySRFunction(X=>chem13*(chem12/(chem1 - chem6 + chem9) + 1.4321129) + chem2*chem6*2.9821432)
18,0.79424757,1.636769116522018e-07,(((chem12 / ((chem1 - chem6) + myfunction(chem9))) + 1.4322234) * chem13) + ((chem2 * chem6) * 2.982134),chem13*(chem12/(chem1 - chem6 + chem9) + 1.4322234) + chem2*chem6*2.982134,PySRFunction(X=>chem13*(chem12/(chem1 - chem6 + chem9) + 1.4322234) + chem2*chem6*2.982134)
19,0.7733845,0.02661887605823814,(((chem12 / ((chem1 - chem6) + chem9)) + 1.4628688) * chem13) + (((chem2 - 0.047294892) * chem6) * 3.0172818),chem13*(chem12/(chem1 - chem6 + chem9) + 1.4628688) + (chem2 - 1*0.047294892)*chem6*3.0172818,PySRFunction(X=>chem13*(chem12/(chem1 - chem6 + chem9) + 1.4628688) + (chem2 - 1*0.047294892)*chem6*3.0172818)
20,0.77338433,2.1981306681561503e-07,(((chem12 / ((chem1 - chem6) + myfunction(chem9))) + 1.462869) * chem13) + (((chem2 - 0.0472949) * chem6) * 3.0172832),chem13*(chem12/(chem1 - chem6 + chem9) + 1.462869) + (chem2 - 1*0.0472949)*chem6*3.0172832,PySRFunction(X=>chem13*(chem12/(chem1 - chem6 + chem9) + 1.462869) + (chem2 - 1*0.0472949)*chem6*3.0172832)
