Input,Binary operators,Unary Operators,RMSE
Noise=0,"['-', '+']",['myfunction(x) = x'],8.712638013651675
Noise=1,"['-', '+']",['myfunction(x) = x'],8.83090036163701
Noise=2,"['-', '+']",['myfunction(x) = x'],9.3461065340537
Noise=3,"['-', '+']",['myfunction(x) = x'],9.595724271902474
Noise=4,"['-', '+']",['myfunction(x) = x'],10.382026038947568
No_noise_all_var,"['-', '+']",['myfunction(x) = x'],8.84275624445199
No_noise_rel_var,"['-', '+']",['myfunction(x) = x'],8.84275624445199
Noise=0,"['-', '+', '*', '/']",['myfunction(x) = x'],0.9432873983616312
Noise=1,"['-', '+', '*', '/']",['myfunction(x) = x'],2.444665090252501
Noise=2,"['-', '+', '*', '/']",['myfunction(x) = x'],2.9027594859881294
Noise=3,"['-', '+', '*', '/']",['myfunction(x) = x'],5.031910337683019
Noise=4,"['-', '+', '*', '/']",['myfunction(x) = x'],5.789722343447276
No_noise_all_var,"['-', '+', '*', '/']",['myfunction(x) = x'],0.4712682349532438
No_noise_rel_var,"['-', '+', '*', '/']",['myfunction(x) = x'],0.000130331190643844
Noise=0,"['-', '+', '*', '/', '^', 'min', 'max']","['square', 'exp', 'log', 'sqrt', 'sin', 'cos']",1.4014203466097614
Noise=1,"['-', '+', '*', '/', '^', 'min', 'max']","['square', 'exp', 'log', 'sqrt', 'sin', 'cos']",2.444665090247745
Noise=2,"['-', '+', '*', '/', '^', 'min', 'max']","['square', 'exp', 'log', 'sqrt', 'sin', 'cos']",2.9027594557208602
Noise=3,"['-', '+', '*', '/', '^', 'min', 'max']","['square', 'exp', 'log', 'sqrt', 'sin', 'cos']",5.031910337909617
Noise=4,"['-', '+', '*', '/', '^', 'min', 'max']","['square', 'exp', 'log', 'sqrt', 'sin', 'cos']",7.321322793803769
No_noise_all_var,"['-', '+', '*', '/', '^', 'min', 'max']","['square', 'exp', 'log', 'sqrt', 'sin', 'cos']",0.7447173002380776
No_noise_rel_var,"['-', '+', '*', '/', '^', 'min', 'max']","['square', 'exp', 'log', 'sqrt', 'sin', 'cos']",0.35718579404070133
