Iteration,RMSE,Complexity,Equation
1,1.6338169045782008e+16,0,"mul(add(sub(sub(div(mul(Ti, Hexacosane), div(Ethylguaiacol, Fe)), sub(div(Dibenzofuran, Syringealdehyde), sub(Methoxymethyl phenol, Si))), div(mul(div(S, SO4), div(Methoxymethyl phenol, PO4)), mul(div(Cu, Benzo[ghi]perylene), mul(Naphthalene, Hexadecane)))), add(mul(mul(div(Fluorene, Perylene), mul(Heptacosane, Docosane)), add(mul(2,6-Dimethylnaphthalene, Sr), add(K, Propylguaiacol))), mul(sub(mul(Anthracene, 1-Methylnaphthalene), sub(3,5-Dimethoxyphenol, Fe)), div(add(Benzo(b)fluoranthene, Zn), mul(Al, Acetosyringone))))), mul(mul(sub(div(add(Pentadecane, Tetradecane), add(Benzo(k)fluoranthene, Cd)), add(sub(3,5-Dimethoxyphenol, Benzo(k)fluoranthene), div(Cu, Chrysene))), sub(mul(sub(Acetosyringone, Octacosane), sub(Syringealdehyde, Heneicosane)), mul(div(Benzo(b)fluoranthene, Vanillin), sub(Benz(a)anthracene, Hexacosane)))), sub(mul(div(mul(0.366, Tetradecane), div(Eugenol, Hentriacontane)), add(mul(Cr, SO4), div(Sr, Squalane))), add(add(sub(Cl, Phenanthrene), sub(Squalane, Hexadecane)), add(div(Methoxymethyl phenol, 2-Methylnonadecane), mul(Hentriacontane, Perylene))))))"
1,722820154806320.6,1,"add(mul(sub(mul(div(mul(Guaiacol, Al), mul(P, NH4)), sub(div(Benz(a)anthracene, Anthracene), add(K, Pentacosane))), div(mul(div(9-Methylanthracene, Mn), add(Tetradecane, Phenanthrene)), mul(sub(Vanillin, Benzo(k)fluoranthene), add(Docosane, NO3)))), mul(mul(add(add(3,5-Dimethoxyphenol, S), mul(Hentriacontane, Hexacosane)), mul(sub(Methylfluorene, P), sub(Octadecane, S))), mul(mul(mul(Ba, Sr), add(Benzo(a)pyrene, Phenanthrene)), sub(div(Cr, Heptacosane), div(Acenaphthylene, Cl))))), sub(sub(mul(sub(div(Docosane, Pentacosane), mul(Hexadecane, Benzo(k)fluoranthene)), sub(sub(Sr, Tricosane), div(Indeno[1,2,3-cd]pyrene, Chrysene))), add(sub(div(Acetosyringone, Benzo(a)pyrene), div(Heptacosane, Tetracosane)), div(add(Dibenzofuran, 3-Methylnonadecane), div(Dibenzofuran, Eugenol)))), add(mul(sub(div(Coniferyl aldehyde, 2-Methylnonadecane), sub(Anthracene, Acenaphthylene)), add(sub(Pentacosane, Na), div(Ca, Phenanthrene))), mul(sub(add(Ba, Eugenol), add(Sb, Guaiacol)), mul(div(2-Methylnonadecane, Benzo(b)fluoranthene), div(Methoxymethyl phenol, 1-Methylchysene))))))"
1,190650280410408.53,2,"mul(add(add(add(mul(SO4, Cl), sub(Zn, Fluoranthene)), add(mul(Si, Octadecane), mul(1-Methylnaphthalene, Benz(a)anthracene))), sub(sub(div(Tetradecane, Ca), div(Heptadecane, Eugenol)), div(add(Mg, Al), div(Nonacosane, Benzo(a)pyrene)))), mul(add(sub(mul(Cu, Eicosane), sub(Benzo(e)pyrene, NH4)), sub(sub(Vanillin, Pyrene), add(Heptacosane, Phytane))), mul(mul(div(Zn, Fluorene), add(Hexadecane, Sb)), mul(div(Al, Dibenzofuran), sub(Benzo(e)pyrene, Levoglucosan)))))"
1,15137049116719.445,3,"mul(add(mul(mul(add(Eugenol, Si), mul(Na, Ca)), add(mul(Benzo(b)fluoranthene, Pentacosane), add(2-Methylnaphthalene, P))), mul(mul(sub(Syringealdehyde, Levoglucosan), sub(Zn, 1-Methylnaphthalene)), add(add(Pentacosane, 0.670), div(Benzo(a)pyrene, Ba)))), sub(div(sub(div(Ba, Squalane), mul(Naphthalene, Naphthalene)), sub(mul(Phytane, 1-Methylchysene), div(K, Nonadecane))), add(div(add(Vanillin, 2,6-Dimethylnaphthalene), add(Benzo(a)pyrene, Si)), add(add(Pb, Syringealdehyde), div(PO4, Methylfluorene)))))"
1,11641132417392.188,4,"mul(mul(div(add(add(sub(Benzo(e)pyrene, S), add(Cr, Benzo(b)fluoranthene)), mul(div(Cu, Naphthalene), mul(Dibenzofuran, Levoglucosan))), div(div(sub(Sb, Tridecane), mul(Hexadecane, Octadecane)), mul(div(Cu, NH4), mul(Propylguaiacol, Ethylguaiacol)))), div(sub(mul(add(Isoeugenol, Ca), add(Ba, Vanillin)), mul(div(Coniferyl aldehyde, Ca), sub(Pyrene, Indeno[1,2,3-cd]pyrene))), mul(sub(mul(Retene, 3,5-Dimethoxyphenol), sub(Indeno[1,2,3-cd]pyrene, Ni)), sub(mul(3-Methylnonadecane, Nonadecylcyclohexane), add(Isoeugenol, Heptacosane))))), sub(sub(div(div(sub(K, Fe), div(Tricosane, Cl)), sub(add(Indeno[1,2,3-cd]pyrene, Benz(a)anthracene), div(Levoglucosan, Triacontane))), sub(div(sub(Phytane, Isoeugenol), mul(Benzo(e)pyrene, Nonacosane)), add(sub(Fe, Fluorene), div(Si, Retene)))), sub(sub(add(add(Zn, Dibenzofuran), add(Heptacosane, 1-Methylchysene)), add(add(Octacosane, NH4), add(Pyrene, Dibenzofuran))), add(mul(add(NH4, 1-Methylchysene), div(Hexacosane, NO3)), div(mul(Al, SO4), mul(Na, Nonacosane))))))"
1,7905630614181.442,5,"mul(mul(div(sub(sub(sub(Eugenol, Hexacosane), div(Hexadecane, Squalane)), sub(div(Na, Octacosane), sub(SO4, Indeno[1,2,3-cd]pyrene))), div(add(div(Dodecylcyclohexane, Triacontane), div(Fluorene, Cu)), div(sub(3,5-Dimethoxyphenol, Pb), sub(Anthracene, Chrysene)))), mul(add(sub(mul(Zn, Perylene), sub(3,5-Dimethoxyphenol, Ba)), div(div(Si, 3-Methylnonadecane), div(Ca, Perylene))), mul(add(mul(Benzo(e)pyrene, Benzo(e)pyrene), sub(Ti, Retene)), sub(sub(Benzo[ghi]perylene, 2-Methylnonadecane), div(Naphthalene, Octadecane))))), sub(sub(div(add(add(Ca, Coniferyl aldehyde), div(Cd, Fe)), mul(add(NH4, Heptacosane), mul(Hexacosane, Phenanthrene))), add(sub(mul(Acenaphthylene, Hentriacontane), sub(Nonadecylcyclohexane, -0.931)), sub(add(Tetradecane, Nonadecane), div(Dodecylcyclohexane, Heptadecane)))), div(add(mul(sub(Fluoranthene, Nonacosane), mul(Cd, Heptacosane)), sub(mul(Pentacosane, Ni), div(Dibenzofuran, 2-Methylnaphthalene))), div(div(sub(Triacontane, Tricosane), div(Mg, Si)), sub(add(Vanillin, Pb), add(Phenanthrene, Syringealdehyde))))))"
1,992209587107.293,6,"add(mul(sub(sub(add(Phenanthrene, Ni), sub(Si, Phenanthrene)), mul(div(Benzo(e)pyrene, Tetradecane), div(P, Dodecylcyclohexane))), sub(div(div(PO4, Fe), sub(Docosane, Ni)), add(div(Anthracene, Heptadecane), div(Acenaphthylene, Cu)))), mul(sub(mul(div(Isoeugenol, Acenaphthylene), mul(Dibenzofuran, Ni)), mul(div(Ethylguaiacol, Pentacosane), add(Cr, Vanillin))), mul(div(add(Guaiacol, Syringealdehyde), mul(Triacontane, PO4)), sub(add(Fe, Nonadecane), add(NO3, Isoeugenol)))))"
1,362668437926.4865,7,"mul(mul(add(add(div(Tridecane, Hentriacontane), add(Chrysene, Hexacosane)), div(sub(SO4, Sb), mul(3,5-Dimethoxyphenol, Phytane))), add(sub(mul(Coniferyl aldehyde, Dibenzofuran), div(Benzo(k)fluoranthene, Phenanthrene)), div(sub(Benz(a)anthracene, Zn), add(Vanillin, Phenanthrene)))), add(sub(add(sub(2,6-Dimethylnaphthalene, Acetosyringone), mul(Ca, Hexacosane)), div(mul(Nonadecane, Isoeugenol), add(Pentacosane, Pentadecane))), mul(add(add(Benzo(a)pyrene, Cu), div(Mg, Tridecane)), sub(add(Perylene, Ca), add(Ni, Eicosane)))))"
1,209767810719.23242,8,"mul(add(add(div(mul(mul(Chrysene, Nonadecane), add(Mn, Heneicosane)), div(add(Sr, Nonadecane), add(2,6-Dimethylnaphthalene, 0.489))), add(add(div(NO3, Cl), sub(S, Retene)), div(add(Ti, Heptacosane), sub(Benzo(a)pyrene, Perylene)))), add(sub(div(add(9-Methylanthracene, Benz(a)anthracene), div(Pyrene, Dibenzofuran)), mul(mul(Pb, Eicosane), sub(Perylene, Fluorene))), sub(mul(sub(2,6-Dimethylnaphthalene, Cd), sub(Sr, Cr)), div(sub(Tetradecane, 3-Methylnonadecane), div(Nonadecane, Phytane))))), mul(div(sub(add(div(Pb, Heptacosane), div(Anthracene, NO3)), sub(mul(Na, Eicosane), div(PO4, Pentadecane))), mul(sub(mul(Guaiacol, Pb), sub(Eicosane, NO3)), div(mul(1-Methylnaphthalene, PO4), add(Methoxymethyl phenol, Heptacosane)))), sub(div(add(div(P, Hexadecane), add(Methoxymethyl phenol, Fluoranthene)), div(mul(Ca, 3-Methylnonadecane), sub(Na, Tetradecane))), sub(div(add(Mg, S), mul(Fluorene, Perylene)), add(div(Tetradecane, Fluorene), add(NH4, Fluoranthene))))))"
1,186945985983.54953,9,"sub(mul(mul(mul(mul(mul(Vanillin, Pentadecane), sub(Cu, Vanillin)), add(div(Benzo(k)fluoranthene, Docosane), mul(Al, Isoeugenol))), add(div(mul(Methoxymethyl phenol, Dodecylcyclohexane), mul(1-Methylchysene, Methylfluorene)), add(add(Al, Mn), mul(Hentriacontane, Nonacosane)))), add(div(mul(add(Nonadecylcyclohexane, Isoeugenol), mul(Chrysene, Sr)), div(div(Benzo(k)fluoranthene, Propylguaiacol), add(Naphthalene, P))), mul(add(mul(1-Methylchysene, Naphthalene), mul(Sr, Benzo(b)fluoranthene)), add(add(Sr, Chrysene), sub(Sb, Anthracene))))), mul(mul(add(div(add(Fluorene, Perylene), sub(Pentadecane, 2-Methylnonadecane)), mul(sub(2-Methylnonadecane, Cl), add(Hexacosane, Pyrene))), div(mul(mul(Acetosyringone, Docosane), div(1-Methylchysene, Indeno[1,2,3-cd]pyrene)), mul(mul(Pyrene, Methoxymethyl phenol), add(Dibenzofuran, NH4)))), mul(div(sub(add(Propylguaiacol, Ca), div(0.299, Benzo[ghi]perylene)), mul(mul(Tricosane, Syringealdehyde), div(Vanillin, Isoeugenol))), sub(mul(add(Nonacosane, Zn), add(Heptadecane, Anthracene)), sub(add(Cl, Retene), mul(Benzo(b)fluoranthene, Ti))))))"
