Iteration,RMSE,Complexity,Equation
1,6.305772018307513e+26,0,"mul(mul(sub(add(div(sub(Na, Na), div(-0.310, 0.763)), add(sub(0.214, 0.299), sub(Si, -0.433))), mul(div(sub(Na, -0.419), div(Isoeugenol, Si)), sub(sub(0.201, 0.895), add(Si, Na)))), sub(add(add(sub(Na, Na), add(Si, Isoeugenol)), div(sub(Na, Si), mul(Si, -0.988))), div(mul(sub(Na, 0.873), mul(Na, Isoeugenol)), mul(div(Na, Isoeugenol), mul(-0.307, Isoeugenol))))), add(div(div(div(sub(-0.040, -0.743), div(0.951, -0.826)), sub(mul(Na, Isoeugenol), add(Na, Si))), sub(mul(add(Isoeugenol, 0.997), div(Si, 0.092)), div(div(Isoeugenol, 0.169), sub(Isoeugenol, Na)))), mul(mul(mul(mul(Na, -0.952), div(Na, Si)), add(div(0.426, Na), add(Na, Si))), mul(add(mul(Na, Si), div(Na, Na)), div(sub(Si, 0.159), mul(0.355, 0.619))))))"
1,1.591665815849063e+25,1,"sub(sub(div(add(sub(sub(Si, Si), sub(Si, -0.679)), sub(div(Na, Isoeugenol), div(Si, Isoeugenol))), mul(div(add(Isoeugenol, Isoeugenol), mul(Si, Si)), sub(sub(Isoeugenol, Na), sub(Isoeugenol, 0.375)))), div(div(add(add(Isoeugenol, -0.631), div(-0.652, -0.381)), div(mul(Na, Si), add(-0.662, Isoeugenol))), div(div(mul(Si, Si), add(-0.494, Isoeugenol)), sub(div(Si, Isoeugenol), div(Na, Isoeugenol))))), mul(mul(mul(add(sub(Isoeugenol, Isoeugenol), mul(Na, 0.325)), mul(add(Si, Isoeugenol), add(Si, -0.394))), add(div(sub(Isoeugenol, Isoeugenol), div(Isoeugenol, Si)), add(sub(Si, Isoeugenol), sub(Isoeugenol, -0.237)))), mul(add(div(mul(Na, Si), mul(Si, Si)), mul(mul(0.592, 0.684), add(Isoeugenol, -0.435))), mul(mul(sub(Na, 0.890), add(-0.043, Na)), add(mul(Si, Si), mul(Isoeugenol, Si))))))"
1,7.189473496281417e+22,2,"add(mul(mul(mul(add(div(Isoeugenol, Na), add(Si, Si)), mul(mul(0.743, Na), mul(Isoeugenol, 0.748))), mul(sub(sub(Si, 0.847), add(0.890, -0.301)), mul(div(Isoeugenol, Na), mul(Na, 0.638)))), sub(mul(mul(mul(Na, Si), sub(Si, Isoeugenol)), add(add(Na, Na), sub(-0.776, Isoeugenol))), add(add(div(0.149, Na), sub(Isoeugenol, -0.928)), sub(add(Isoeugenol, 0.100), add(Na, Si))))), add(add(mul(sub(mul(Isoeugenol, Isoeugenol), add(Na, -0.001)), sub(sub(Isoeugenol, Isoeugenol), sub(Isoeugenol, -0.313))), mul(div(mul(Na, Na), div(Si, Isoeugenol)), add(div(-0.983, Na), mul(Na, Na)))), div(sub(add(mul(Na, Na), add(0.994, Na)), sub(sub(0.395, Na), sub(0.940, Si))), mul(sub(div(Na, Na), div(Na, Si)), sub(mul(-0.539, Si), mul(Na, Si))))))"
1,2.4523151499005362e+22,3,"mul(mul(mul(add(sub(mul(Si, Si), sub(Isoeugenol, Isoeugenol)), add(sub(0.387, Isoeugenol), div(Isoeugenol, 0.584))), mul(sub(div(Na, Isoeugenol), sub(Si, Isoeugenol)), div(add(0.041, Na), add(-0.693, Isoeugenol)))), add(mul(div(div(Na, Na), div(0.601, 0.978)), sub(sub(Na, -0.731), sub(Na, 0.865))), add(div(sub(Si, 0.533), add(Na, Isoeugenol)), mul(div(-0.673, Isoeugenol), mul(Na, Isoeugenol))))), div(add(add(sub(mul(-0.604, -0.420), mul(Si, -0.535)), add(mul(Na, 0.879), mul(Na, Na))), sub(sub(sub(Isoeugenol, Na), div(Na, Si)), div(mul(Na, -0.641), add(Si, Na)))), div(sub(div(add(Isoeugenol, Na), add(Si, Si)), add(div(0.840, Isoeugenol), add(Si, Isoeugenol))), add(sub(sub(Isoeugenol, Isoeugenol), mul(Na, Isoeugenol)), add(sub(Na, Na), sub(0.487, Na))))))"
1,1.494363669411614e+22,4,"mul(add(add(sub(div(add(0.286, Isoeugenol), add(Si, -0.997)), div(div(Si, Si), add(0.126, Na))), mul(sub(add(-0.906, Na), div(-0.104, -0.684)), mul(mul(Si, Na), mul(Na, Si)))), sub(sub(add(mul(0.361, Isoeugenol), add(Na, Isoeugenol)), div(mul(Na, Na), mul(-0.843, Si))), div(mul(sub(Si, Na), div(Isoeugenol, -0.716)), mul(div(Isoeugenol, Na), add(Isoeugenol, Isoeugenol))))), mul(sub(mul(mul(add(Isoeugenol, Si), mul(Isoeugenol, Na)), div(sub(Na, Na), div(Si, Si))), sub(add(mul(Si, Isoeugenol), sub(Si, Na)), sub(mul(Isoeugenol, Si), add(Na, Na)))), add(sub(mul(div(Na, Na), div(Isoeugenol, Na)), mul(sub(Si, Na), div(-0.705, -0.412))), sub(div(mul(Na, -0.065), sub(Na, Na)), mul(add(Isoeugenol, 0.401), add(0.296, Isoeugenol))))))"
1,1.2623779711555197e+22,5,"sub(sub(div(add(sub(sub(Si, Isoeugenol), add(Na, Si)), add(mul(Si, Isoeugenol), add(-0.180, Na))), mul(div(add(Isoeugenol, Si), div(-0.903, Na)), sub(mul(Na, Na), div(Si, Isoeugenol)))), add(div(mul(div(Si, 0.501), mul(-0.751, Na)), add(div(Na, Na), add(Si, Na))), add(sub(add(Isoeugenol, Na), div(Si, Isoeugenol)), div(div(Isoeugenol, Si), div(Na, 0.764))))), add(add(div(sub(add(-0.511, 0.731), div(Si, Si)), mul(mul(-0.634, Na), mul(-0.121, -0.609))), sub(add(mul(Isoeugenol, 0.552), div(Isoeugenol, Na)), sub(add(Isoeugenol, Isoeugenol), div(0.281, Isoeugenol)))), mul(sub(add(div(Si, Si), add(Na, Isoeugenol)), mul(mul(Na, Na), mul(Si, Na))), mul(mul(mul(-0.693, Na), mul(Isoeugenol, Si)), sub(sub(Na, 0.518), div(Isoeugenol, 0.220))))))"
1,1.275197423168464e+21,6,"mul(mul(div(sub(sub(Isoeugenol, Si), mul(Na, Isoeugenol)), div(mul(Na, -0.874), sub(-0.759, Na))), add(add(mul(Isoeugenol, Na), div(Na, Na)), sub(sub(Isoeugenol, Si), add(-0.081, -0.307)))), mul(mul(mul(sub(Si, Na), div(Si, Na)), add(div(-0.883, -0.949), add(Na, -0.713))), mul(sub(div(-0.290, Si), add(Si, -0.627)), mul(sub(Si, Isoeugenol), mul(Na, -0.288)))))"
1,6.560225678968027e+19,7,"mul(add(add(add(mul(div(Na, -0.688), add(-0.383, Isoeugenol)), sub(mul(Si, Isoeugenol), add(Na, Na))), mul(add(add(Isoeugenol, -0.840), sub(Si, -0.769)), sub(sub(Isoeugenol, Na), add(Na, 0.383)))), mul(div(mul(sub(Na, Si), div(Na, 0.418)), sub(div(Si, -0.501), mul(Si, Isoeugenol))), div(sub(div(Si, 0.743), add(Isoeugenol, Na)), div(div(Si, Si), mul(Isoeugenol, Si))))), sub(add(mul(add(mul(-0.970, 0.467), mul(-0.978, Isoeugenol)), sub(sub(Si, Na), mul(Isoeugenol, Si))), div(div(div(Si, 0.906), sub(Na, Na)), sub(sub(Isoeugenol, Na), add(0.225, Si)))), mul(sub(mul(sub(-0.309, Na), add(Na, Si)), sub(add(Si, -0.366), add(Si, Isoeugenol))), mul(add(div(Isoeugenol, Isoeugenol), mul(Si, -0.708)), mul(div(Isoeugenol, Si), mul(Si, Na))))))"
1,5.3925456036693205e+19,8,"mul(sub(mul(mul(sub(add(Na, Na), sub(Isoeugenol, Si)), div(div(Na, 0.660), mul(Si, Si))), mul(mul(div(Isoeugenol, Na), div(Isoeugenol, Si)), add(add(Si, Isoeugenol), div(-0.214, Isoeugenol)))), mul(sub(div(div(Si, Si), add(Isoeugenol, -0.506)), sub(sub(Na, Si), sub(Si, Na))), sub(div(sub(-0.191, Na), add(Isoeugenol, -0.113)), div(mul(Na, Si), div(0.340, Isoeugenol))))), add(add(add(mul(sub(-0.193, -0.210), mul(0.674, Na)), div(mul(Isoeugenol, Si), div(Si, Isoeugenol))), add(sub(mul(0.483, Na), div(Na, Isoeugenol)), sub(add(Si, Si), mul(Na, -0.597)))), mul(mul(mul(add(Si, Isoeugenol), sub(Isoeugenol, -0.809)), div(sub(-0.025, Si), sub(Si, 0.328))), mul(add(div(Isoeugenol, Isoeugenol), div(Si, Isoeugenol)), add(div(Na, -0.402), add(Isoeugenol, Si))))))"
1,2.8226709460877165e+19,9,"mul(add(mul(add(div(Isoeugenol, Si), mul(Si, Na)), mul(mul(Isoeugenol, Na), mul(Si, Na))), div(add(add(Na, Na), add(Na, 0.160)), add(sub(Na, Si), div(Si, Na)))), sub(sub(add(sub(-0.900, Na), add(Na, Na)), add(mul(-0.532, -0.151), sub(Isoeugenol, Si))), div(mul(div(0.006, 0.003), add(Na, -0.596)), mul(mul(Si, Si), add(Na, Na)))))"
