complexity,loss,score,equation,sympy_format,lambda_format
1,86.13583,0.0,0.47756523,0.477565230000000,PySRFunction(X=>0.477565230000000)
2,80.77568,0.06424953876693214,Silicon,Silicon,PySRFunction(X=>Silicon)
3,22.623602,1.272682232499771,42.00696 - -41.582306,42.00696 - 1*(-41.582306),PySRFunction(X=>42.00696 - 1*(-41.582306))
4,21.268606,0.06176160887411901,86.384415 - Isoeugenol,86.384415 - Isoeugenol,PySRFunction(X=>86.384415 - Isoeugenol)
6,18.618252,0.06654484942820539,(9.690491 * Silicon) - -27.013721,9.690491*Silicon - 1*(-27.013721),PySRFunction(X=>9.690491*Silicon - 1*(-27.013721))
8,17.927097,0.01891451140012119,(101.74522 + (-5.8577557 * Isoeugenol)) + -1.7811841,-5.8577557*Isoeugenol - 1.7811841 + 101.74522,PySRFunction(X=>-5.8577557*Isoeugenol - 1.7811841 + 101.74522)
9,17.886974,0.002240628650464335,(98.63527 + (-5.355878 * Isoeugenol)) + Syringealdehyde,-5.355878*Isoeugenol + Syringealdehyde + 98.63527,PySRFunction(X=>-5.355878*Isoeugenol + Syringealdehyde + 98.63527)
11,17.549152,0.009533554392134845,(0.13594936 / Retene) + (98.63527 + (Isoeugenol * -5.355878)),Isoeugenol*(-5.355878) + 98.63527 + 0.13594936/Retene,PySRFunction(X=>Isoeugenol*(-5.355878) + 98.63527 + 0.13594936/Retene)
12,17.500723,0.0027634352943798858,((-29.757885 - (Silicon * P)) / -0.5529205) - Eugenol,-Eugenol + (-P*Silicon - 29.757885)/(-0.5529205),PySRFunction(X=>-Eugenol + (-P*Silicon - 29.757885)/(-0.5529205))
13,17.171947,0.018965130423973003,-5.1826854 + ((97.37502 + (-5.1826854 * Isoeugenol)) + (0.39491978 / Retene)),-5.1826854*Isoeugenol - 5.1826854 + 97.37502 + 0.39491978/Retene,PySRFunction(X=>-5.1826854*Isoeugenol - 5.1826854 + 97.37502 + 0.39491978/Retene)
14,17.145458,0.0015437650522081572,(96.87065 + ((0.4426225 / Retene) - (5.630277 * Isoeugenol))) - Fe,-Fe - 5.630277*Isoeugenol + 96.87065 + 0.4426225/Retene,PySRFunction(X=>-Fe - 5.630277*Isoeugenol + 96.87065 + 0.4426225/Retene)
15,17.101048,0.002593550705212114,((97.37502 + ((Isoeugenol + 0.92332035) * -5.1826854)) + (0.4019213 / Retene)) + 1.0668758,(Isoeugenol + 0.92332035)*(-5.1826854) + 1.0668758 + 97.37502 + 0.4019213/Retene,PySRFunction(X=>(Isoeugenol + 0.92332035)*(-5.1826854) + 1.0668758 + 97.37502 + 0.4019213/Retene)
16,16.828323,0.016076388436167023,((((Na * (P - 3.8771875)) - Isoeugenol) + 29.673666) * 3.8771875) + 0.8511098,(-Isoeugenol + Na*(P - 1*3.8771875) + 29.673666)*3.8771875 + 0.8511098,PySRFunction(X=>(-Isoeugenol + Na*(P - 1*3.8771875) + 29.673666)*3.8771875 + 0.8511098)
18,16.780857,0.0014122936518574751,(((((Na * (P - 3.8771875)) - Isoeugenol) + 0.7561455) + 29.673666) * 3.8771875) / 1.0229844,(-Isoeugenol + Na*(P - 1*3.8771875) + 0.7561455 + 29.673666)*3.8771875/1.0229844,PySRFunction(X=>(-Isoeugenol + Na*(P - 1*3.8771875) + 0.7561455 + 29.673666)*3.8771875/1.0229844)
19,16.711292,0.00415411385147479,(((((Na * (P - 3.8771875)) - Isoeugenol) + 29.673666) * 3.8771875) + Methoxymethylphenol) - -0.28668094,Methoxymethylphenol + (-Isoeugenol + Na*(P - 1*3.8771875) + 29.673666)*3.8771875 - 1*(-0.28668094),PySRFunction(X=>Methoxymethylphenol + (-Isoeugenol + Na*(P - 1*3.8771875) + 29.673666)*3.8771875 - 1*(-0.28668094))
