complexity,loss,score,equation,sympy_format,lambda_format
1,78.625336,0.0,Guaiacol,Guaiacol,PySRFunction(X=>Guaiacol)
3,19.304407,0.7021802883238508,P - -72.21231,P - 1*(-72.21231),PySRFunction(X=>P - 1*(-72.21231))
5,17.374924,0.052652697236561165,(P - -67.892136) - Propylguaiacol,P - Propylguaiacol - 1*(-67.892136),PySRFunction(X=>P - Propylguaiacol - 1*(-67.892136))
7,17.022003,0.01026060802165321,((P - -67.892136) - Propylguaiacol) - Propylguaiacol,P - Propylguaiacol - Propylguaiacol - 1*(-67.892136),PySRFunction(X=>P - Propylguaiacol - Propylguaiacol - 1*(-67.892136))
9,16.864803,0.004639006924009648,((P - -68.03765) - (Propylguaiacol + SO_4)) - Propylguaiacol,P - Propylguaiacol - (Propylguaiacol + SO_4) - 1*(-68.03765),PySRFunction(X=>P - Propylguaiacol - (Propylguaiacol + SO_4) - 1*(-68.03765))
11,16.74788,0.003478552176323697,((P - -67.892136) - (SO_4 + (Propylguaiacol ^ 1.4996384))) + Pentadecane,P + Pentadecane - (Propylguaiacol**1.4996384 + SO_4) - 1*(-67.892136),PySRFunction(X=>P + Pentadecane - (Propylguaiacol**1.4996384 + SO_4) - 1*(-67.892136))
13,16.543839,0.0061289582213445585,((62.420067 + (((Acenaphthylene + Cr) / 0.09862379) + Hentriacontane)) - Sr) - Propylguaiacol,Hentriacontane - Propylguaiacol - Sr + (Acenaphthylene + Cr)/0.09862379 + 62.420067,PySRFunction(X=>Hentriacontane - Propylguaiacol - Sr + (Acenaphthylene + Cr)/0.09862379 + 62.420067)
15,16.188324,0.010861762507392804,(((Heptadecane - (Propylguaiacol - Cu)) - -41.852757) + ((Acenaphthylene ^ 0.31642815) * 37.48254)) - 1.5525867,Acenaphthylene**0.31642815*37.48254 + Heptadecane - (-Cu + Propylguaiacol) - 1*1.5525867 - 1*(-41.852757),PySRFunction(X=>Acenaphthylene**0.31642815*37.48254 + Heptadecane - (-Cu + Propylguaiacol) - 1*1.5525867 - 1*(-41.852757))
17,16.151325,0.0011440759960871896,(((Heptadecane - (Propylguaiacol - Cu)) - -41.852757) + ((Acenaphthylene ^ 0.31642815) * 37.48254)) - (1.5525867 + 0.6144503),Acenaphthylene**0.31642815*37.48254 + Heptadecane - (-Cu + Propylguaiacol) - (0.6144503 + 1.5525867) - 1*(-41.852757),PySRFunction(X=>Acenaphthylene**0.31642815*37.48254 + Heptadecane - (-Cu + Propylguaiacol) - (0.6144503 + 1.5525867) - 1*(-41.852757))
19,16.051035,0.0031143780843730148,(((Heptadecane - (Propylguaiacol - (Cu / 1.1669127))) - -41.852757) + ((Acenaphthylene ^ 0.31642815) * 37.48254)) - (-0.8296343 + 0.31642815),Acenaphthylene**0.31642815*37.48254 + Heptadecane - (-Cu/1.1669127 + Propylguaiacol) - (-0.8296343 + 0.31642815) - 1*(-41.852757),PySRFunction(X=>Acenaphthylene**0.31642815*37.48254 + Heptadecane - (-Cu/1.1669127 + Propylguaiacol) - (-0.8296343 + 0.31642815) - 1*(-41.852757))
