complexity,loss,score,equation,sympy_format,lambda_format
1,84.58408,0.0,2.0868714,2.08687140000000,PySRFunction(X=>2.08687140000000)
3,22.623602,0.6593761858067372,42.864685 + 40.725792,40.725792 + 42.864685,PySRFunction(X=>40.725792 + 42.864685)
6,19.643883,0.047075901826500226,(-0.027861781 * Isoeugenol) - -88.687935,-0.027861781*Isoeugenol - 1*(-88.687935),PySRFunction(X=>-0.027861781*Isoeugenol - 1*(-88.687935))
8,18.692728,0.024815710459617116,(53.502598 / (Silicon ^ -0.0989599)) + -12.300533,-12.300533 + 53.502598/(Silicon**(-0.0989599)),PySRFunction(X=>-12.300533 + 53.502598/(Silicon**(-0.0989599)))
10,17.887377,0.022019651337133708,((-9.621332 + (Isoeugenol ^ 0.2039721)) * -12.356011) + -11.73813,(Isoeugenol**0.2039721 - 9.621332)*(-12.356011) - 11.73813,PySRFunction(X=>(Isoeugenol**0.2039721 - 9.621332)*(-12.356011) - 11.73813)
12,17.658102,0.006450276833663557,(((114.783066 / (Isoeugenol + 98.70061)) - -2.3265543) * 6.0409527) ^ 1.4984804,((-1*(-2.3265543) + 114.783066/(Isoeugenol + 98.70061))*6.0409527)**1.4984804,PySRFunction(X=>((-1*(-2.3265543) + 114.783066/(Isoeugenol + 98.70061))*6.0409527)**1.4984804)
14,17.655396,7.662792299127503e-05,((88.96941 - (4.232201 / ((9.420208 / Isoeugenol) + 0.106417194))) / 0.9235085) - 0.41771492,(88.96941 - 4.232201/(0.106417194 + 9.420208/Isoeugenol))/0.9235085 - 1*0.41771492,PySRFunction(X=>(88.96941 - 4.232201/(0.106417194 + 9.420208/Isoeugenol))/0.9235085 - 1*0.41771492)
15,17.57291,0.004682947328950787,(-3.0435405 / Isoeugenol) + ((9.054349 / ((Isoeugenol + 9.372988) ^ 0.12832397)) * 14.853721),9.054349*14.853721/(Isoeugenol + 9.372988)**0.12832397 - 3.0435405/Isoeugenol,PySRFunction(X=>9.054349*14.853721/(Isoeugenol + 9.372988)**0.12832397 - 3.0435405/Isoeugenol)
17,17.433983,0.003968582111799988,(-9.5932045 * ((Isoeugenol ^ 0.23277563) + -10.778529)) + (-0.97261244 / (-0.4285171 - (Isoeugenol - 1.1167732))),-9.5932045*(Isoeugenol**0.23277563 - 10.778529) - 0.97261244/(-(Isoeugenol - 1*1.1167732) - 0.4285171),PySRFunction(X=>-9.5932045*(Isoeugenol**0.23277563 - 10.778529) - 0.97261244/(-(Isoeugenol - 1*1.1167732) - 0.4285171))
18,17.292522,0.008147193763156509,((-11.000191 + (((Silicon * (Isoeugenol / Na)) - -11.663902) ^ 0.2646091)) * -10.556692) + 0.22972485,0.22972485 + ((Isoeugenol*Silicon/Na - 1*(-11.663902))**0.2646091 - 11.000191)*(-10.556692),PySRFunction(X=>0.22972485 + ((Isoeugenol*Silicon/Na - 1*(-11.663902))**0.2646091 - 11.000191)*(-10.556692))
20,17.269093,0.0006778908794864916,((-11.000191 + (((Silicon * ((Isoeugenol - 2.1817915) / Na)) - -11.000191) ^ 0.2646091)) * -10.556692) + -0.89703107,((-1*(-11.000191) + Silicon*(Isoeugenol - 1*2.1817915)/Na)**0.2646091 - 11.000191)*(-10.556692) - 0.89703107,PySRFunction(X=>((-1*(-11.000191) + Silicon*(Isoeugenol - 1*2.1817915)/Na)**0.2646091 - 11.000191)*(-10.556692) - 0.89703107)
