complexity,loss,score,equation,sympy_format,lambda_format
1,87.16876,0.0,-0.59249026,-0.592490260000000,PySRFunction(X=>-0.592490260000000)
3,21.12281,0.7087462553073265,83.589226 - PC_1,83.589226 - PC_1,PySRFunction(X=>83.589226 - PC_1)
5,19.5814,0.03788668157589617,(PC_2 + 84.41288) - PC_1,-PC_1 + PC_2 + 84.41288,PySRFunction(X=>-PC_1 + PC_2 + 84.41288)
7,18.26116,0.03490186804736875,83.5819 + ((PC_3 + PC_2) - PC_1),-PC_1 + PC_2 + PC_3 + 83.5819,PySRFunction(X=>-PC_1 + PC_2 + PC_3 + 83.5819)
9,17.439722,0.023012960998438803,PC_3 + ((1.7561588 * (PC_2 - PC_1)) - -83.81043),PC_3 + 1.7561588*(-PC_1 + PC_2) - 1*(-83.81043),PySRFunction(X=>PC_3 + 1.7561588*(-PC_1 + PC_2) - 1*(-83.81043))
11,16.880106,0.0163073546089323,PC_3 + (((1.7561588 * (PC_2 - PC_1)) - -83.81043) + PC_3),PC_3 + PC_3 + 1.7561588*(-PC_1 + PC_2) - 1*(-83.81043),PySRFunction(X=>PC_3 + PC_3 + 1.7561588*(-PC_1 + PC_2) - 1*(-83.81043))
13,16.787834,0.002740655680869407,PC_3 + ((((2.0311017 * PC_2) - (PC_1 * 1.5367559)) - -83.56698) + PC_3),-1.5367559*PC_1 + 2.0311017*PC_2 + PC_3 + PC_3 - 1*(-83.56698),PySRFunction(X=>-1.5367559*PC_1 + 2.0311017*PC_2 + PC_3 + PC_3 - 1*(-83.56698))
15,16.763811,0.0007160007834246784,(84.272285 + (((PC_2 - PC_1) + PC_3) / 0.5102519)) + (0.5876328 / (3.438729 + PC_2)),(-PC_1 + PC_2 + PC_3)/0.5102519 + 84.272285 + 0.5876328/(PC_2 + 3.438729),PySRFunction(X=>(-PC_1 + PC_2 + PC_3)/0.5102519 + 84.272285 + 0.5876328/(PC_2 + 3.438729))
17,16.586235,0.005324660667906698,(84.272285 + (((PC_2 - PC_1) + PC_3) / 0.5102519)) - (0.9916859 / ((-2.6281748 - PC_1) + PC_4)),(-PC_1 + PC_2 + PC_3)/0.5102519 + 84.272285 - 0.9916859/(-PC_1 + PC_4 - 2.6281748),PySRFunction(X=>(-PC_1 + PC_2 + PC_3)/0.5102519 + 84.272285 - 0.9916859/(-PC_1 + PC_4 - 2.6281748))
19,16.495035,0.0027568539855723543,(84.272285 + (((PC_2 - PC_1) + PC_3) / 0.5102519)) + ((PC_1 / (0.46150059 + 0.46150059)) / (3.438729 + PC_2)),PC_1/((0.46150059 + 0.46150059)*(PC_2 + 3.438729)) + (-PC_1 + PC_2 + PC_3)/0.5102519 + 84.272285,PySRFunction(X=>PC_1/((0.46150059 + 0.46150059)*(PC_2 + 3.438729)) + (-PC_1 + PC_2 + PC_3)/0.5102519 + 84.272285)
