complexity,loss,score,equation,sympy_format,lambda_format
1,85.49656,0.0,Propylguaiacol,Propylguaiacol,PySRFunction(X=>Propylguaiacol)
3,17.826622,0.78389159163113,P + 65.283936,P + 65.283936,PySRFunction(X=>P + 65.283936)
5,17.326275,0.014234411255598744,(65.283936 + P) - Propylguaiacol,P - Propylguaiacol + 65.283936,PySRFunction(X=>P - Propylguaiacol + 65.283936)
7,17.000546,0.009489337127104145,(68.68564 + P) - (Naphthalene * Isoeugenol),-Isoeugenol*Naphthalene + P + 68.68564,PySRFunction(X=>-Isoeugenol*Naphthalene + P + 68.68564)
9,16.605139,0.011766617710621078,((Cu + 72.46386) + (-0.94980806 / Acenaphthylene)) + Acenaphthylene,Acenaphthylene + Cu + 72.46386 - 0.94980806/Acenaphthylene,PySRFunction(X=>Acenaphthylene + Cu + 72.46386 - 0.94980806/Acenaphthylene)
11,16.354788,0.0075957636283790686,((72.60379 + Cu) + ((-0.8578757 - Anthracene) / Acenaphthylene)) - SO_4,Cu - SO_4 + 72.60379 + (-Anthracene - 0.8578757)/Acenaphthylene,PySRFunction(X=>Cu - SO_4 + 72.60379 + (-Anthracene - 0.8578757)/Acenaphthylene)
13,16.3522,7.912682162600368e-05,(((-0.8578757 - Anthracene) / Acenaphthylene) + (72.60379 + (Cu + 1.3244835))) - Sb,Cu - Sb + 1.3244835 + 72.60379 + (-Anthracene - 0.8578757)/Acenaphthylene,PySRFunction(X=>Cu - Sb + 1.3244835 + 72.60379 + (-Anthracene - 0.8578757)/Acenaphthylene)
15,16.330507,0.000663745606680477,(((72.60379 + Cu) + ((-0.8578757 - (Anthracene + Naphthalene)) / Acenaphthylene)) - Acenaphthylene) - -0.44709995,-Acenaphthylene + Cu - 1*(-0.44709995) + 72.60379 + (-(Anthracene + Naphthalene) - 0.8578757)/Acenaphthylene,PySRFunction(X=>-Acenaphthylene + Cu - 1*(-0.44709995) + 72.60379 + (-(Anthracene + Naphthalene) - 0.8578757)/Acenaphthylene)
17,16.302889,0.0008463111407016706,(((Cu + 70.79186) - (1.1197841 / Acenaphthylene)) - ((-0.71092737 + (0.06691909 ^ Tricosane)) / var2_Methylnaphthalene)) - 1.1197841,Cu - 1*1.1197841 + 70.79186 - (0.06691909**Tricosane - 0.71092737)/var2_Methylnaphthalene - 1.1197841/Acenaphthylene,PySRFunction(X=>Cu - 1*1.1197841 + 70.79186 - (0.06691909**Tricosane - 0.71092737)/var2_Methylnaphthalene - 1.1197841/Acenaphthylene)
19,16.212366,0.0027840234952703075,((((72.60379 + Cu) + ((-0.8578757 - (Anthracene + Naphthalene)) / Acenaphthylene)) - (Acenaphthylene / -0.14831303)) - -0.44709995) - 0.412532,-Acenaphthylene/(-0.14831303) + Cu - 1*0.412532 - 1*(-0.44709995) + 72.60379 + (-(Anthracene + Naphthalene) - 0.8578757)/Acenaphthylene,PySRFunction(X=>-Acenaphthylene/(-0.14831303) + Cu - 1*0.412532 - 1*(-0.44709995) + 72.60379 + (-(Anthracene + Naphthalene) - 0.8578757)/Acenaphthylene)
