complexity,loss,score,equation,sympy_format,lambda_format
1,22.6236,0.0,83.58715,83.5871500000000,PySRFunction(X=>83.5871500000000)
3,17.819723,0.11934386581438139,P - -64.78819,P - 1*(-64.78819),PySRFunction(X=>P - 1*(-64.78819))
5,17.29851,0.014842753481346041,(P - -66.26282) - Propylguaiacol,P - Propylguaiacol - 1*(-66.26282),PySRFunction(X=>P - Propylguaiacol - 1*(-66.26282))
7,16.660683,0.018784369165009588,(P - (Propylguaiacol / Fluoranthene)) + 69.73588,P + 69.73588 - Propylguaiacol/Fluoranthene,PySRFunction(X=>P + 69.73588 - Propylguaiacol/Fluoranthene)
9,16.448824,0.006398823501367049,(P - (Propylguaiacol / (Fluoranthene - Acenaphthylene))) + 71.03205,P - Propylguaiacol/(-Acenaphthylene + Fluoranthene) + 71.03205,PySRFunction(X=>P - Propylguaiacol/(-Acenaphthylene + Fluoranthene) + 71.03205)
11,16.384144,0.001969973706609395,(P - ((Propylguaiacol - Fluorene) / (Fluoranthene - Acenaphthylene))) + 69.73588,P + 69.73588 - (-Fluorene + Propylguaiacol)/(-Acenaphthylene + Fluoranthene),PySRFunction(X=>P + 69.73588 - (-Fluorene + Propylguaiacol)/(-Acenaphthylene + Fluoranthene))
13,16.289734,0.0028894722182793093,Octacosane + (P - ((-44.954506 + (Ni * (Eugenol / 0.22713655))) - 28.846302)),Octacosane + P - (Eugenol*Ni/0.22713655 - 44.954506 - 1*28.846302),PySRFunction(X=>Octacosane + P - (Eugenol*Ni/0.22713655 - 44.954506 - 1*28.846302))
15,16.158308,0.004050374401750648,Heneicosane + (P - ((-33.211525 + ((Retene + (Eugenol / 0.22685921)) * Ni)) - 42.063698)),Heneicosane + P - (Ni*(Eugenol/0.22685921 + Retene) - 1*42.063698 - 33.211525),PySRFunction(X=>Heneicosane + P - (Ni*(Eugenol/0.22685921 + Retene) - 1*42.063698 - 33.211525))
17,16.12618,0.0009951531709523121,((P - ((-32.713993 + ((Retene + (Eugenol / 0.23015486)) * Ni)) - 41.56619)) + Phenanthrene) + Heptacosane,Heptacosane + P + Phenanthrene - (Ni*(Eugenol/0.23015486 + Retene) - 1*41.56619 - 32.713993),PySRFunction(X=>Heptacosane + P + Phenanthrene - (Ni*(Eugenol/0.23015486 + Retene) - 1*41.56619 - 32.713993))
19,16.085058,0.0012766358852832616,(P - ((-45.16647 + (((Ni * (Eugenol / 0.23277794)) - Fluoranthene) - Pentacosane)) - 29.057844)) - (Fluoranthene / Acetosyringone),P - (Eugenol*Ni/0.23277794 - Fluoranthene - Pentacosane - 45.16647 - 1*29.057844) - Fluoranthene/Acetosyringone,PySRFunction(X=>P - (Eugenol*Ni/0.23277794 - Fluoranthene - Pentacosane - 45.16647 - 1*29.057844) - Fluoranthene/Acetosyringone)
