chem,sympy_equation,parital derivative w/ respect to chem,integrated_derivative,direction
Docosane,Benzokfluoranthene + Cu - (Docosane/Zn)**Naphthalene + 61.184902,-Naphthalene*(Docosane/Zn)**Naphthalene/Docosane,-73.40259529593574,negative
Heptadecane,Cu + Fluoranthene**(Heptadecane + 1.8194845) - 2*Propylguaiacol + 60.667508,Fluoranthene**(Heptadecane + 1.8194845)*log(Fluoranthene),2643.046217300683,positive
Heptadecane,Cu + Fluoranthene**(Heptadecane + 1.8194845) - 2*Propylguaiacol + 60.667508,Fluoranthene**(Heptadecane + 1.8194845)*log(Fluoranthene),2643.046217300683,positive
Pentadecane,0.04264588*Mg/Pentadecane + 74.76269 - (Dibenzofuran - Pentadecane + Propylguaiacol - 0.14462063)/Fluoranthene,-0.04264588*Mg/Pentadecane**2 + 1/Fluoranthene,-29785.81487995187,negative
Tetradecane,22.6914096440773*Benzoapyrene - Guaiacol + 7.27443165792345*Tetradecane + 91.4809610666516,7.27443165792345,7.27443165792345,positive
Benzoapyrene,22.6914096440773*Benzoapyrene - Guaiacol + 7.27443165792345*Tetradecane + 91.4809610666516,22.6914096440773,22.6914096440773,positive
Benzokfluoranthene,Benzokfluoranthene + Cu - (Docosane/Zn)**Naphthalene + 61.184902,1,1.0,positive
Dibenzofuran,0.04264588*Mg/Pentadecane + 74.76269 - (Dibenzofuran - Pentadecane + Propylguaiacol - 0.14462063)/Fluoranthene,-1/Fluoranthene,-3.7898553714539385,negative
Dibenzofuran,Fluoranthene/var35_Dimethoxyphenol + 6.7576672154343*PO_4**0.13090888 + 30.7086170934111*(Methylfluorene**Guaiacol)**Dibenzofuran + 54.1788477053618,30.7086170934111*(Methylfluorene**Guaiacol)**Dibenzofuran*log(Methylfluorene**Guaiacol),-881.7225856128491,negative
Fluoranthene,Cu + Fluoranthene + 60.667508,1,1.0,positive
Fluoranthene,Cu + Fluoranthene**2.0606148 + 60.667508,2.0606148*Fluoranthene**1.0606148,13.524086382014834,positive
Fluoranthene,Cu + Fluoranthene + 60.667508,1,1.0,positive
Fluoranthene,Cu + Fluoranthene - Propylguaiacol + 60.667508,1,1.0,positive
Fluoranthene,0.04264588*Mg/Pentadecane + 74.76269 - (Dibenzofuran - Pentadecane + Propylguaiacol - 0.14462063)/Fluoranthene,(Dibenzofuran - Pentadecane + Propylguaiacol - 0.14462063)/Fluoranthene**2,610.2766320631408,positive
Fluoranthene,Fluoranthene + 67.41105304717*(1.5867231**(0.495712336148484*P)/Propylguaiacol - 0.5409851)**0.03889326 + 2.997929,1,1.0,positive
Fluoranthene,Cu + Fluoranthene - Propylguaiacol + 60.667508,1,1.0,positive
Fluoranthene,Cu + Fluoranthene**1.8194845 - Propylguaiacol - SO_4 + 60.667508,1.8194845*Fluoranthene**0.8194845,9.964673882667068,positive
Fluoranthene,Cu + Fluoranthene**(Heptadecane + 1.8194845) - 2*Propylguaiacol + 60.667508,Fluoranthene**(Heptadecane + 1.8194845)*(Heptadecane + 1.8194845)/Fluoranthene,4663.463002910369,positive
Fluoranthene,Fluoranthene + 67.41105304717*(1.5867231**(0.495712336148484*P)/Propylguaiacol - 0.5409851)**0.03889326 + 2.997929,1,1.0,positive
Fluoranthene,Cu + Fluoranthene - Propylguaiacol + 60.667508,1,1.0,positive
Fluoranthene,Cu + Fluoranthene**1.8194845 - Propylguaiacol - SO_4 + 60.667508,1.8194845*Fluoranthene**0.8194845,9.964673882667068,positive
Fluoranthene,Cu + Fluoranthene**(Heptadecane + 1.8194845) - 2*Propylguaiacol + 60.667508,Fluoranthene**(Heptadecane + 1.8194845)*(Heptadecane + 1.8194845)/Fluoranthene,4663.463002910369,positive
Fluoranthene,Fluoranthene/var35_Dimethoxyphenol + 6.7576672154343*PO_4**0.13090888 + 30.7086170934111*(Methylfluorene**Guaiacol)**Dibenzofuran + 54.1788477053618,1/var35_Dimethoxyphenol,1.9718848518703636,positive
Methylfluorene,Fluoranthene/var35_Dimethoxyphenol + 6.7576672154343*PO_4**0.13090888 + 30.7086170934111*(Methylfluorene**Guaiacol)**Dibenzofuran + 54.1788477053618,30.7086170934111*Dibenzofuran*Guaiacol*(Methylfluorene**Guaiacol)**Dibenzofuran/Methylfluorene,348.05132757543936,positive
Naphthalene,Benzokfluoranthene + Cu - (Docosane/Zn)**Naphthalene + 61.184902,-(Docosane/Zn)**Naphthalene*log(Docosane/Zn),3250.013048865368,positive
