chem,equation,parital derivative w/ respect to chem,integrated_derivative,direction,complexity,loss
Propylguaiacol,PO_4 + ((((P / 0.23097277) - Propylguaiacol) / 0.23097277) / P),-4.32951468694773/P,-7.649062987717859,-1,15.0,3.8911886
Propylguaiacol,PO_4 + (0.23097277 + ((((P / 0.23097277) - Propylguaiacol) / 0.23097277) / P)),-4.32951468694773/P,-7.649062987717859,-1,17.0,3.8889287
Propylguaiacol,PO_4 + (((((P / 0.23097277) - Propylguaiacol) / 0.23097277) + var26_Dimethylnaphthalene) / P),-4.32951468694773/P,-7.649062987717859,-1,18.0,3.8782825
Propylguaiacol,PO_4 + ((((((P / 0.25414926) - Propylguaiacol) / 0.20082562) - Sb) / P) - 0.21465433),-4.97944435575501/P,-8.797310154838165,-1,20.0,3.8738177
Propylguaiacol,((0.994108 - (-24.268686 + (Propylguaiacol / 0.18303837))) * 0.85376036) - -0.36415336,-4.66437916814928,-8.362427933161912,-1,12.0,3.8305802
Propylguaiacol,(0.8828251 * (0.8828251 - ((Propylguaiacol / 0.18954363) + -24.276592))) - Anthracene,-4.65763528956367,-8.35033732117924,-1,13.0,3.8249238
Propylguaiacol,4.678155 + ((11.807516 + K) - (Propylguaiacol * (Propylguaiacol + Heneicosane))),-Heneicosane - 2*Propylguaiacol,-12.05577221177539,-1,15.0,3.8060293
Propylguaiacol,((7.1723785 + K) - (-9.006872 + (Propylguaiacol * (Propylguaiacol + Hexadecane)))) + 0.3017406,-Hexadecane - 2*Propylguaiacol,-9.47731667178937,-1,17.0,3.7976031
Propylguaiacol,(((8.721573 + ((5.498199 - -6.872387) - (Propylguaiacol / 0.22552039))) + Cd) - -1.0169259) - var35_Dimethoxyphenol,-4.43418885538465,-7.94973637614812,-1,18.0,3.7866967
Propylguaiacol,(((8.721573 + ((5.498199 - -6.872387) - (Propylguaiacol / 0.22552039))) + Cd) - (0.036244262 + -1.0169259)) - var35_Dimethoxyphenol,-4.43418885538465,-7.94973637614812,-1,20.0,3.7865555
Propylguaiacol,((Propylguaiacol - 4.760663) * -4.6641207) + -0.26383278,-4.66412070000000,-8.36196454431777,-1,8.0,3.830571
Propylguaiacol,(4.732601 * (4.732601 - Propylguaiacol)) - var35_Dimethoxyphenol,-4.73260100000000,-8.484737919497416,-1,9.0,3.79858
Propylguaiacol,(((4.821213 - Propylguaiacol) * 4.206011) * 1.134727) - Acetosyringone,-4.77267424399700,-8.556582339278128,-1,11.0,3.7869205
Propylguaiacol,((-4.664434 + (Propylguaiacol - Squalane)) * -4.664434) - var35_Dimethoxyphenol,-4.66443400000000,-8.362526237219871,-1,12.0,3.7764192
Propylguaiacol,(0.60989416 / Acetosyringone) + (-0.04013734 - (-20.624935 + (Propylguaiacol / 0.20697027))),-4.83161180588884,-8.662247229740354,-1,13.0,3.7423441
Propylguaiacol,((0.6102021 / Acetosyringone) - ((Propylguaiacol / 0.20679653) + -20.518175)) + (-0.20035198 * -0.79564774),-4.83567108210181,-8.669524812365616,-1,15.0,3.741249
Propylguaiacol,((0.1728449 / Na) - (-20.624935 + (Propylguaiacol / 0.20697027))) + (0.60989416 / Acetosyringone),-4.83161180588884,-8.662247229740354,-1,16.0,3.741159
Propylguaiacol,((Dibenzofuran * (-0.40934968 * 0.75411)) - (-20.648527 + (Propylguaiacol / 0.20748585))) + (0.6154466 / Acetosyringone),-4.81960577070677,-8.640722477923724,-1,18.0,3.7399213
