chem,equation,parital derivative w/ respect to chem,integrated_derivative,direction,complexity,loss
Isoeugenol,(((1.1704992 + (0.24747203 + ((1.8907303 / Isoeugenol) ^ 0.07203283))) * (0.6796068 + 3.393954)) ^ 1.9706718) + -0.37183502,-3.32161611065222*(0.738344412240167*(1/Isoeugenol)**0.07203283 + 1)**0.9706718*(1/Isoeugenol)**0.07203283/Isoeugenol,-35.38412012563948,-1,18.0,18.62455
Isoeugenol,-0.7453948 + (((Na - Isoeugenol) * 0.01535692) - -77.50478),-0.0153569200000000,-19.86888209606493,-1,11.0,18.658384
Isoeugenol,(((-1.4016769 - (Isoeugenol ^ 0.5174451)) - -46.535206) + 44.97022) + 0.16664167,-0.5174451/Isoeugenol**0.4825549,-40.18065998441902,-1,12.0,18.658361
Isoeugenol,(((Na - (Isoeugenol ^ 1.0542674)) * 0.013076097) - -77.97341) + 0.93013954,-0.0137857027863378*Isoeugenol**0.0542674000000001,-24.961437143127494,-1,13.0,18.579828
Isoeugenol,((26.415354 + 82.28963) - ((-3.6248188 / (Isoeugenol ^ -0.19962674)) * -3.5444403)) - 0.3893475,-2.56479513973511/Isoeugenol**0.80037326,-43.272001893060065,-1,14.0,17.89954
Isoeugenol,0.121477574 + (((4.7072163 / ((0.121477574 * (0.045485202 * Isoeugenol)) + 0.49788433)) + 11.472047) * 4.578592),-0.480402680744502/(0.0110978226445889*Isoeugenol + 1)**2,-40.301030561405234,-1,16.0,17.655378
Isoeugenol,(((-9.254715 - (Isoeugenol ^ 0.5251172)) - -44.60462) + 61.67341) - ((Na / Silicon) ^ -3.073279),-0.5251172/Isoeugenol**0.4748828,-42.4890909709608,-1,18.0,17.477917
Isoeugenol,(((-9.254715 - (Isoeugenol ^ 0.5251172)) - -44.60462) + 61.67341) - (((Na - 1.3869802) / Silicon) ^ -3.073279),-0.5251172/Isoeugenol**0.4748828,-42.4890909709608,-1,20.0,17.441738
Isoeugenol,(((Isoeugenol ^ 0.19838026) / -0.07547229) + 114.12372) - 5.620069,-2.62851783084891/Isoeugenol**0.80161974,-44.11923519814388,-1,10.0,17.891056
Isoeugenol,((((Isoeugenol - -1.611553) ^ 0.17378762) / -0.051945437) + 119.08479) - 0.2719579,-2.2555028648783/(0.620519461662136*Isoeugenol + 1)**0.82621238,-45.24250709336428,-1,12.0,17.834862
Isoeugenol,2.4929342 + ((-13.947261 * (-47.000927 / ((Isoeugenol + 54.52845) ^ 0.663567))) - -47.50721),-0.56168284932817/(0.0183390505323368*Isoeugenol + 1)**1.663567,-40.467147391698255,-1,14.0,17.658396
Isoeugenol,(1.5432531 / (0.86200845 - Isoeugenol)) + (75.5267 - ((Na - Isoeugenol) / -65.10305)),-0.0153602634592389 + 1.5432531/(0.86200845 - Isoeugenol)**2,0.0,0,16.0,17.628918
Isoeugenol,((0.15750523 - ((Isoeugenol ^ 0.21414481) / 0.08829941)) - -106.31835) + (0.88898474 / (-0.5462995 + Isoeugenol)),-2.42521224094249/Isoeugenol**0.78585519 - 0.88898474/(Isoeugenol - 0.5462995)**2,0.0,0,17.0,17.440987
Isoeugenol,((-11.000191 + (((Silicon * (Isoeugenol / Na)) - -11.663902) ^ 0.2646091)) * -10.556692) + 0.22972485,-0.458759804109866*Silicon/(Na*(0.0857346023654863*Isoeugenol*Silicon/Na + 1)**0.7353909),-172268751.28244135,-1,18.0,17.292522
Isoeugenol,((-11.000191 + (((Silicon * ((Isoeugenol - 2.1817915) / Na)) - -11.000191) ^ 0.2646091)) * -10.556692) + -0.89703107,-0.47895683691812*Silicon/(Na*(1 + 0.0909075124241025*Silicon*(Isoeugenol - 2.1817915)/Na)**0.7353909),0.0,0,20.0,17.269093
Isoeugenol,(((Isoeugenol ^ 0.19838026) / -0.07547229) + 114.12372) - 5.620069,-2.62851783084891/Isoeugenol**0.80161974,-44.11923519814388,-1,10.0,17.891056
Isoeugenol,((((Isoeugenol - -1.611553) ^ 0.17378762) / -0.051945437) + 119.08479) - 0.2719579,-2.2555028648783/(0.620519461662136*Isoeugenol + 1)**0.82621238,-45.24250709336428,-1,12.0,17.834862
Isoeugenol,2.4929342 + ((-13.947261 * (-47.000927 / ((Isoeugenol + 54.52845) ^ 0.663567))) - -47.50721),-0.56168284932817/(0.0183390505323368*Isoeugenol + 1)**1.663567,-40.467147391698255,-1,14.0,17.658396
Isoeugenol,(1.5432531 / (0.86200845 - Isoeugenol)) + (75.5267 - ((Na - Isoeugenol) / -65.10305)),-0.0153602634592389 + 1.5432531/(0.86200845 - Isoeugenol)**2,0.0,0,16.0,17.628918
Isoeugenol,((0.15750523 - ((Isoeugenol ^ 0.21414481) / 0.08829941)) - -106.31835) + (0.88898474 / (-0.5462995 + Isoeugenol)),-2.42521224094249/Isoeugenol**0.78585519 - 0.88898474/(Isoeugenol - 0.5462995)**2,0.0,0,17.0,17.440987
Isoeugenol,((-11.000191 + (((Silicon * (Isoeugenol / Na)) - -11.663902) ^ 0.2646091)) * -10.556692) + 0.22972485,-0.458759804109866*Silicon/(Na*(0.0857346023654863*Isoeugenol*Silicon/Na + 1)**0.7353909),-172268751.28244135,-1,18.0,17.292522
Isoeugenol,((-11.000191 + (((Silicon * ((Isoeugenol - 2.1817915) / Na)) - -11.000191) ^ 0.2646091)) * -10.556692) + -0.89703107,-0.47895683691812*Silicon/(Na*(1 + 0.0909075124241025*Silicon*(Isoeugenol - 2.1817915)/Na)**0.7353909),0.0,0,20.0,17.269093
Isoeugenol,(((Isoeugenol ^ 0.19838026) / -0.07547229) + 114.12372) - 5.620069,-2.62851783084891/Isoeugenol**0.80161974,-44.11923519814388,-1,10.0,17.891056
Isoeugenol,((((Isoeugenol - -1.611553) ^ 0.17378762) / -0.051945437) + 119.08479) - 0.2719579,-2.2555028648783/(0.620519461662136*Isoeugenol + 1)**0.82621238,-45.24250709336428,-1,12.0,17.834862
Isoeugenol,2.4929342 + ((-13.947261 * (-47.000927 / ((Isoeugenol + 54.52845) ^ 0.663567))) - -47.50721),-0.56168284932817/(0.0183390505323368*Isoeugenol + 1)**1.663567,-40.467147391698255,-1,14.0,17.658396
Isoeugenol,(1.5432531 / (0.86200845 - Isoeugenol)) + (75.5267 - ((Na - Isoeugenol) / -65.10305)),-0.0153602634592389 + 1.5432531/(0.86200845 - Isoeugenol)**2,0.0,0,16.0,17.628918
Isoeugenol,((0.15750523 - ((Isoeugenol ^ 0.21414481) / 0.08829941)) - -106.31835) + (0.88898474 / (-0.5462995 + Isoeugenol)),-2.42521224094249/Isoeugenol**0.78585519 - 0.88898474/(Isoeugenol - 0.5462995)**2,0.0,0,17.0,17.440987
Isoeugenol,((-11.000191 + (((Silicon * (Isoeugenol / Na)) - -11.663902) ^ 0.2646091)) * -10.556692) + 0.22972485,-0.458759804109866*Silicon/(Na*(0.0857346023654863*Isoeugenol*Silicon/Na + 1)**0.7353909),-172268751.28244135,-1,18.0,17.292522
Isoeugenol,((-11.000191 + (((Silicon * ((Isoeugenol - 2.1817915) / Na)) - -11.000191) ^ 0.2646091)) * -10.556692) + -0.89703107,-0.47895683691812*Silicon/(Na*(1 + 0.0909075124241025*Silicon*(Isoeugenol - 2.1817915)/Na)**0.7353909),0.0,0,20.0,17.269093
Isoeugenol,(((Isoeugenol ^ 0.19838026) / -0.07547229) + 114.12372) - 5.620069,-2.62851783084891/Isoeugenol**0.80161974,-44.11923519814388,-1,10.0,17.891056
Isoeugenol,(18.382387 * ((118.086494 / (Isoeugenol + 57.559242)) - -3.1289897)) - 0.085835956,-0.65519715262741/(0.0173734046045985*Isoeugenol + 1)**2,-35.876529058119814,-1,12.0,17.758007
Isoeugenol,2.4929342 + ((-13.947261 * (-47.000927 / ((Isoeugenol + 54.52845) ^ 0.663567))) - -47.50721),-0.56168284932817/(0.0183390505323368*Isoeugenol + 1)**1.663567,-40.467147391698255,-1,14.0,17.658396
Isoeugenol,(1.5432531 / (0.86200845 - Isoeugenol)) + (75.5267 - ((Na - Isoeugenol) / -65.10305)),-0.0153602634592389 + 1.5432531/(0.86200845 - Isoeugenol)**2,0.0,0,16.0,17.628918
Isoeugenol,((0.15750523 - ((Isoeugenol ^ 0.21414481) / 0.08829941)) - -106.31835) + (0.88898474 / (-0.5462995 + Isoeugenol)),-2.42521224094249/Isoeugenol**0.78585519 - 0.88898474/(Isoeugenol - 0.5462995)**2,0.0,0,17.0,17.440987
Isoeugenol,((-11.000191 + (((Silicon * (Isoeugenol / Na)) - -11.663902) ^ 0.2646091)) * -10.556692) + 0.22972485,-0.458759804109866*Silicon/(Na*(0.0857346023654863*Isoeugenol*Silicon/Na + 1)**0.7353909),-172268751.28244135,-1,18.0,17.292522
Isoeugenol,((-11.000191 + (((Silicon * ((Isoeugenol - 2.1817915) / Na)) - -11.000191) ^ 0.2646091)) * -10.556692) + -0.89703107,-0.47895683691812*Silicon/(Na*(1 + 0.0909075124241025*Silicon*(Isoeugenol - 2.1817915)/Na)**0.7353909),0.0,0,20.0,17.269093
Isoeugenol,(((Isoeugenol ^ 0.19838026) / -0.07547229) + 114.12372) - 5.620069,-2.62851783084891/Isoeugenol**0.80161974,-44.11923519814388,-1,10.0,17.891056
Isoeugenol,(18.382387 * ((118.086494 / (Isoeugenol + 57.559242)) - -3.1289897)) - -0.58303285,-0.65519715262741/(0.0173734046045985*Isoeugenol + 1)**2,-35.876529058119814,-1,12.0,17.739313
Isoeugenol,2.4929342 + ((-13.947261 * (-47.000927 / ((Isoeugenol + 54.52845) ^ 0.663567))) - -47.50721),-0.56168284932817/(0.0183390505323368*Isoeugenol + 1)**1.663567,-40.467147391698255,-1,14.0,17.658396
Isoeugenol,(1.5432531 / (0.86200845 - Isoeugenol)) + (75.5267 - ((Na - Isoeugenol) / -65.10305)),-0.0153602634592389 + 1.5432531/(0.86200845 - Isoeugenol)**2,0.0,0,16.0,17.628918
Isoeugenol,((0.15750523 - ((Isoeugenol ^ 0.21414481) / 0.08829941)) - -106.31835) + (0.88898474 / (-0.5462995 + Isoeugenol)),-2.42521224094249/Isoeugenol**0.78585519 - 0.88898474/(Isoeugenol - 0.5462995)**2,0.0,0,17.0,17.440987
Isoeugenol,((-11.000191 + (((Silicon * (Isoeugenol / Na)) - -11.663902) ^ 0.2646091)) * -10.556692) + 0.22972485,-0.458759804109866*Silicon/(Na*(0.0857346023654863*Isoeugenol*Silicon/Na + 1)**0.7353909),-172268751.28244135,-1,18.0,17.292522
Isoeugenol,((-11.000191 + (((Silicon * ((Isoeugenol - 2.1817915) / Na)) - -11.000191) ^ 0.2646091)) * -10.556692) + -0.89703107,-0.47895683691812*Silicon/(Na*(1 + 0.0909075124241025*Silicon*(Isoeugenol - 2.1817915)/Na)**0.7353909),0.0,0,20.0,17.269093
Isoeugenol,(((Isoeugenol ^ 0.19838026) / -0.07547229) + 114.12372) - 5.620069,-2.62851783084891/Isoeugenol**0.80161974,-44.11923519814388,-1,10.0,17.891056
Isoeugenol,(((118.086494 / (Isoeugenol + 57.559242)) - -3.1289897) * 18.382387) - -0.73476076,-0.65519715262741/(0.0173734046045985*Isoeugenol + 1)**2,-35.876529058119814,-1,12.0,17.73858
Isoeugenol,2.4929342 + ((-13.947261 * (-47.000927 / ((Isoeugenol + 54.52845) ^ 0.663567))) - -47.50721),-0.56168284932817/(0.0183390505323368*Isoeugenol + 1)**1.663567,-40.467147391698255,-1,14.0,17.658396
Isoeugenol,(1.5432531 / (0.86200845 - Isoeugenol)) + (75.5267 - ((Na - Isoeugenol) / -65.10305)),-0.0153602634592389 + 1.5432531/(0.86200845 - Isoeugenol)**2,0.0,0,16.0,17.628918
Isoeugenol,((0.15750523 - ((Isoeugenol ^ 0.21414481) / 0.08829941)) - -106.31835) + (0.88898474 / (-0.5462995 + Isoeugenol)),-2.42521224094249/Isoeugenol**0.78585519 - 0.88898474/(Isoeugenol - 0.5462995)**2,0.0,0,17.0,17.440987
Isoeugenol,((-11.000191 + (((Silicon * (Isoeugenol / Na)) - -11.663902) ^ 0.2646091)) * -10.556692) + 0.22972485,-0.458759804109866*Silicon/(Na*(0.0857346023654863*Isoeugenol*Silicon/Na + 1)**0.7353909),-172268751.28244135,-1,18.0,17.292522
Isoeugenol,((-11.000191 + (((Silicon * ((Isoeugenol - 2.1817915) / Na)) - -11.000191) ^ 0.2646091)) * -10.556692) + -0.89703107,-0.47895683691812*Silicon/(Na*(1 + 0.0909075124241025*Silicon*(Isoeugenol - 2.1817915)/Na)**0.7353909),0.0,0,20.0,17.269093
Isoeugenol,(((Isoeugenol ^ 0.19838026) / -0.07547229) + 114.12372) - 5.620069,-2.62851783084891/Isoeugenol**0.80161974,-44.11923519814388,-1,10.0,17.891056
Isoeugenol,(((118.086494 / (Isoeugenol + 57.559242)) - -3.1289897) * 18.382387) - -0.73476076,-0.65519715262741/(0.0173734046045985*Isoeugenol + 1)**2,-35.876529058119814,-1,12.0,17.73858
Isoeugenol,2.4929342 + ((-13.947261 * (-47.000927 / ((Isoeugenol + 54.52845) ^ 0.663567))) - -47.50721),-0.56168284932817/(0.0183390505323368*Isoeugenol + 1)**1.663567,-40.467147391698255,-1,14.0,17.658396
Isoeugenol,(1.5432531 / (0.86200845 - Isoeugenol)) + (75.5267 - ((Na - Isoeugenol) / -65.10305)),-0.0153602634592389 + 1.5432531/(0.86200845 - Isoeugenol)**2,0.0,0,16.0,17.628918
Isoeugenol,((0.15750523 - ((Isoeugenol ^ 0.21414481) / 0.08829941)) - -106.31835) + (0.88898474 / (-0.5462995 + Isoeugenol)),-2.42521224094249/Isoeugenol**0.78585519 - 0.88898474/(Isoeugenol - 0.5462995)**2,0.0,0,17.0,17.440987
Isoeugenol,((-11.000191 + (((Silicon * (Isoeugenol / Na)) - -11.663902) ^ 0.2646091)) * -10.556692) + 0.22972485,-0.458759804109866*Silicon/(Na*(0.0857346023654863*Isoeugenol*Silicon/Na + 1)**0.7353909),-172268751.28244135,-1,18.0,17.292522
Isoeugenol,((-11.000191 + (((Silicon * ((Isoeugenol - 2.1817915) / Na)) - -11.000191) ^ 0.2646091)) * -10.556692) + -0.89703107,-0.47895683691812*Silicon/(Na*(1 + 0.0909075124241025*Silicon*(Isoeugenol - 2.1817915)/Na)**0.7353909),0.0,0,20.0,17.269093
Isoeugenol,(((Isoeugenol ^ 0.19838026) / -0.07547229) + 114.12372) - 5.620069,-2.62851783084891/Isoeugenol**0.80161974,-44.11923519814388,-1,10.0,17.891056
Isoeugenol,(((118.086494 / (Isoeugenol + 57.559242)) - -3.1289897) * 18.382387) - -0.73476076,-0.65519715262741/(0.0173734046045985*Isoeugenol + 1)**2,-35.876529058119814,-1,12.0,17.73858
Isoeugenol,2.4929342 + ((-13.947261 * (-47.000927 / ((Isoeugenol + 54.52845) ^ 0.663567))) - -47.50721),-0.56168284932817/(0.0183390505323368*Isoeugenol + 1)**1.663567,-40.467147391698255,-1,14.0,17.658396
Isoeugenol,(1.5432531 / (0.86200845 - Isoeugenol)) + (75.5267 - ((Na - Isoeugenol) / -65.10305)),-0.0153602634592389 + 1.5432531/(0.86200845 - Isoeugenol)**2,0.0,0,16.0,17.628918
Isoeugenol,((0.15750523 - ((Isoeugenol ^ 0.21414481) / 0.08829941)) - -106.31835) + (0.88898474 / (-0.5462995 + Isoeugenol)),-2.42521224094249/Isoeugenol**0.78585519 - 0.88898474/(Isoeugenol - 0.5462995)**2,0.0,0,17.0,17.440987
