complexity,loss,score,equation,sympy_format,lambda_format
1,22.6236,0.0,83.58715,83.5871500000000,PySRFunction(X=>83.5871500000000)
3,17.819723,0.11934386581438139,P + 64.78803,P + 64.78803,PySRFunction(X=>P + 64.78803)
5,17.298508,0.014842811289796446,(66.26525 + P) - Propylguaiacol,P - Propylguaiacol + 66.26525,PySRFunction(X=>P - Propylguaiacol + 66.26525)
7,16.647306,0.019185926738358786,(Cu + (26.423014 * Acenaphthylene)) + 52.103428,26.423014*Acenaphthylene + Cu + 52.103428,PySRFunction(X=>26.423014*Acenaphthylene + Cu + 52.103428)
9,16.175335,0.014380425193553703,(68.785255 + P) - (Propylguaiacol / (Tetracosane - Benzobfluoranthene)),P - Propylguaiacol/(-Benzobfluoranthene + Tetracosane) + 68.785255,PySRFunction(X=>P - Propylguaiacol/(-Benzobfluoranthene + Tetracosane) + 68.785255)
11,15.999275,0.005472071216540469,(69.84685 + P) - ((Octadecane + Propylguaiacol) / (Tetracosane - Benzokfluoranthene)),P + 69.84685 - (Octadecane + Propylguaiacol)/(-Benzokfluoranthene + Tetracosane),PySRFunction(X=>P + 69.84685 - (Octadecane + Propylguaiacol)/(-Benzokfluoranthene + Tetracosane))
13,15.961054,0.0011958893858884782,(70.66737 + P) - ((Octadecane + Propylguaiacol) / ((Tetracosane - Benzokfluoranthene) / 1.1621556)),P + 70.66737 - (Octadecane + Propylguaiacol)/((-Benzokfluoranthene + Tetracosane)/1.1621556),PySRFunction(X=>P + 70.66737 - (Octadecane + Propylguaiacol)/((-Benzokfluoranthene + Tetracosane)/1.1621556))
15,15.9307785,0.0009493185785049412,(P + 70.25195) - ((Propylguaiacol + (Octadecane - Hentriacontane)) / ((Tetracosane - Benzokfluoranthene) / 1.2693717)),P + 70.25195 - (-Hentriacontane + Octadecane + Propylguaiacol)/((-Benzokfluoranthene + Tetracosane)/1.2693717),PySRFunction(X=>P + 70.25195 - (-Hentriacontane + Octadecane + Propylguaiacol)/((-Benzokfluoranthene + Tetracosane)/1.2693717))
17,15.928438,7.34638280954277e-05,((P + 70.65345) - var3_Methylnonadecane) - ((Propylguaiacol + (Octadecane - Hentriacontane)) / ((Tetracosane - Benzokfluoranthene) / 1.2648271)),P - var3_Methylnonadecane + 70.65345 - (-Hentriacontane + Octadecane + Propylguaiacol)/((-Benzokfluoranthene + Tetracosane)/1.2648271),PySRFunction(X=>P - var3_Methylnonadecane + 70.65345 - (-Hentriacontane + Octadecane + Propylguaiacol)/((-Benzokfluoranthene + Tetracosane)/1.2648271))
19,15.922101,0.00019896052885064533,((P + 71.002625) - (NO_3 / Indeno_123_cdpyrene)) - ((Propylguaiacol + (Octadecane - Hentriacontane)) / ((Tetracosane - Benzokfluoranthene) / 1.2775652)),P + 71.002625 - (-Hentriacontane + Octadecane + Propylguaiacol)/((-Benzokfluoranthene + Tetracosane)/1.2775652) - NO_3/Indeno_123_cdpyrene,PySRFunction(X=>P + 71.002625 - (-Hentriacontane + Octadecane + Propylguaiacol)/((-Benzokfluoranthene + Tetracosane)/1.2775652) - NO_3/Indeno_123_cdpyrene)
