complexity,loss,score,equation,sympy_format,lambda_format
1,22.6236,0.0,83.58715,83.5871500000000,PySRFunction(X=>83.5871500000000)
3,21.122808,0.034320102336278864,83.587654 - PC_1,83.587654 - PC_1,PySRFunction(X=>83.587654 - PC_1)
5,19.219856,0.04720474661369638,90.042145 - (0.5900041 ^ PC_2),90.042145 - 0.5900041**PC_2,PySRFunction(X=>90.042145 - 0.5900041**PC_2)
7,17.811232,0.03805732089416711,83.58929 - ((-2.8051817 + PC_2) * PC_3),83.58929 - PC_3*(PC_2 - 2.8051817),PySRFunction(X=>83.58929 - PC_3*(PC_2 - 2.8051817))
9,16.920448,0.025653219080595722,(PC_3 + (PC_2 + (45.353546 - PC_1))) * 1.8430014,(-PC_1 + PC_2 + PC_3 + 45.353546)*1.8430014,PySRFunction(X=>(-PC_1 + PC_2 + PC_3 + 45.353546)*1.8430014)
11,16.779974,0.0041683398973560055,83.58827 - ((PC_1 / 0.6420449) - ((PC_2 + PC_3) / 0.4778989)),83.58827 - (PC_1/0.6420449 - (PC_2 + PC_3)/0.4778989),PySRFunction(X=>83.58827 - (PC_1/0.6420449 - (PC_2 + PC_3)/0.4778989))
13,16.778341,4.8661561263924626e-05,83.58815 - ((PC_1 / 0.64200515) - (((PC_2 * 0.963015) + PC_3) / 0.4677303)),83.58815 - (PC_1/0.64200515 - (PC_2*0.963015 + PC_3)/0.4677303),PySRFunction(X=>83.58815 - (PC_1/0.64200515 - (PC_2*0.963015 + PC_3)/0.4677303))
15,16.351618,0.012880987880007995,(((46.946262 - PC_1) + (PC_2 + PC_3)) ^ 1.1464498) - (3.35591 / (1.4163917 - PC_1)),(-PC_1 + PC_2 + PC_3 + 46.946262)**1.1464498 - 3.35591/(1.4163917 - PC_1),PySRFunction(X=>(-PC_1 + PC_2 + PC_3 + 46.946262)**1.1464498 - 3.35591/(1.4163917 - PC_1))
17,16.16887,0.005619532021501349,(((54.52088 - PC_1) + ((PC_2 + PC_3) * 1.3862541)) ^ 1.1032803) - (2.9700387 / (1.4568981 - PC_1)),(-PC_1 + (PC_2 + PC_3)*1.3862541 + 54.52088)**1.1032803 - 2.9700387/(1.4568981 - PC_1),PySRFunction(X=>(-PC_1 + (PC_2 + PC_3)*1.3862541 + 54.52088)**1.1032803 - 2.9700387/(1.4568981 - PC_1))
19,16.166838,6.284074567578962e-05,((((54.465755 - PC_1) - (PC_3 * -1.3571573)) + (PC_2 * 1.4075001)) ^ 1.1035008) - (2.9927623 / (1.4566139 - PC_1)),(-PC_1 + PC_2*1.4075001 - (-1.3571573)*PC_3 + 54.465755)**1.1035008 - 2.9927623/(1.4566139 - PC_1),PySRFunction(X=>(-PC_1 + PC_2*1.4075001 - (-1.3571573)*PC_3 + 54.465755)**1.1035008 - 2.9927623/(1.4566139 - PC_1))
